Logging event: Internal | System Time 1520479754.59 | Logical Clock 1 
Logging event: Send to Machine 1 | System Time 1520479754.76 | Logical Clock 2 
Logging event: Internal | System Time 1520479754.93 | Logical Clock 3 
Logging event: Send to Both Machines | System Time 1520479755.11 | Logical Clock 4 
Logging event: Send to Machine 0 | System Time 1520479755.28 | Logical Clock 5 
Logging event: Send to Machine 0 | System Time 1520479755.45 | Logical Clock 6 
Logging event: Internal | System Time 1520479755.62 | Logical Clock 7 
Logging event: Receive | System Time 1520479755.79 | Logical Clock 8 
Logging event: Internal | System Time 1520479755.96 | Logical Clock 9 
Logging event: Receive | System Time 1520479756.13 | Logical Clock 10 
Logging event: Send to Machine 1 | System Time 1520479756.29 | Logical Clock 11 
Logging event: Internal | System Time 1520479756.46 | Logical Clock 12 
Logging event: Send to Machine 0 | System Time 1520479756.64 | Logical Clock 13 
Logging event: Send to Both Machines | System Time 1520479756.8 | Logical Clock 14 
Logging event: Internal | System Time 1520479756.97 | Logical Clock 15 
Logging event: Internal | System Time 1520479757.14 | Logical Clock 16 
Logging event: Send to Machine 0 | System Time 1520479757.31 | Logical Clock 17 
Logging event: Internal | System Time 1520479757.48 | Logical Clock 18 
Logging event: Send to Machine 0 | System Time 1520479757.65 | Logical Clock 19 
Logging event: Internal | System Time 1520479757.82 | Logical Clock 20 
Logging event: Internal | System Time 1520479757.99 | Logical Clock 21 
Logging event: Send to Machine 1 | System Time 1520479758.16 | Logical Clock 22 
Logging event: Internal | System Time 1520479758.33 | Logical Clock 23 
Logging event: Internal | System Time 1520479758.5 | Logical Clock 24 
Logging event: Send to Machine 1 | System Time 1520479758.67 | Logical Clock 25 
Logging event: Receive | System Time 1520479758.84 | Logical Clock 26 
Logging event: Receive | System Time 1520479759.01 | Logical Clock 27 
Logging event: Receive | System Time 1520479759.18 | Logical Clock 28 
Logging event: Internal | System Time 1520479759.35 | Logical Clock 29 
Logging event: Send to Machine 1 | System Time 1520479759.52 | Logical Clock 30 
Logging event: Internal | System Time 1520479759.69 | Logical Clock 31 
Logging event: Receive | System Time 1520479759.86 | Logical Clock 32 
Logging event: Internal | System Time 1520479760.03 | Logical Clock 33 
Logging event: Receive | System Time 1520479760.2 | Logical Clock 34 
Logging event: Internal | System Time 1520479760.37 | Logical Clock 35 
Logging event: Receive | System Time 1520479760.53 | Logical Clock 36 
Logging event: Internal | System Time 1520479760.71 | Logical Clock 37 
Logging event: Send to Machine 1 | System Time 1520479760.88 | Logical Clock 38 
Logging event: Receive | System Time 1520479761.05 | Logical Clock 39 
Logging event: Send to Machine 0 | System Time 1520479761.22 | Logical Clock 40 
Logging event: Internal | System Time 1520479761.39 | Logical Clock 41 
Logging event: Receive | System Time 1520479761.56 | Logical Clock 42 
Logging event: Receive | System Time 1520479761.73 | Logical Clock 43 
Logging event: Internal | System Time 1520479761.9 | Logical Clock 44 
Logging event: Internal | System Time 1520479762.07 | Logical Clock 45 
Logging event: Receive | System Time 1520479762.24 | Logical Clock 46 
Logging event: Receive | System Time 1520479762.42 | Logical Clock 47 
Logging event: Receive | System Time 1520479762.58 | Logical Clock 48 
Logging event: Internal | System Time 1520479762.75 | Logical Clock 49 
Logging event: Receive | System Time 1520479762.92 | Logical Clock 50 
Logging event: Send to Both Machines | System Time 1520479763.09 | Logical Clock 51 
Logging event: Internal | System Time 1520479763.26 | Logical Clock 52 
Logging event: Internal | System Time 1520479763.43 | Logical Clock 53 
Logging event: Send to Machine 0 | System Time 1520479763.6 | Logical Clock 54 
Logging event: Internal | System Time 1520479763.77 | Logical Clock 55 
Logging event: Receive | System Time 1520479763.94 | Logical Clock 56 
Logging event: Internal | System Time 1520479764.11 | Logical Clock 57 
Logging event: Send to Both Machines | System Time 1520479764.27 | Logical Clock 58 
Logging event: Send to Machine 1 | System Time 1520479764.44 | Logical Clock 59 
Logging event: Internal | System Time 1520479764.61 | Logical Clock 60 
Logging event: Internal | System Time 1520479764.78 | Logical Clock 61 
Logging event: Internal | System Time 1520479764.95 | Logical Clock 62 
Logging event: Receive | System Time 1520479765.12 | Logical Clock 63 
Logging event: Send to Machine 1 | System Time 1520479765.29 | Logical Clock 64 
Logging event: Receive | System Time 1520479765.46 | Logical Clock 65 
Logging event: Internal | System Time 1520479765.64 | Logical Clock 66 
Logging event: Internal | System Time 1520479765.81 | Logical Clock 67 
Logging event: Send to Machine 0 | System Time 1520479765.98 | Logical Clock 68 
Logging event: Internal | System Time 1520479766.14 | Logical Clock 69 
Logging event: Internal | System Time 1520479766.31 | Logical Clock 70 
Logging event: Send to Machine 1 | System Time 1520479766.48 | Logical Clock 71 
Logging event: Send to Machine 1 | System Time 1520479766.65 | Logical Clock 72 
Logging event: Internal | System Time 1520479766.81 | Logical Clock 73 
Logging event: Send to Both Machines | System Time 1520479766.98 | Logical Clock 74 
Logging event: Send to Both Machines | System Time 1520479767.15 | Logical Clock 75 
Logging event: Internal | System Time 1520479767.32 | Logical Clock 76 
Logging event: Internal | System Time 1520479767.49 | Logical Clock 77 
Logging event: Internal | System Time 1520479767.66 | Logical Clock 78 
Logging event: Send to Machine 1 | System Time 1520479767.82 | Logical Clock 79 
Logging event: Send to Machine 1 | System Time 1520479767.99 | Logical Clock 80 
Logging event: Receive | System Time 1520479768.16 | Logical Clock 81 
Logging event: Send to Machine 1 | System Time 1520479768.33 | Logical Clock 82 
Logging event: Internal | System Time 1520479768.5 | Logical Clock 83 
Logging event: Internal | System Time 1520479768.67 | Logical Clock 84 
Logging event: Internal | System Time 1520479768.84 | Logical Clock 85 
Logging event: Send to Both Machines | System Time 1520479769.01 | Logical Clock 86 
Logging event: Send to Machine 0 | System Time 1520479769.18 | Logical Clock 87 
Logging event: Internal | System Time 1520479769.35 | Logical Clock 88 
Logging event: Internal | System Time 1520479769.52 | Logical Clock 89 
Logging event: Send to Both Machines | System Time 1520479769.69 | Logical Clock 90 
Logging event: Internal | System Time 1520479769.86 | Logical Clock 91 
Logging event: Send to Both Machines | System Time 1520479770.04 | Logical Clock 92 
Logging event: Internal | System Time 1520479770.21 | Logical Clock 93 
Logging event: Internal | System Time 1520479770.38 | Logical Clock 94 
Logging event: Send to Machine 0 | System Time 1520479770.55 | Logical Clock 95 
Logging event: Internal | System Time 1520479770.72 | Logical Clock 96 
Logging event: Send to Machine 1 | System Time 1520479770.89 | Logical Clock 97 
Logging event: Internal | System Time 1520479771.06 | Logical Clock 98 
Logging event: Internal | System Time 1520479771.23 | Logical Clock 99 
Logging event: Send to Machine 0 | System Time 1520479771.4 | Logical Clock 100 
Logging event: Internal | System Time 1520479771.57 | Logical Clock 101 
Logging event: Internal | System Time 1520479771.74 | Logical Clock 102 
Logging event: Internal | System Time 1520479771.91 | Logical Clock 103 
Logging event: Receive | System Time 1520479772.08 | Logical Clock 104 
Logging event: Send to Machine 1 | System Time 1520479772.25 | Logical Clock 105 
Logging event: Send to Machine 1 | System Time 1520479772.42 | Logical Clock 106 
