Logging event: Internal | System Time 1520479754.63 | Logical Clock 1 
Logging event: Receive | System Time 1520479754.83 | Logical Clock 2 
Logging event: Receive | System Time 1520479755.04 | Logical Clock 3 
Logging event: Receive | System Time 1520479755.24 | Logical Clock 4 
Logging event: Internal | System Time 1520479755.45 | Logical Clock 5 
Logging event: Send to Both Machines | System Time 1520479755.65 | Logical Clock 6 
Logging event: Send to Machine 0 | System Time 1520479755.85 | Logical Clock 7 
Logging event: Send to Both Machines | System Time 1520479756.05 | Logical Clock 8 
Logging event: Internal | System Time 1520479756.26 | Logical Clock 9 
Logging event: Receive | System Time 1520479756.46 | Logical Clock 11 
Logging event: Internal | System Time 1520479756.67 | Logical Clock 12 
Logging event: Receive | System Time 1520479756.87 | Logical Clock 14 
Logging event: Internal | System Time 1520479757.08 | Logical Clock 15 
Logging event: Internal | System Time 1520479757.28 | Logical Clock 16 
Logging event: Send to Machine 0 | System Time 1520479757.48 | Logical Clock 17 
Logging event: Internal | System Time 1520479757.68 | Logical Clock 18 
Logging event: Internal | System Time 1520479757.89 | Logical Clock 19 
Logging event: Internal | System Time 1520479758.09 | Logical Clock 20 
Logging event: Receive | System Time 1520479758.29 | Logical Clock 22 
Logging event: Internal | System Time 1520479758.5 | Logical Clock 23 
Logging event: Receive | System Time 1520479758.7 | Logical Clock 25 
Logging event: Send to Machine 2 | System Time 1520479758.91 | Logical Clock 26 
Logging event: Internal | System Time 1520479759.11 | Logical Clock 27 
Logging event: Internal | System Time 1520479759.31 | Logical Clock 28 
Logging event: Internal | System Time 1520479759.51 | Logical Clock 29 
Logging event: Receive | System Time 1520479759.71 | Logical Clock 30 
Logging event: Receive | System Time 1520479759.92 | Logical Clock 31 
Logging event: Send to Both Machines | System Time 1520479760.12 | Logical Clock 32 
Logging event: Internal | System Time 1520479760.32 | Logical Clock 33 
Logging event: Send to Both Machines | System Time 1520479760.52 | Logical Clock 34 
Logging event: Internal | System Time 1520479760.73 | Logical Clock 35 
Logging event: Receive | System Time 1520479760.93 | Logical Clock 38 
Logging event: Internal | System Time 1520479761.13 | Logical Clock 39 
Logging event: Internal | System Time 1520479761.34 | Logical Clock 40 
Logging event: Send to Both Machines | System Time 1520479761.54 | Logical Clock 41 
Logging event: Internal | System Time 1520479761.75 | Logical Clock 42 
Logging event: Send to Machine 0 | System Time 1520479761.95 | Logical Clock 43 
Logging event: Send to Machine 2 | System Time 1520479762.15 | Logical Clock 44 
Logging event: Send to Machine 2 | System Time 1520479762.36 | Logical Clock 45 
Logging event: Internal | System Time 1520479762.56 | Logical Clock 46 
Logging event: Send to Both Machines | System Time 1520479762.76 | Logical Clock 47 
Logging event: Internal | System Time 1520479762.97 | Logical Clock 48 
Logging event: Receive | System Time 1520479763.17 | Logical Clock 51 
Logging event: Internal | System Time 1520479763.37 | Logical Clock 52 
Logging event: Internal | System Time 1520479763.57 | Logical Clock 53 
Logging event: Send to Both Machines | System Time 1520479763.78 | Logical Clock 54 
Logging event: Internal | System Time 1520479763.98 | Logical Clock 55 
Logging event: Internal | System Time 1520479764.19 | Logical Clock 56 
Logging event: Receive | System Time 1520479764.39 | Logical Clock 58 
Logging event: Receive | System Time 1520479764.59 | Logical Clock 59 
Logging event: Internal | System Time 1520479764.8 | Logical Clock 60 
Logging event: Send to Both Machines | System Time 1520479765.0 | Logical Clock 61 
Logging event: Internal | System Time 1520479765.21 | Logical Clock 62 
Logging event: Receive | System Time 1520479765.42 | Logical Clock 64 
Logging event: Receive | System Time 1520479765.62 | Logical Clock 65 
Logging event: Internal | System Time 1520479765.82 | Logical Clock 66 
Logging event: Internal | System Time 1520479766.02 | Logical Clock 67 
Logging event: Internal | System Time 1520479766.22 | Logical Clock 68 
Logging event: Send to Machine 0 | System Time 1520479766.42 | Logical Clock 69 
