Logging event: Send to Machine 1 | System Time 1520475142.633237 | Logical Clock 1 
Logging event: Internal | System Time 1520475143.138276 | Logical Clock 2 
Logging event: Receive | System Time 1520475143.639096 | Logical Clock 5 
Logging event: Receive | System Time 1520475144.1404228 | Logical Clock 7 
Logging event: Receive | System Time 1520475144.644586 | Logical Clock 12 
Logging event: Receive | System Time 1520475145.1461928 | Logical Clock 16 
Logging event: Send to Machine 1 | System Time 1520475145.6518168 | Logical Clock 17 
Logging event: Receive | System Time 1520475146.152558 | Logical Clock 22 
Logging event: Internal | System Time 1520475146.655892 | Logical Clock 23 
Logging event: Receive | System Time 1520475147.16061 | Logical Clock 27 
Logging event: Send to Both Machines | System Time 1520475147.661921 | Logical Clock 28 
Logging event: Send to Machine 2 | System Time 1520475148.168149 | Logical Clock 29 
Logging event: Internal | System Time 1520475148.674144 | Logical Clock 30 
Logging event: Internal | System Time 1520475149.1789382 | Logical Clock 31 
Logging event: Receive | System Time 1520475149.682635 | Logical Clock 41 
Logging event: Internal | System Time 1520475150.188142 | Logical Clock 42 
Logging event: Receive | System Time 1520475150.691493 | Logical Clock 49 
Logging event: Receive | System Time 1520475151.1973639 | Logical Clock 50 
Logging event: Receive | System Time 1520475151.700395 | Logical Clock 51 
Logging event: Receive | System Time 1520475152.205444 | Logical Clock 54 
Logging event: Internal | System Time 1520475152.710738 | Logical Clock 55 
Logging event: Receive | System Time 1520475153.213623 | Logical Clock 63 
Logging event: Receive | System Time 1520475153.7191732 | Logical Clock 64 
Logging event: Receive | System Time 1520475154.2198 | Logical Clock 65 
Logging event: Receive | System Time 1520475154.720458 | Logical Clock 70 
Logging event: Internal | System Time 1520475155.222633 | Logical Clock 71 
Logging event: Receive | System Time 1520475155.7261848 | Logical Clock 77 
Logging event: Send to Machine 2 | System Time 1520475156.2324219 | Logical Clock 78 
Logging event: Receive | System Time 1520475156.7336729 | Logical Clock 84 
Logging event: Receive | System Time 1520475157.2344189 | Logical Clock 86 
Logging event: Receive | System Time 1520475157.7379699 | Logical Clock 89 
Logging event: Receive | System Time 1520475158.243901 | Logical Clock 90 
Logging event: Receive | System Time 1520475158.748616 | Logical Clock 92 
Logging event: Receive | System Time 1520475159.2531068 | Logical Clock 93 
Logging event: Receive | System Time 1520475159.7593222 | Logical Clock 94 
Logging event: Receive | System Time 1520475160.260515 | Logical Clock 101 
Logging event: Receive | System Time 1520475160.7663848 | Logical Clock 104 
Logging event: Receive | System Time 1520475161.271646 | Logical Clock 105 
Logging event: Receive | System Time 1520475161.7768059 | Logical Clock 106 
Logging event: Receive | System Time 1520475162.282439 | Logical Clock 109 
