Logging event: Receive | System Time 1520475382.6610088 | Logical Clock 2 
Logging event: Send to Both Machines | System Time 1520475382.761237 | Logical Clock 3 
Logging event: Send to Machine 0 | System Time 1520475382.8666072 | Logical Clock 4 
Logging event: Send to Both Machines | System Time 1520475382.970319 | Logical Clock 5 
Logging event: Send to Machine 1 | System Time 1520475383.075588 | Logical Clock 6 
Logging event: Internal | System Time 1520475383.177074 | Logical Clock 7 
Logging event: Send to Both Machines | System Time 1520475383.278543 | Logical Clock 8 
Logging event: Send to Both Machines | System Time 1520475383.381702 | Logical Clock 9 
Logging event: Send to Both Machines | System Time 1520475383.4842958 | Logical Clock 10 
Logging event: Internal | System Time 1520475383.5854678 | Logical Clock 11 
Logging event: Send to Machine 0 | System Time 1520475383.6858501 | Logical Clock 12 
Logging event: Send to Machine 1 | System Time 1520475383.786089 | Logical Clock 13 
Logging event: Send to Machine 1 | System Time 1520475383.891506 | Logical Clock 14 
Logging event: Send to Both Machines | System Time 1520475383.9944751 | Logical Clock 15 
Logging event: Send to Both Machines | System Time 1520475384.095248 | Logical Clock 16 
Logging event: Send to Both Machines | System Time 1520475384.195936 | Logical Clock 17 
Logging event: Send to Both Machines | System Time 1520475384.297148 | Logical Clock 18 
Logging event: Send to Machine 1 | System Time 1520475384.397422 | Logical Clock 19 
Logging event: Send to Both Machines | System Time 1520475384.4982872 | Logical Clock 20 
Logging event: Send to Both Machines | System Time 1520475384.602497 | Logical Clock 21 
Logging event: Send to Both Machines | System Time 1520475384.704392 | Logical Clock 22 
Logging event: Send to Both Machines | System Time 1520475384.805656 | Logical Clock 23 
Logging event: Internal | System Time 1520475384.911175 | Logical Clock 24 
Logging event: Send to Both Machines | System Time 1520475385.01168 | Logical Clock 25 
Logging event: Send to Both Machines | System Time 1520475385.1152241 | Logical Clock 26 
Logging event: Internal | System Time 1520475385.215591 | Logical Clock 27 
Logging event: Send to Machine 0 | System Time 1520475385.320914 | Logical Clock 28 
Logging event: Send to Both Machines | System Time 1520475385.4255989 | Logical Clock 29 
Logging event: Send to Both Machines | System Time 1520475385.526847 | Logical Clock 30 
Logging event: Send to Machine 1 | System Time 1520475385.632479 | Logical Clock 31 
Logging event: Internal | System Time 1520475385.735606 | Logical Clock 32 
Logging event: Internal | System Time 1520475385.840498 | Logical Clock 33 
Logging event: Send to Machine 1 | System Time 1520475385.941172 | Logical Clock 34 
Logging event: Send to Both Machines | System Time 1520475386.04754 | Logical Clock 35 
Logging event: Send to Both Machines | System Time 1520475386.150327 | Logical Clock 36 
Logging event: Internal | System Time 1520475386.254088 | Logical Clock 37 
Logging event: Send to Machine 0 | System Time 1520475386.358409 | Logical Clock 38 
Logging event: Internal | System Time 1520475386.462403 | Logical Clock 39 
Logging event: Send to Machine 1 | System Time 1520475386.567342 | Logical Clock 40 
Logging event: Send to Machine 1 | System Time 1520475386.6679418 | Logical Clock 41 
Logging event: Internal | System Time 1520475386.7707038 | Logical Clock 42 
Logging event: Send to Both Machines | System Time 1520475386.871309 | Logical Clock 43 
Logging event: Send to Both Machines | System Time 1520475386.975755 | Logical Clock 44 
Logging event: Send to Machine 0 | System Time 1520475387.07847 | Logical Clock 45 
Logging event: Send to Both Machines | System Time 1520475387.1827142 | Logical Clock 46 
Logging event: Internal | System Time 1520475387.285305 | Logical Clock 47 
Logging event: Internal | System Time 1520475387.3873742 | Logical Clock 48 
Logging event: Send to Both Machines | System Time 1520475387.490305 | Logical Clock 49 
Logging event: Send to Both Machines | System Time 1520475387.590781 | Logical Clock 50 
Logging event: Send to Both Machines | System Time 1520475387.695497 | Logical Clock 51 
Logging event: Send to Machine 0 | System Time 1520475387.7977831 | Logical Clock 52 
Logging event: Send to Machine 0 | System Time 1520475387.903029 | Logical Clock 53 
Logging event: Send to Both Machines | System Time 1520475388.003521 | Logical Clock 54 
Logging event: Internal | System Time 1520475388.105317 | Logical Clock 55 
Logging event: Send to Machine 0 | System Time 1520475388.209237 | Logical Clock 56 
Logging event: Internal | System Time 1520475388.310365 | Logical Clock 57 
Logging event: Internal | System Time 1520475388.41311 | Logical Clock 58 
Logging event: Send to Machine 0 | System Time 1520475388.51555 | Logical Clock 59 
Logging event: Send to Machine 1 | System Time 1520475388.6179972 | Logical Clock 60 
Logging event: Internal | System Time 1520475388.718621 | Logical Clock 61 
Logging event: Send to Both Machines | System Time 1520475388.818932 | Logical Clock 62 
Logging event: Send to Both Machines | System Time 1520475388.9243279 | Logical Clock 63 
Logging event: Internal | System Time 1520475389.0291278 | Logical Clock 64 
Logging event: Send to Machine 1 | System Time 1520475389.130362 | Logical Clock 65 
Logging event: Internal | System Time 1520475389.232633 | Logical Clock 66 
Logging event: Send to Machine 0 | System Time 1520475389.3353522 | Logical Clock 67 
Logging event: Send to Machine 1 | System Time 1520475389.436563 | Logical Clock 68 
Logging event: Send to Machine 0 | System Time 1520475389.5404859 | Logical Clock 69 
Logging event: Send to Machine 1 | System Time 1520475389.643116 | Logical Clock 70 
Logging event: Send to Machine 0 | System Time 1520475389.745594 | Logical Clock 71 
Logging event: Send to Machine 1 | System Time 1520475389.8478332 | Logical Clock 72 
Logging event: Send to Machine 1 | System Time 1520475389.948321 | Logical Clock 73 
Logging event: Send to Both Machines | System Time 1520475390.053091 | Logical Clock 74 
Logging event: Internal | System Time 1520475390.155654 | Logical Clock 75 
Logging event: Internal | System Time 1520475390.256442 | Logical Clock 76 
Logging event: Send to Machine 0 | System Time 1520475390.357826 | Logical Clock 77 
Logging event: Send to Machine 1 | System Time 1520475390.458563 | Logical Clock 78 
Logging event: Internal | System Time 1520475390.562154 | Logical Clock 79 
Logging event: Internal | System Time 1520475390.6652532 | Logical Clock 80 
Logging event: Send to Both Machines | System Time 1520475390.766444 | Logical Clock 81 
Logging event: Send to Both Machines | System Time 1520475390.867191 | Logical Clock 82 
Logging event: Internal | System Time 1520475390.972476 | Logical Clock 83 
Logging event: Send to Both Machines | System Time 1520475391.077142 | Logical Clock 84 
Logging event: Send to Machine 1 | System Time 1520475391.18004 | Logical Clock 85 
