Logging event: Internal | System Time 1520480234.6 | Logical Clock 1 
Logging event: Receive | System Time 1520480234.7 | Logical Clock 2 
Logging event: Internal | System Time 1520480234.8 | Logical Clock 3 
Logging event: Internal | System Time 1520480234.9 | Logical Clock 4 
Logging event: Internal | System Time 1520480235.01 | Logical Clock 5 
Logging event: Internal | System Time 1520480235.11 | Logical Clock 6 
Logging event: Internal | System Time 1520480235.21 | Logical Clock 7 
Logging event: Send to Machine 0 | System Time 1520480235.32 | Logical Clock 8 
Logging event: Send to Machine 0 | System Time 1520480235.42 | Logical Clock 9 
Logging event: Send to Machine 1 | System Time 1520480235.53 | Logical Clock 10 
Logging event: Send to Machine 0 | System Time 1520480235.63 | Logical Clock 11 
Logging event: Internal | System Time 1520480235.73 | Logical Clock 12 
Logging event: Send to Both Machines | System Time 1520480235.83 | Logical Clock 13 
Logging event: Send to Machine 1 | System Time 1520480235.93 | Logical Clock 14 
Logging event: Send to Machine 0 | System Time 1520480236.04 | Logical Clock 15 
Logging event: Internal | System Time 1520480236.14 | Logical Clock 16 
Logging event: Internal | System Time 1520480236.25 | Logical Clock 17 
Logging event: Internal | System Time 1520480236.35 | Logical Clock 18 
Logging event: Internal | System Time 1520480236.45 | Logical Clock 19 
Logging event: Internal | System Time 1520480236.56 | Logical Clock 20 
Logging event: Internal | System Time 1520480236.66 | Logical Clock 21 
Logging event: Receive | System Time 1520480236.76 | Logical Clock 22 
Logging event: Internal | System Time 1520480236.87 | Logical Clock 23 
Logging event: Send to Machine 1 | System Time 1520480236.97 | Logical Clock 24 
Logging event: Send to Machine 1 | System Time 1520480237.07 | Logical Clock 25 
Logging event: Send to Both Machines | System Time 1520480237.18 | Logical Clock 26 
Logging event: Send to Machine 0 | System Time 1520480237.28 | Logical Clock 27 
Logging event: Internal | System Time 1520480237.38 | Logical Clock 28 
Logging event: Internal | System Time 1520480237.48 | Logical Clock 29 
Logging event: Send to Machine 0 | System Time 1520480237.59 | Logical Clock 30 
Logging event: Send to Machine 1 | System Time 1520480237.69 | Logical Clock 31 
Logging event: Internal | System Time 1520480237.8 | Logical Clock 32 
Logging event: Send to Machine 0 | System Time 1520480237.9 | Logical Clock 33 
Logging event: Internal | System Time 1520480238.01 | Logical Clock 34 
Logging event: Send to Machine 1 | System Time 1520480238.11 | Logical Clock 35 
Logging event: Send to Both Machines | System Time 1520480238.22 | Logical Clock 36 
Logging event: Internal | System Time 1520480238.32 | Logical Clock 37 
Logging event: Send to Machine 0 | System Time 1520480238.42 | Logical Clock 38 
Logging event: Send to Machine 1 | System Time 1520480238.52 | Logical Clock 39 
Logging event: Internal | System Time 1520480238.62 | Logical Clock 40 
Logging event: Send to Machine 0 | System Time 1520480238.73 | Logical Clock 41 
Logging event: Receive | System Time 1520480238.83 | Logical Clock 42 
Logging event: Internal | System Time 1520480238.93 | Logical Clock 43 
Logging event: Receive | System Time 1520480239.03 | Logical Clock 44 
Logging event: Internal | System Time 1520480239.14 | Logical Clock 45 
Logging event: Send to Machine 0 | System Time 1520480239.24 | Logical Clock 46 
Logging event: Send to Both Machines | System Time 1520480239.35 | Logical Clock 47 
