Logging event: Receive | System Time 1520475442.663934 | Logical Clock 2 
Logging event: Send to Machine 0 | System Time 1520475442.866996 | Logical Clock 3 
Logging event: Send to Machine 0 | System Time 1520475443.068557 | Logical Clock 4 
Logging event: Receive | System Time 1520475443.2689762 | Logical Clock 7 
Logging event: Receive | System Time 1520475443.4704819 | Logical Clock 8 
Logging event: Receive | System Time 1520475443.6710742 | Logical Clock 9 
Logging event: Receive | System Time 1520475443.87134 | Logical Clock 10 
Logging event: Receive | System Time 1520475444.072351 | Logical Clock 11 
Logging event: Receive | System Time 1520475444.274677 | Logical Clock 16 
Logging event: Receive | System Time 1520475444.475232 | Logical Clock 17 
Logging event: Receive | System Time 1520475444.677972 | Logical Clock 20 
Logging event: Receive | System Time 1520475444.883586 | Logical Clock 21 
Logging event: Receive | System Time 1520475445.0843022 | Logical Clock 24 
Logging event: Internal | System Time 1520475445.28468 | Logical Clock 25 
Logging event: Send to Machine 0 | System Time 1520475445.485793 | Logical Clock 26 
Logging event: Internal | System Time 1520475445.687616 | Logical Clock 27 
Logging event: Receive | System Time 1520475445.891837 | Logical Clock 32 
Logging event: Send to Machine 0 | System Time 1520475446.096858 | Logical Clock 33 
Logging event: Receive | System Time 1520475446.300151 | Logical Clock 37 
Logging event: Send to Machine 2 | System Time 1520475446.505578 | Logical Clock 38 
Logging event: Send to Machine 2 | System Time 1520475446.711262 | Logical Clock 39 
Logging event: Send to Machine 2 | System Time 1520475446.915306 | Logical Clock 40 
Logging event: Send to Both Machines | System Time 1520475447.1207218 | Logical Clock 41 
Logging event: Receive | System Time 1520475447.326368 | Logical Clock 47 
Logging event: Send to Machine 2 | System Time 1520475447.528469 | Logical Clock 48 
Logging event: Send to Machine 2 | System Time 1520475447.7306519 | Logical Clock 49 
Logging event: Internal | System Time 1520475447.9354 | Logical Clock 50 
Logging event: Receive | System Time 1520475448.139562 | Logical Clock 54 
Logging event: Internal | System Time 1520475448.3405929 | Logical Clock 55 
Logging event: Receive | System Time 1520475448.5463161 | Logical Clock 57 
Logging event: Send to Machine 2 | System Time 1520475448.747935 | Logical Clock 58 
Logging event: Receive | System Time 1520475448.948528 | Logical Clock 62 
Logging event: Receive | System Time 1520475449.1492548 | Logical Clock 64 
Logging event: Receive | System Time 1520475449.350752 | Logical Clock 65 
Logging event: Receive | System Time 1520475449.552649 | Logical Clock 68 
Logging event: Send to Machine 2 | System Time 1520475449.758315 | Logical Clock 69 
Logging event: Send to Machine 0 | System Time 1520475449.963145 | Logical Clock 70 
Logging event: Send to Machine 2 | System Time 1520475450.1643882 | Logical Clock 71 
Logging event: Internal | System Time 1520475450.3699992 | Logical Clock 72 
Logging event: Send to Machine 2 | System Time 1520475450.575685 | Logical Clock 73 
Logging event: Send to Machine 0 | System Time 1520475450.77646 | Logical Clock 74 
Logging event: Send to Machine 0 | System Time 1520475450.979689 | Logical Clock 75 
Logging event: Send to Machine 2 | System Time 1520475451.1851158 | Logical Clock 76 
Logging event: Send to Machine 2 | System Time 1520475451.3879108 | Logical Clock 77 
Logging event: Receive | System Time 1520475451.5934951 | Logical Clock 88 
Logging event: Receive | System Time 1520475451.7970262 | Logical Clock 90 
Logging event: Send to Machine 2 | System Time 1520475451.997349 | Logical Clock 91 
Logging event: Receive | System Time 1520475452.202539 | Logical Clock 94 
Logging event: Receive | System Time 1520475452.407928 | Logical Clock 96 
Logging event: Internal | System Time 1520475452.6090848 | Logical Clock 97 
Logging event: Receive | System Time 1520475452.814687 | Logical Clock 99 
Logging event: Send to Machine 2 | System Time 1520475453.020255 | Logical Clock 100 
Logging event: Receive | System Time 1520475453.223855 | Logical Clock 104 
Logging event: Receive | System Time 1520475453.4244218 | Logical Clock 106 
Logging event: Receive | System Time 1520475453.629931 | Logical Clock 108 
Logging event: Send to Machine 0 | System Time 1520475453.835417 | Logical Clock 109 
Logging event: Internal | System Time 1520475454.039666 | Logical Clock 110 
Logging event: Send to Machine 0 | System Time 1520475454.2452748 | Logical Clock 111 
Logging event: Internal | System Time 1520475454.451209 | Logical Clock 112 
Logging event: Internal | System Time 1520475454.654967 | Logical Clock 113 
Logging event: Receive | System Time 1520475454.8603919 | Logical Clock 119 
Logging event: Internal | System Time 1520475455.066329 | Logical Clock 120 
Logging event: Internal | System Time 1520475455.271137 | Logical Clock 121 
Logging event: Send to Both Machines | System Time 1520475455.475793 | Logical Clock 122 
Logging event: Send to Machine 0 | System Time 1520475455.676262 | Logical Clock 123 
Logging event: Send to Machine 2 | System Time 1520475455.8772779 | Logical Clock 124 
Logging event: Send to Machine 2 | System Time 1520475456.08272 | Logical Clock 125 
Logging event: Internal | System Time 1520475456.2868989 | Logical Clock 126 
Logging event: Receive | System Time 1520475456.487508 | Logical Clock 136 
Logging event: Send to Machine 2 | System Time 1520475456.6930282 | Logical Clock 137 
Logging event: Send to Machine 2 | System Time 1520475456.895377 | Logical Clock 138 
Logging event: Send to Machine 2 | System Time 1520475457.098218 | Logical Clock 139 
Logging event: Internal | System Time 1520475457.3030558 | Logical Clock 140 
Logging event: Receive | System Time 1520475457.5063381 | Logical Clock 146 
Logging event: Send to Machine 0 | System Time 1520475457.7078369 | Logical Clock 147 
Logging event: Receive | System Time 1520475457.9127371 | Logical Clock 149 
Logging event: Receive | System Time 1520475458.114934 | Logical Clock 152 
Logging event: Send to Machine 2 | System Time 1520475458.317198 | Logical Clock 153 
Logging event: Receive | System Time 1520475458.5179782 | Logical Clock 156 
Logging event: Send to Machine 2 | System Time 1520475458.720039 | Logical Clock 157 
Logging event: Receive | System Time 1520475458.920935 | Logical Clock 160 
Logging event: Receive | System Time 1520475459.125706 | Logical Clock 162 
Logging event: Send to Machine 2 | System Time 1520475459.3288162 | Logical Clock 163 
Logging event: Send to Both Machines | System Time 1520475459.533958 | Logical Clock 164 
Logging event: Send to Machine 0 | System Time 1520475459.740005 | Logical Clock 165 
Logging event: Receive | System Time 1520475459.940753 | Logical Clock 168 
Logging event: Send to Machine 2 | System Time 1520475460.1462169 | Logical Clock 169 
Logging event: Send to Both Machines | System Time 1520475460.351917 | Logical Clock 170 
Logging event: Receive | System Time 1520475460.554383 | Logical Clock 175 
Logging event: Send to Machine 2 | System Time 1520475460.758338 | Logical Clock 176 
Logging event: Internal | System Time 1520475460.960141 | Logical Clock 177 
Logging event: Receive | System Time 1520475461.1609862 | Logical Clock 180 
Logging event: Receive | System Time 1520475461.361803 | Logical Clock 181 
Logging event: Receive | System Time 1520475461.5649679 | Logical Clock 184 
Logging event: Send to Machine 0 | System Time 1520475461.766165 | Logical Clock 185 
Logging event: Receive | System Time 1520475461.971763 | Logical Clock 189 
Logging event: Receive | System Time 1520475462.1774411 | Logical Clock 191 
Logging event: Internal | System Time 1520475462.3817081 | Logical Clock 192 
Logging event: Send to Machine 2 | System Time 1520475462.5844831 | Logical Clock 193 
Logging event: Send to Machine 2 | System Time 1520475462.7872262 | Logical Clock 194 
Logging event: Send to Machine 2 | System Time 1520475462.9892569 | Logical Clock 195 
Logging event: Send to Machine 0 | System Time 1520475463.193449 | Logical Clock 196 
Logging event: Send to Machine 2 | System Time 1520475463.394567 | Logical Clock 197 
Logging event: Send to Machine 2 | System Time 1520475463.59552 | Logical Clock 198 
Logging event: Send to Machine 2 | System Time 1520475463.798183 | Logical Clock 199 
Logging event: Send to Machine 2 | System Time 1520475464.003456 | Logical Clock 200 
Logging event: Send to Both Machines | System Time 1520475464.2040908 | Logical Clock 201 
Logging event: Receive | System Time 1520475464.40857 | Logical Clock 213 
Logging event: Send to Machine 2 | System Time 1520475464.6092641 | Logical Clock 214 
Logging event: Internal | System Time 1520475464.8096662 | Logical Clock 215 
Logging event: Send to Machine 2 | System Time 1520475465.013963 | Logical Clock 216 
Logging event: Receive | System Time 1520475465.217042 | Logical Clock 221 
Logging event: Receive | System Time 1520475465.419903 | Logical Clock 222 
Logging event: Receive | System Time 1520475465.623887 | Logical Clock 223 
Logging event: Send to Machine 2 | System Time 1520475465.829356 | Logical Clock 224 
Logging event: Receive | System Time 1520475466.034952 | Logical Clock 229 
Logging event: Receive | System Time 1520475466.2395022 | Logical Clock 230 
Logging event: Receive | System Time 1520475466.441508 | Logical Clock 231 
Logging event: Send to Machine 2 | System Time 1520475466.647205 | Logical Clock 232 
Logging event: Receive | System Time 1520475466.849548 | Logical Clock 236 
Logging event: Receive | System Time 1520475467.05568 | Logical Clock 237 
Logging event: Receive | System Time 1520475467.2575161 | Logical Clock 239 
Logging event: Internal | System Time 1520475467.463254 | Logical Clock 240 
Logging event: Receive | System Time 1520475467.668782 | Logical Clock 243 
Logging event: Receive | System Time 1520475467.871788 | Logical Clock 246 
Logging event: Send to Machine 2 | System Time 1520475468.072482 | Logical Clock 247 
Logging event: Internal | System Time 1520475468.274397 | Logical Clock 248 
Logging event: Receive | System Time 1520475468.475161 | Logical Clock 251 
Logging event: Receive | System Time 1520475468.6773398 | Logical Clock 252 
Logging event: Receive | System Time 1520475468.880036 | Logical Clock 253 
Logging event: Receive | System Time 1520475469.081312 | Logical Clock 255 
