Logging event: Send to Machine 1 | System Time 1520475442.663661 | Logical Clock 1 
Logging event: Receive | System Time 1520475443.6651049 | Logical Clock 2 
Logging event: Receive | System Time 1520475444.670309 | Logical Clock 4 
Logging event: Receive | System Time 1520475445.671472 | Logical Clock 5 
Logging event: Receive | System Time 1520475446.6725068 | Logical Clock 6 
Logging event: Receive | System Time 1520475447.675651 | Logical Clock 7 
Logging event: Receive | System Time 1520475448.676285 | Logical Clock 10 
Logging event: Receive | System Time 1520475449.678904 | Logical Clock 14 
Logging event: Receive | System Time 1520475450.6807082 | Logical Clock 16 
Logging event: Receive | System Time 1520475451.683087 | Logical Clock 17 
Logging event: Receive | System Time 1520475452.685502 | Logical Clock 18 
Logging event: Receive | System Time 1520475453.6871092 | Logical Clock 19 
Logging event: Receive | System Time 1520475454.6905222 | Logical Clock 20 
Logging event: Receive | System Time 1520475455.692396 | Logical Clock 21 
Logging event: Receive | System Time 1520475456.693316 | Logical Clock 22 
Logging event: Receive | System Time 1520475457.69793 | Logical Clock 23 
Logging event: Receive | System Time 1520475458.7005801 | Logical Clock 25 
Logging event: Receive | System Time 1520475459.7023392 | Logical Clock 26 
Logging event: Receive | System Time 1520475460.707979 | Logical Clock 27 
Logging event: Receive | System Time 1520475461.711263 | Logical Clock 28 
Logging event: Receive | System Time 1520475462.7131991 | Logical Clock 29 
Logging event: Receive | System Time 1520475463.7189062 | Logical Clock 30 
Logging event: Receive | System Time 1520475464.722689 | Logical Clock 31 
Logging event: Receive | System Time 1520475465.723964 | Logical Clock 34 
Logging event: Receive | System Time 1520475466.729444 | Logical Clock 35 
Logging event: Receive | System Time 1520475467.7333791 | Logical Clock 37 
Logging event: Receive | System Time 1520475468.7390459 | Logical Clock 38 
Logging event: Receive | System Time 1520475469.7422998 | Logical Clock 39 
Logging event: Receive | System Time 1520475470.745933 | Logical Clock 42 
Logging event: Receive | System Time 1520475471.7470798 | Logical Clock 47 
Logging event: Receive | System Time 1520475472.7512782 | Logical Clock 49 
Logging event: Receive | System Time 1520475473.754785 | Logical Clock 51 
Logging event: Receive | System Time 1520475474.758634 | Logical Clock 53 
Logging event: Receive | System Time 1520475475.762269 | Logical Clock 54 
Logging event: Receive | System Time 1520475476.766763 | Logical Clock 56 
Logging event: Receive | System Time 1520475477.769971 | Logical Clock 57 
Logging event: Receive | System Time 1520475478.772751 | Logical Clock 59 
Logging event: Receive | System Time 1520475479.773372 | Logical Clock 62 
Logging event: Receive | System Time 1520475480.776993 | Logical Clock 63 
Logging event: Receive | System Time 1520475481.7823849 | Logical Clock 66 
Logging event: Receive | System Time 1520475482.7851698 | Logical Clock 70 
Logging event: Receive | System Time 1520475483.7884648 | Logical Clock 71 
Logging event: Receive | System Time 1520475484.7931361 | Logical Clock 74 
Logging event: Receive | System Time 1520475485.793607 | Logical Clock 76 
Logging event: Receive | System Time 1520475486.798523 | Logical Clock 77 
Logging event: Receive | System Time 1520475487.801913 | Logical Clock 80 
Logging event: Receive | System Time 1520475488.804626 | Logical Clock 81 
Logging event: Receive | System Time 1520475489.807776 | Logical Clock 82 
Logging event: Receive | System Time 1520475490.808162 | Logical Clock 83 
Logging event: Receive | System Time 1520475491.809045 | Logical Clock 84 
Logging event: Receive | System Time 1520475492.811275 | Logical Clock 86 
Logging event: Receive | System Time 1520475493.8144221 | Logical Clock 89 
Logging event: Receive | System Time 1520475494.817447 | Logical Clock 90 
Logging event: Receive | System Time 1520475495.823151 | Logical Clock 91 
Logging event: Receive | System Time 1520475496.828823 | Logical Clock 92 
Logging event: Receive | System Time 1520475497.8345978 | Logical Clock 97 
Logging event: Receive | System Time 1520475498.836067 | Logical Clock 98 
Logging event: Receive | System Time 1520475499.837337 | Logical Clock 102 
Logging event: Receive | System Time 1520475500.8380742 | Logical Clock 107 
Logging event: Receive | System Time 1520475501.839 | Logical Clock 109 
