Logging event: Receive | System Time 1520475082.626224 | Logical Clock 2 
Logging event: Internal | System Time 1520475082.797441 | Logical Clock 3 
Logging event: Send to Machine 0 | System Time 1520475082.967767 | Logical Clock 4 
Logging event: Internal | System Time 1520475083.136273 | Logical Clock 5 
Logging event: Receive | System Time 1520475083.3085482 | Logical Clock 6 
Logging event: Send to Machine 0 | System Time 1520475083.475691 | Logical Clock 7 
Logging event: Send to Machine 0 | System Time 1520475083.6426308 | Logical Clock 8 
Logging event: Send to Machine 0 | System Time 1520475083.8113668 | Logical Clock 9 
Logging event: Receive | System Time 1520475083.9787068 | Logical Clock 10 
Logging event: Send to Both Machines | System Time 1520475084.148911 | Logical Clock 11 
Logging event: Send to Machine 1 | System Time 1520475084.319823 | Logical Clock 12 
Logging event: Send to Machine 0 | System Time 1520475084.489731 | Logical Clock 13 
Logging event: Receive | System Time 1520475084.6606479 | Logical Clock 15 
Logging event: Send to Machine 0 | System Time 1520475084.828395 | Logical Clock 16 
Logging event: Receive | System Time 1520475084.99896 | Logical Clock 17 
Logging event: Receive | System Time 1520475085.1668181 | Logical Clock 18 
Logging event: Receive | System Time 1520475085.334435 | Logical Clock 19 
Logging event: Send to Machine 0 | System Time 1520475085.5066292 | Logical Clock 20 
Logging event: Receive | System Time 1520475085.678644 | Logical Clock 21 
Logging event: Send to Machine 0 | System Time 1520475085.8495302 | Logical Clock 22 
Logging event: Receive | System Time 1520475086.017098 | Logical Clock 23 
Logging event: Receive | System Time 1520475086.1866822 | Logical Clock 24 
Logging event: Send to Machine 0 | System Time 1520475086.354155 | Logical Clock 25 
Logging event: Send to Machine 1 | System Time 1520475086.5262668 | Logical Clock 26 
Logging event: Internal | System Time 1520475086.698514 | Logical Clock 27 
Logging event: Internal | System Time 1520475086.866828 | Logical Clock 28 
Logging event: Send to Machine 0 | System Time 1520475087.034018 | Logical Clock 29 
Logging event: Send to Machine 0 | System Time 1520475087.2057128 | Logical Clock 30 
Logging event: Receive | System Time 1520475087.377941 | Logical Clock 31 
Logging event: Send to Machine 0 | System Time 1520475087.549481 | Logical Clock 32 
Logging event: Receive | System Time 1520475087.7178838 | Logical Clock 33 
Logging event: Receive | System Time 1520475087.890027 | Logical Clock 34 
Logging event: Send to Machine 0 | System Time 1520475088.0583591 | Logical Clock 35 
Logging event: Receive | System Time 1520475088.230489 | Logical Clock 36 
Logging event: Send to Both Machines | System Time 1520475088.399554 | Logical Clock 37 
Logging event: Send to Machine 1 | System Time 1520475088.571759 | Logical Clock 38 
Logging event: Send to Machine 0 | System Time 1520475088.740588 | Logical Clock 39 
Logging event: Send to Machine 1 | System Time 1520475088.90892 | Logical Clock 40 
Logging event: Send to Machine 0 | System Time 1520475089.076502 | Logical Clock 41 
