Logging event: Send to Both Machines | System Time 1520475082.625762 | Logical Clock 1 
Logging event: Send to Machine 1 | System Time 1520475082.8802109 | Logical Clock 2 
Logging event: Receive | System Time 1520475083.1359859 | Logical Clock 5 
Logging event: Send to Machine 1 | System Time 1520475083.386709 | Logical Clock 6 
Logging event: Receive | System Time 1520475083.637026 | Logical Clock 8 
Logging event: Receive | System Time 1520475083.892429 | Logical Clock 9 
Logging event: Receive | System Time 1520475084.14622 | Logical Clock 10 
Logging event: Receive | System Time 1520475084.3967109 | Logical Clock 11 
Logging event: Receive | System Time 1520475084.649763 | Logical Clock 12 
Logging event: Receive | System Time 1520475084.899976 | Logical Clock 13 
Logging event: Receive | System Time 1520475085.155413 | Logical Clock 14 
Logging event: Receive | System Time 1520475085.406868 | Logical Clock 15 
Logging event: Receive | System Time 1520475085.6619189 | Logical Clock 16 
Logging event: Receive | System Time 1520475085.913992 | Logical Clock 17 
Logging event: Receive | System Time 1520475086.168342 | Logical Clock 21 
Logging event: Receive | System Time 1520475086.423962 | Logical Clock 22 
Logging event: Receive | System Time 1520475086.675287 | Logical Clock 23 
Logging event: Receive | System Time 1520475086.925771 | Logical Clock 24 
Logging event: Receive | System Time 1520475087.1788611 | Logical Clock 26 
Logging event: Receive | System Time 1520475087.4344718 | Logical Clock 30 
Logging event: Receive | System Time 1520475087.687833 | Logical Clock 31 
Logging event: Receive | System Time 1520475087.9383528 | Logical Clock 32 
Logging event: Receive | System Time 1520475088.191189 | Logical Clock 33 
Logging event: Receive | System Time 1520475088.443952 | Logical Clock 34 
Logging event: Receive | System Time 1520475088.6949341 | Logical Clock 36 
Logging event: Receive | System Time 1520475088.948329 | Logical Clock 38 
Logging event: Receive | System Time 1520475089.2008471 | Logical Clock 40 
Logging event: Receive | System Time 1520475089.4563231 | Logical Clock 41 
Logging event: Receive | System Time 1520475089.7097878 | Logical Clock 42 
Logging event: Receive | System Time 1520475089.965336 | Logical Clock 44 
Logging event: Receive | System Time 1520475090.2176619 | Logical Clock 48 
Logging event: Send to Machine 1 | System Time 1520475090.46801 | Logical Clock 49 
Logging event: Receive | System Time 1520475090.7236009 | Logical Clock 52 
Logging event: Receive | System Time 1520475090.974965 | Logical Clock 53 
Logging event: Receive | System Time 1520475091.230538 | Logical Clock 54 
Logging event: Send to Machine 2 | System Time 1520475091.48136 | Logical Clock 55 
Logging event: Receive | System Time 1520475091.732037 | Logical Clock 57 
Logging event: Receive | System Time 1520475091.983022 | Logical Clock 58 
Logging event: Receive | System Time 1520475092.2342432 | Logical Clock 61 
Logging event: Send to Machine 2 | System Time 1520475092.489555 | Logical Clock 62 
Logging event: Send to Machine 2 | System Time 1520475092.744691 | Logical Clock 63 
Logging event: Send to Machine 2 | System Time 1520475092.9961019 | Logical Clock 64 
Logging event: Send to Machine 1 | System Time 1520475093.250283 | Logical Clock 65 
Logging event: Receive | System Time 1520475093.50424 | Logical Clock 69 
Logging event: Send to Machine 2 | System Time 1520475093.7561731 | Logical Clock 70 
Logging event: Receive | System Time 1520475094.011519 | Logical Clock 71 
Logging event: Internal | System Time 1520475094.2642 | Logical Clock 72 
Logging event: Send to Machine 1 | System Time 1520475094.519417 | Logical Clock 73 
Logging event: Receive | System Time 1520475094.7750568 | Logical Clock 76 
Logging event: Receive | System Time 1520475095.029654 | Logical Clock 77 
Logging event: Receive | System Time 1520475095.2801049 | Logical Clock 78 
Logging event: Send to Both Machines | System Time 1520475095.5359612 | Logical Clock 79 
Logging event: Send to Machine 1 | System Time 1520475095.7881038 | Logical Clock 80 
Logging event: Receive | System Time 1520475096.0384982 | Logical Clock 84 
Logging event: Send to Machine 2 | System Time 1520475096.289632 | Logical Clock 85 
Logging event: Receive | System Time 1520475096.545156 | Logical Clock 88 
Logging event: Send to Both Machines | System Time 1520475096.7959812 | Logical Clock 89 
Logging event: Internal | System Time 1520475097.049728 | Logical Clock 90 
Logging event: Send to Machine 1 | System Time 1520475097.305374 | Logical Clock 91 
Logging event: Receive | System Time 1520475097.560478 | Logical Clock 94 
Logging event: Receive | System Time 1520475097.814821 | Logical Clock 95 
Logging event: Internal | System Time 1520475098.069819 | Logical Clock 96 
Logging event: Receive | System Time 1520475098.322618 | Logical Clock 100 
Logging event: Receive | System Time 1520475098.576863 | Logical Clock 101 
Logging event: Receive | System Time 1520475098.832501 | Logical Clock 102 
Logging event: Receive | System Time 1520475099.08811 | Logical Clock 104 
Logging event: Receive | System Time 1520475099.338561 | Logical Clock 105 
Logging event: Receive | System Time 1520475099.5940008 | Logical Clock 107 
Logging event: Send to Machine 1 | System Time 1520475099.849644 | Logical Clock 108 
Logging event: Receive | System Time 1520475100.102012 | Logical Clock 111 
Logging event: Receive | System Time 1520475100.357895 | Logical Clock 112 
Logging event: Receive | System Time 1520475100.609625 | Logical Clock 114 
Logging event: Receive | System Time 1520475100.865429 | Logical Clock 115 
Logging event: Receive | System Time 1520475101.1186008 | Logical Clock 116 
Logging event: Receive | System Time 1520475101.369931 | Logical Clock 119 
Logging event: Receive | System Time 1520475101.621035 | Logical Clock 121 
Logging event: Send to Machine 1 | System Time 1520475101.8767009 | Logical Clock 122 
Logging event: Internal | System Time 1520475102.1322849 | Logical Clock 123 
Logging event: Receive | System Time 1520475102.383182 | Logical Clock 125 
Logging event: Receive | System Time 1520475102.634331 | Logical Clock 126 
Logging event: Receive | System Time 1520475102.885907 | Logical Clock 127 
Logging event: Receive | System Time 1520475103.13713 | Logical Clock 128 
Logging event: Receive | System Time 1520475103.3880472 | Logical Clock 131 
Logging event: Receive | System Time 1520475103.64332 | Logical Clock 134 
Logging event: Send to Machine 1 | System Time 1520475103.8981628 | Logical Clock 135 
Logging event: Receive | System Time 1520475104.1493099 | Logical Clock 137 
Logging event: Receive | System Time 1520475104.39997 | Logical Clock 138 
Logging event: Receive | System Time 1520475104.6503448 | Logical Clock 139 
