Logging event: Send to Both Machines | System Time 1520480174.69 | Logical Clock 1 
Logging event: Send to Both Machines | System Time 1520480174.9 | Logical Clock 2 
Logging event: Internal | System Time 1520480175.1 | Logical Clock 3 
Logging event: Internal | System Time 1520480175.31 | Logical Clock 4 
Logging event: Send to Machine 0 | System Time 1520480175.51 | Logical Clock 5 
Logging event: Internal | System Time 1520480175.71 | Logical Clock 6 
Logging event: Send to Machine 2 | System Time 1520480175.92 | Logical Clock 7 
Logging event: Receive | System Time 1520480176.12 | Logical Clock 15 
Logging event: Send to Both Machines | System Time 1520480176.32 | Logical Clock 16 
Logging event: Receive | System Time 1520480176.52 | Logical Clock 19 
Logging event: Internal | System Time 1520480176.72 | Logical Clock 20 
Logging event: Receive | System Time 1520480176.92 | Logical Clock 22 
Logging event: Receive | System Time 1520480177.13 | Logical Clock 23 
Logging event: Internal | System Time 1520480177.33 | Logical Clock 24 
Logging event: Receive | System Time 1520480177.53 | Logical Clock 29 
Logging event: Receive | System Time 1520480177.74 | Logical Clock 31 
Logging event: Internal | System Time 1520480177.94 | Logical Clock 32 
Logging event: Send to Machine 2 | System Time 1520480178.15 | Logical Clock 33 
Logging event: Receive | System Time 1520480178.35 | Logical Clock 37 
Logging event: Internal | System Time 1520480178.55 | Logical Clock 38 
Logging event: Internal | System Time 1520480178.76 | Logical Clock 39 
Logging event: Receive | System Time 1520480178.96 | Logical Clock 42 
Logging event: Receive | System Time 1520480179.16 | Logical Clock 44 
Logging event: Receive | System Time 1520480179.37 | Logical Clock 46 
Logging event: Receive | System Time 1520480179.57 | Logical Clock 48 
Logging event: Receive | System Time 1520480179.78 | Logical Clock 49 
Logging event: Receive | System Time 1520480179.98 | Logical Clock 50 
Logging event: Receive | System Time 1520480180.19 | Logical Clock 52 
Logging event: Receive | System Time 1520480180.39 | Logical Clock 56 
Logging event: Receive | System Time 1520480180.59 | Logical Clock 58 
Logging event: Receive | System Time 1520480180.79 | Logical Clock 59 
Logging event: Receive | System Time 1520480180.99 | Logical Clock 61 
Logging event: Receive | System Time 1520480181.2 | Logical Clock 64 
Logging event: Send to Both Machines | System Time 1520480181.4 | Logical Clock 65 
Logging event: Receive | System Time 1520480181.6 | Logical Clock 68 
Logging event: Receive | System Time 1520480181.81 | Logical Clock 70 
Logging event: Internal | System Time 1520480182.01 | Logical Clock 71 
Logging event: Send to Both Machines | System Time 1520480182.21 | Logical Clock 72 
Logging event: Send to Both Machines | System Time 1520480182.41 | Logical Clock 73 
Logging event: Send to Machine 2 | System Time 1520480182.62 | Logical Clock 74 
Logging event: Receive | System Time 1520480182.82 | Logical Clock 80 
Logging event: Receive | System Time 1520480183.03 | Logical Clock 82 
Logging event: Receive | System Time 1520480183.23 | Logical Clock 84 
Logging event: Receive | System Time 1520480183.43 | Logical Clock 85 
Logging event: Receive | System Time 1520480183.64 | Logical Clock 88 
Logging event: Send to Machine 0 | System Time 1520480183.84 | Logical Clock 89 
Logging event: Receive | System Time 1520480184.04 | Logical Clock 91 
