Logging event: Internal | System Time 1520479274.87 | Logical Clock 1 
Logging event: Receive | System Time 1520479275.37 | Logical Clock 4 
Logging event: Receive | System Time 1520479275.87 | Logical Clock 7 
Logging event: Receive | System Time 1520479276.38 | Logical Clock 8 
Logging event: Receive | System Time 1520479276.88 | Logical Clock 9 
Logging event: Receive | System Time 1520479277.38 | Logical Clock 10 
Logging event: Receive | System Time 1520479277.88 | Logical Clock 13 
Logging event: Receive | System Time 1520479278.38 | Logical Clock 15 
Logging event: Receive | System Time 1520479278.89 | Logical Clock 16 
Logging event: Receive | System Time 1520479279.39 | Logical Clock 17 
Logging event: Receive | System Time 1520479279.89 | Logical Clock 21 
Logging event: Receive | System Time 1520479280.39 | Logical Clock 22 
Logging event: Receive | System Time 1520479280.89 | Logical Clock 23 
Logging event: Receive | System Time 1520479281.39 | Logical Clock 24 
Logging event: Receive | System Time 1520479281.89 | Logical Clock 25 
Logging event: Receive | System Time 1520479282.4 | Logical Clock 32 
Logging event: Receive | System Time 1520479282.9 | Logical Clock 33 
Logging event: Receive | System Time 1520479283.4 | Logical Clock 36 
Logging event: Receive | System Time 1520479283.9 | Logical Clock 37 
Logging event: Receive | System Time 1520479284.41 | Logical Clock 38 
Logging event: Receive | System Time 1520479284.91 | Logical Clock 39 
Logging event: Receive | System Time 1520479285.41 | Logical Clock 42 
Logging event: Receive | System Time 1520479285.91 | Logical Clock 43 
Logging event: Receive | System Time 1520479286.41 | Logical Clock 47 
Logging event: Receive | System Time 1520479286.91 | Logical Clock 49 
Logging event: Receive | System Time 1520479287.41 | Logical Clock 51 
Logging event: Receive | System Time 1520479287.92 | Logical Clock 54 
Logging event: Receive | System Time 1520479288.42 | Logical Clock 58 
Logging event: Receive | System Time 1520479288.92 | Logical Clock 61 
Logging event: Receive | System Time 1520479289.42 | Logical Clock 62 
Logging event: Receive | System Time 1520479289.93 | Logical Clock 63 
Logging event: Receive | System Time 1520479290.43 | Logical Clock 66 
Logging event: Receive | System Time 1520479290.94 | Logical Clock 67 
Logging event: Receive | System Time 1520479291.44 | Logical Clock 69 
Logging event: Receive | System Time 1520479291.94 | Logical Clock 73 
Logging event: Receive | System Time 1520479292.44 | Logical Clock 74 
Logging event: Receive | System Time 1520479292.94 | Logical Clock 75 
Logging event: Receive | System Time 1520479293.45 | Logical Clock 79 
Logging event: Receive | System Time 1520479293.95 | Logical Clock 80 
Logging event: Receive | System Time 1520479294.45 | Logical Clock 81 
Logging event: Receive | System Time 1520479294.95 | Logical Clock 86 
Logging event: Receive | System Time 1520479295.45 | Logical Clock 87 
Logging event: Receive | System Time 1520479295.96 | Logical Clock 89 
Logging event: Receive | System Time 1520479296.46 | Logical Clock 90 
Logging event: Receive | System Time 1520479296.96 | Logical Clock 91 
Logging event: Receive | System Time 1520479297.46 | Logical Clock 94 
Logging event: Receive | System Time 1520479297.96 | Logical Clock 95 
Logging event: Receive | System Time 1520479298.46 | Logical Clock 97 
Logging event: Receive | System Time 1520479298.97 | Logical Clock 103 
Logging event: Receive | System Time 1520479299.47 | Logical Clock 104 
Logging event: Receive | System Time 1520479299.97 | Logical Clock 105 
Logging event: Receive | System Time 1520479300.49 | Logical Clock 107 
Logging event: Receive | System Time 1520479301.0 | Logical Clock 109 
Logging event: Receive | System Time 1520479301.5 | Logical Clock 110 
Logging event: Receive | System Time 1520479302.0 | Logical Clock 114 
Logging event: Receive | System Time 1520479302.5 | Logical Clock 118 
