Logging event: Send to Machine 0 | System Time 1520474662.578311 | Logical Clock 1 
Logging event: Receive | System Time 1520474662.746068 | Logical Clock 2 
Logging event: Receive | System Time 1520474662.915241 | Logical Clock 4 
Logging event: Send to Machine 2 | System Time 1520474663.0877419 | Logical Clock 5 
Logging event: Send to Machine 0 | System Time 1520474663.256043 | Logical Clock 6 
Logging event: Receive | System Time 1520474663.4284768 | Logical Clock 8 
Logging event: Send to Machine 2 | System Time 1520474663.5959868 | Logical Clock 9 
Logging event: Receive | System Time 1520474663.7683551 | Logical Clock 12 
Logging event: Receive | System Time 1520474663.938554 | Logical Clock 14 
Logging event: Receive | System Time 1520474664.107327 | Logical Clock 15 
Logging event: Receive | System Time 1520474664.277778 | Logical Clock 16 
Logging event: Receive | System Time 1520474664.445118 | Logical Clock 17 
Logging event: Receive | System Time 1520474664.6153731 | Logical Clock 18 
Logging event: Receive | System Time 1520474664.7831502 | Logical Clock 19 
Logging event: Receive | System Time 1520474664.9533272 | Logical Clock 20 
Logging event: Send to Both Machines | System Time 1520474665.124033 | Logical Clock 21 
Logging event: Receive | System Time 1520474665.293963 | Logical Clock 24 
Logging event: Internal | System Time 1520474665.464849 | Logical Clock 25 
Logging event: Receive | System Time 1520474665.633763 | Logical Clock 26 
Logging event: Internal | System Time 1520474665.803092 | Logical Clock 27 
Logging event: Receive | System Time 1520474665.974777 | Logical Clock 28 
Logging event: Receive | System Time 1520474666.1475542 | Logical Clock 29 
Logging event: Internal | System Time 1520474666.317307 | Logical Clock 30 
Logging event: Receive | System Time 1520474666.488333 | Logical Clock 31 
Logging event: Receive | System Time 1520474666.657595 | Logical Clock 32 
Logging event: Receive | System Time 1520474666.82897 | Logical Clock 33 
Logging event: Internal | System Time 1520474666.996937 | Logical Clock 34 
Logging event: Receive | System Time 1520474667.166241 | Logical Clock 35 
Logging event: Send to Machine 2 | System Time 1520474667.334063 | Logical Clock 36 
Logging event: Receive | System Time 1520474667.501612 | Logical Clock 37 
Logging event: Send to Machine 0 | System Time 1520474667.671642 | Logical Clock 38 
Logging event: Internal | System Time 1520474667.844296 | Logical Clock 39 
Logging event: Internal | System Time 1520474668.017371 | Logical Clock 40 
Logging event: Send to Machine 2 | System Time 1520474668.19063 | Logical Clock 41 
Logging event: Send to Both Machines | System Time 1520474668.36121 | Logical Clock 42 
Logging event: Internal | System Time 1520474668.52927 | Logical Clock 43 
Logging event: Receive | System Time 1520474668.702185 | Logical Clock 46 
Logging event: Internal | System Time 1520474668.874649 | Logical Clock 47 
Logging event: Receive | System Time 1520474669.0462139 | Logical Clock 48 
Logging event: Send to Both Machines | System Time 1520474669.2182138 | Logical Clock 49 
Logging event: Receive | System Time 1520474669.389407 | Logical Clock 52 
Logging event: Receive | System Time 1520474669.5577059 | Logical Clock 53 
Logging event: Receive | System Time 1520474669.7250822 | Logical Clock 54 
Logging event: Send to Both Machines | System Time 1520474669.897952 | Logical Clock 55 
Logging event: Send to Both Machines | System Time 1520474670.070484 | Logical Clock 56 
Logging event: Send to Both Machines | System Time 1520474670.238773 | Logical Clock 57 
Logging event: Send to Machine 0 | System Time 1520474670.4067168 | Logical Clock 58 
Logging event: Send to Machine 2 | System Time 1520474670.573923 | Logical Clock 59 
Logging event: Send to Machine 0 | System Time 1520474670.741591 | Logical Clock 60 
Logging event: Receive | System Time 1520474670.912705 | Logical Clock 63 
Logging event: Send to Both Machines | System Time 1520474671.084567 | Logical Clock 64 
Logging event: Send to Machine 2 | System Time 1520474671.252407 | Logical Clock 65 
Logging event: Send to Both Machines | System Time 1520474671.4198022 | Logical Clock 66 
Logging event: Internal | System Time 1520474671.591949 | Logical Clock 67 
Logging event: Receive | System Time 1520474671.764714 | Logical Clock 69 
Logging event: Receive | System Time 1520474671.932116 | Logical Clock 71 
Logging event: Receive | System Time 1520474672.102017 | Logical Clock 73 
Logging event: Receive | System Time 1520474672.2730072 | Logical Clock 74 
Logging event: Send to Machine 0 | System Time 1520474672.4426398 | Logical Clock 75 
Logging event: Send to Both Machines | System Time 1520474672.6121879 | Logical Clock 76 
Logging event: Internal | System Time 1520474672.780331 | Logical Clock 77 
Logging event: Internal | System Time 1520474672.948628 | Logical Clock 78 
Logging event: Receive | System Time 1520474673.121388 | Logical Clock 80 
Logging event: Receive | System Time 1520474673.289 | Logical Clock 81 
Logging event: Receive | System Time 1520474673.4608011 | Logical Clock 82 
Logging event: Send to Machine 0 | System Time 1520474673.631649 | Logical Clock 83 
Logging event: Receive | System Time 1520474673.80454 | Logical Clock 84 
Logging event: Receive | System Time 1520474673.972137 | Logical Clock 86 
Logging event: Receive | System Time 1520474674.142775 | Logical Clock 87 
Logging event: Receive | System Time 1520474674.3107781 | Logical Clock 88 
Logging event: Receive | System Time 1520474674.483833 | Logical Clock 89 
Logging event: Receive | System Time 1520474674.656502 | Logical Clock 90 
Logging event: Receive | System Time 1520474674.8294778 | Logical Clock 91 
Logging event: Receive | System Time 1520474674.998771 | Logical Clock 93 
Logging event: Send to Both Machines | System Time 1520474675.171356 | Logical Clock 94 
Logging event: Send to Machine 2 | System Time 1520474675.33899 | Logical Clock 95 
Logging event: Internal | System Time 1520474675.507571 | Logical Clock 96 
Logging event: Receive | System Time 1520474675.678116 | Logical Clock 98 
Logging event: Receive | System Time 1520474675.8489249 | Logical Clock 99 
Logging event: Send to Both Machines | System Time 1520474676.017658 | Logical Clock 100 
Logging event: Send to Both Machines | System Time 1520474676.188638 | Logical Clock 101 
Logging event: Send to Both Machines | System Time 1520474676.358933 | Logical Clock 102 
Logging event: Send to Machine 0 | System Time 1520474676.526603 | Logical Clock 103 
Logging event: Receive | System Time 1520474676.697824 | Logical Clock 105 
Logging event: Receive | System Time 1520474676.8651168 | Logical Clock 106 
Logging event: Send to Machine 2 | System Time 1520474677.037363 | Logical Clock 107 
Logging event: Receive | System Time 1520474677.2080462 | Logical Clock 108 
Logging event: Receive | System Time 1520474677.375631 | Logical Clock 109 
Logging event: Receive | System Time 1520474677.547709 | Logical Clock 110 
Logging event: Send to Both Machines | System Time 1520474677.717887 | Logical Clock 111 
Logging event: Internal | System Time 1520474677.888038 | Logical Clock 112 
Logging event: Receive | System Time 1520474678.056491 | Logical Clock 114 
Logging event: Receive | System Time 1520474678.223835 | Logical Clock 115 
Logging event: Receive | System Time 1520474678.3950431 | Logical Clock 116 
Logging event: Receive | System Time 1520474678.56285 | Logical Clock 117 
Logging event: Receive | System Time 1520474678.7351282 | Logical Clock 120 
Logging event: Receive | System Time 1520474678.902198 | Logical Clock 121 
Logging event: Receive | System Time 1520474679.074719 | Logical Clock 122 
Logging event: Receive | System Time 1520474679.243069 | Logical Clock 123 
Logging event: Send to Both Machines | System Time 1520474679.416186 | Logical Clock 124 
Logging event: Send to Machine 0 | System Time 1520474679.583575 | Logical Clock 125 
Logging event: Internal | System Time 1520474679.753341 | Logical Clock 126 
Logging event: Receive | System Time 1520474679.926101 | Logical Clock 128 
Logging event: Receive | System Time 1520474680.097895 | Logical Clock 129 
