Logging event: Receive | System Time 1520480115.48 | Logical Clock 4 
Logging event: Receive | System Time 1520480116.48 | Logical Clock 6 
Logging event: Receive | System Time 1520480117.48 | Logical Clock 28 
Logging event: Receive | System Time 1520480118.49 | Logical Clock 30 
Logging event: Receive | System Time 1520480119.49 | Logical Clock 32 
Logging event: Receive | System Time 1520480120.49 | Logical Clock 36 
Logging event: Receive | System Time 1520480121.49 | Logical Clock 43 
Logging event: Receive | System Time 1520480122.5 | Logical Clock 45 
Logging event: Receive | System Time 1520480123.5 | Logical Clock 48 
Logging event: Receive | System Time 1520480124.5 | Logical Clock 51 
Logging event: Receive | System Time 1520480125.51 | Logical Clock 52 
Logging event: Receive | System Time 1520480126.51 | Logical Clock 55 
Logging event: Receive | System Time 1520480127.51 | Logical Clock 56 
Logging event: Receive | System Time 1520480128.52 | Logical Clock 58 
Logging event: Receive | System Time 1520480129.52 | Logical Clock 61 
Logging event: Receive | System Time 1520480130.53 | Logical Clock 67 
Logging event: Receive | System Time 1520480131.53 | Logical Clock 71 
Logging event: Receive | System Time 1520480132.53 | Logical Clock 75 
Logging event: Receive | System Time 1520480133.53 | Logical Clock 77 
Logging event: Receive | System Time 1520480134.53 | Logical Clock 79 
Logging event: Receive | System Time 1520480135.53 | Logical Clock 81 
Logging event: Receive | System Time 1520480136.54 | Logical Clock 90 
Logging event: Receive | System Time 1520480137.54 | Logical Clock 93 
Logging event: Receive | System Time 1520480138.54 | Logical Clock 99 
Logging event: Receive | System Time 1520480139.54 | Logical Clock 100 
Logging event: Receive | System Time 1520480140.54 | Logical Clock 108 
Logging event: Receive | System Time 1520480141.55 | Logical Clock 110 
Logging event: Receive | System Time 1520480142.55 | Logical Clock 122 
Logging event: Receive | System Time 1520480143.55 | Logical Clock 123 
Logging event: Receive | System Time 1520480144.56 | Logical Clock 124 
Logging event: Receive | System Time 1520480145.56 | Logical Clock 129 
Logging event: Receive | System Time 1520480146.56 | Logical Clock 130 
Logging event: Receive | System Time 1520480147.57 | Logical Clock 143 
Logging event: Receive | System Time 1520480148.57 | Logical Clock 144 
Logging event: Receive | System Time 1520480149.57 | Logical Clock 151 
Logging event: Receive | System Time 1520480150.58 | Logical Clock 152 
Logging event: Receive | System Time 1520480151.58 | Logical Clock 161 
Logging event: Receive | System Time 1520480152.58 | Logical Clock 168 
Logging event: Receive | System Time 1520480153.59 | Logical Clock 180 
Logging event: Receive | System Time 1520480154.59 | Logical Clock 181 
Logging event: Receive | System Time 1520480155.59 | Logical Clock 185 
Logging event: Receive | System Time 1520480156.59 | Logical Clock 194 
Logging event: Receive | System Time 1520480157.6 | Logical Clock 195 
Logging event: Receive | System Time 1520480158.6 | Logical Clock 203 
Logging event: Receive | System Time 1520480159.61 | Logical Clock 208 
Logging event: Receive | System Time 1520480160.61 | Logical Clock 210 
Logging event: Receive | System Time 1520480161.61 | Logical Clock 212 
Logging event: Receive | System Time 1520480162.61 | Logical Clock 220 
Logging event: Receive | System Time 1520480163.62 | Logical Clock 221 
Logging event: Receive | System Time 1520480164.62 | Logical Clock 224 
Logging event: Receive | System Time 1520480165.63 | Logical Clock 226 
Logging event: Receive | System Time 1520480166.63 | Logical Clock 239 
Logging event: Receive | System Time 1520480167.64 | Logical Clock 241 
Logging event: Receive | System Time 1520480168.64 | Logical Clock 247 
Logging event: Receive | System Time 1520480169.64 | Logical Clock 249 
Logging event: Receive | System Time 1520480170.64 | Logical Clock 250 
Logging event: Receive | System Time 1520480171.64 | Logical Clock 253 
Logging event: Receive | System Time 1520480172.65 | Logical Clock 255 
Logging event: Receive | System Time 1520480173.65 | Logical Clock 258 
