Logging event: Internal | System Time 1520480114.58 | Logical Clock 1 
Logging event: Internal | System Time 1520480114.68 | Logical Clock 2 
Logging event: Internal | System Time 1520480114.78 | Logical Clock 3 
Logging event: Send to Machine 0 | System Time 1520480114.89 | Logical Clock 4 
Logging event: Internal | System Time 1520480114.99 | Logical Clock 5 
Logging event: Send to Both Machines | System Time 1520480115.1 | Logical Clock 6 
Logging event: Internal | System Time 1520480115.2 | Logical Clock 7 
Logging event: Send to Machine 1 | System Time 1520480115.3 | Logical Clock 8 
Logging event: Internal | System Time 1520480115.4 | Logical Clock 9 
Logging event: Internal | System Time 1520480115.51 | Logical Clock 10 
Logging event: Internal | System Time 1520480115.61 | Logical Clock 11 
Logging event: Internal | System Time 1520480115.71 | Logical Clock 12 
Logging event: Internal | System Time 1520480115.82 | Logical Clock 13 
Logging event: Internal | System Time 1520480115.92 | Logical Clock 14 
Logging event: Internal | System Time 1520480116.03 | Logical Clock 15 
Logging event: Internal | System Time 1520480116.13 | Logical Clock 16 
Logging event: Send to Machine 1 | System Time 1520480116.23 | Logical Clock 17 
Logging event: Internal | System Time 1520480116.33 | Logical Clock 18 
Logging event: Internal | System Time 1520480116.44 | Logical Clock 19 
Logging event: Internal | System Time 1520480116.54 | Logical Clock 20 
Logging event: Internal | System Time 1520480116.64 | Logical Clock 21 
Logging event: Internal | System Time 1520480116.75 | Logical Clock 22 
Logging event: Send to Machine 1 | System Time 1520480116.85 | Logical Clock 23 
Logging event: Internal | System Time 1520480116.95 | Logical Clock 24 
Logging event: Internal | System Time 1520480117.05 | Logical Clock 25 
Logging event: Receive | System Time 1520480117.16 | Logical Clock 26 
Logging event: Internal | System Time 1520480117.26 | Logical Clock 27 
Logging event: Send to Machine 0 | System Time 1520480117.36 | Logical Clock 28 
Logging event: Internal | System Time 1520480117.46 | Logical Clock 29 
Logging event: Send to Both Machines | System Time 1520480117.57 | Logical Clock 30 
Logging event: Internal | System Time 1520480117.67 | Logical Clock 31 
Logging event: Send to Both Machines | System Time 1520480117.77 | Logical Clock 32 
Logging event: Internal | System Time 1520480117.88 | Logical Clock 33 
Logging event: Internal | System Time 1520480117.98 | Logical Clock 34 
Logging event: Internal | System Time 1520480118.08 | Logical Clock 35 
Logging event: Send to Machine 0 | System Time 1520480118.19 | Logical Clock 36 
Logging event: Internal | System Time 1520480118.29 | Logical Clock 37 
Logging event: Internal | System Time 1520480118.39 | Logical Clock 38 
Logging event: Internal | System Time 1520480118.49 | Logical Clock 39 
Logging event: Internal | System Time 1520480118.59 | Logical Clock 40 
Logging event: Internal | System Time 1520480118.7 | Logical Clock 41 
Logging event: Internal | System Time 1520480118.8 | Logical Clock 42 
Logging event: Send to Machine 0 | System Time 1520480118.9 | Logical Clock 43 
Logging event: Send to Machine 1 | System Time 1520480119.01 | Logical Clock 44 
Logging event: Internal | System Time 1520480119.11 | Logical Clock 45 
Logging event: Internal | System Time 1520480119.21 | Logical Clock 46 
Logging event: Internal | System Time 1520480119.32 | Logical Clock 47 
Logging event: Send to Machine 0 | System Time 1520480119.42 | Logical Clock 48 
