Logging event: Send to Both Machines | System Time 1520479265.61 | Logical Clock 242 
Logging event: Receive | System Time 1520479266.11 | Logical Clock 253 
Logging event: Receive | System Time 1520479266.61 | Logical Clock 255 
Logging event: Receive | System Time 1520479267.11 | Logical Clock 256 
Logging event: Internal | System Time 1520479267.61 | Logical Clock 257 
Logging event: Receive | System Time 1520479268.11 | Logical Clock 264 
Logging event: Send to Both Machines | System Time 1520479268.62 | Logical Clock 265 
Logging event: Receive | System Time 1520479269.12 | Logical Clock 268 
Logging event: Internal | System Time 1520479269.62 | Logical Clock 269 
Logging event: Receive | System Time 1520479270.12 | Logical Clock 273 
Logging event: Receive | System Time 1520479270.63 | Logical Clock 274 
Logging event: Receive | System Time 1520479271.13 | Logical Clock 275 
Logging event: Internal | System Time 1520479271.63 | Logical Clock 276 
Logging event: Receive | System Time 1520479272.13 | Logical Clock 282 
Logging event: Receive | System Time 1520479272.64 | Logical Clock 284 
Logging event: Receive | System Time 1520479273.14 | Logical Clock 288 
Logging event: Receive | System Time 1520479273.64 | Logical Clock 289 
Logging event: Internal | System Time 1520479274.14 | Logical Clock 290 
