Logging event: Internal | System Time 1520474602.577595 | Logical Clock 1 
Logging event: Internal | System Time 1520474602.749985 | Logical Clock 2 
Logging event: Receive | System Time 1520474602.921964 | Logical Clock 4 
Logging event: Send to Machine 1 | System Time 1520474603.0944278 | Logical Clock 5 
Logging event: Receive | System Time 1520474603.266906 | Logical Clock 6 
Logging event: Internal | System Time 1520474603.43471 | Logical Clock 7 
Logging event: Send to Machine 0 | System Time 1520474603.6025422 | Logical Clock 8 
Logging event: Send to Both Machines | System Time 1520474603.7696671 | Logical Clock 9 
Logging event: Internal | System Time 1520474603.938612 | Logical Clock 10 
Logging event: Internal | System Time 1520474604.111244 | Logical Clock 11 
Logging event: Receive | System Time 1520474604.283355 | Logical Clock 12 
Logging event: Receive | System Time 1520474604.4564211 | Logical Clock 13 
Logging event: Receive | System Time 1520474604.628427 | Logical Clock 14 
Logging event: Send to Machine 1 | System Time 1520474604.796114 | Logical Clock 15 
Logging event: Send to Machine 1 | System Time 1520474604.963488 | Logical Clock 16 
Logging event: Receive | System Time 1520474605.1361191 | Logical Clock 17 
Logging event: Receive | System Time 1520474605.303788 | Logical Clock 18 
Logging event: Send to Machine 1 | System Time 1520474605.473848 | Logical Clock 19 
Logging event: Internal | System Time 1520474605.643471 | Logical Clock 20 
Logging event: Receive | System Time 1520474605.815967 | Logical Clock 22 
Logging event: Receive | System Time 1520474605.986502 | Logical Clock 23 
Logging event: Internal | System Time 1520474606.1546738 | Logical Clock 24 
Logging event: Send to Machine 0 | System Time 1520474606.3269792 | Logical Clock 25 
Logging event: Internal | System Time 1520474606.499899 | Logical Clock 26 
Logging event: Receive | System Time 1520474606.672172 | Logical Clock 28 
Logging event: Internal | System Time 1520474606.844883 | Logical Clock 29 
Logging event: Internal | System Time 1520474607.017705 | Logical Clock 30 
Logging event: Send to Machine 1 | System Time 1520474607.190923 | Logical Clock 31 
Logging event: Internal | System Time 1520474607.360084 | Logical Clock 32 
Logging event: Internal | System Time 1520474607.531887 | Logical Clock 33 
Logging event: Receive | System Time 1520474607.703875 | Logical Clock 34 
Logging event: Send to Machine 1 | System Time 1520474607.8770869 | Logical Clock 35 
Logging event: Send to Machine 0 | System Time 1520474608.047301 | Logical Clock 36 
Logging event: Internal | System Time 1520474608.219805 | Logical Clock 37 
Logging event: Internal | System Time 1520474608.390078 | Logical Clock 38 
Logging event: Internal | System Time 1520474608.558804 | Logical Clock 39 
Logging event: Receive | System Time 1520474608.728108 | Logical Clock 41 
Logging event: Receive | System Time 1520474608.9007769 | Logical Clock 42 
Logging event: Internal | System Time 1520474609.071876 | Logical Clock 43 
Logging event: Send to Machine 0 | System Time 1520474609.244624 | Logical Clock 44 
Logging event: Send to Machine 1 | System Time 1520474609.416939 | Logical Clock 45 
Logging event: Internal | System Time 1520474609.584608 | Logical Clock 46 
Logging event: Receive | System Time 1520474609.755418 | Logical Clock 48 
Logging event: Internal | System Time 1520474609.926052 | Logical Clock 49 
Logging event: Receive | System Time 1520474610.09474 | Logical Clock 50 
Logging event: Receive | System Time 1520474610.266135 | Logical Clock 51 
Logging event: Send to Machine 0 | System Time 1520474610.438241 | Logical Clock 52 
Logging event: Send to Both Machines | System Time 1520474610.607211 | Logical Clock 53 
Logging event: Send to Machine 0 | System Time 1520474610.775755 | Logical Clock 54 
Logging event: Send to Machine 1 | System Time 1520474610.948284 | Logical Clock 55 
Logging event: Internal | System Time 1520474611.116377 | Logical Clock 56 
Logging event: Internal | System Time 1520474611.284636 | Logical Clock 57 
Logging event: Receive | System Time 1520474611.45407 | Logical Clock 58 
Logging event: Internal | System Time 1520474611.621762 | Logical Clock 59 
Logging event: Receive | System Time 1520474611.78986 | Logical Clock 61 
Logging event: Internal | System Time 1520474611.95955 | Logical Clock 62 
Logging event: Internal | System Time 1520474612.1325262 | Logical Clock 63 
Logging event: Receive | System Time 1520474612.300611 | Logical Clock 65 
Logging event: Send to Both Machines | System Time 1520474612.471424 | Logical Clock 66 
Logging event: Internal | System Time 1520474612.640316 | Logical Clock 67 
Logging event: Send to Both Machines | System Time 1520474612.8104699 | Logical Clock 68 
Logging event: Internal | System Time 1520474612.980196 | Logical Clock 69 
Logging event: Internal | System Time 1520474613.150799 | Logical Clock 70 
Logging event: Send to Machine 1 | System Time 1520474613.320381 | Logical Clock 71 
Logging event: Send to Machine 1 | System Time 1520474613.489706 | Logical Clock 72 
Logging event: Internal | System Time 1520474613.658721 | Logical Clock 73 
Logging event: Receive | System Time 1520474613.831239 | Logical Clock 76 
Logging event: Send to Machine 0 | System Time 1520474614.000542 | Logical Clock 77 
Logging event: Send to Machine 1 | System Time 1520474614.17354 | Logical Clock 78 
Logging event: Internal | System Time 1520474614.341563 | Logical Clock 79 
Logging event: Receive | System Time 1520474614.512137 | Logical Clock 81 
Logging event: Internal | System Time 1520474614.679838 | Logical Clock 82 
Logging event: Send to Machine 1 | System Time 1520474614.8489978 | Logical Clock 83 
Logging event: Receive | System Time 1520474615.018239 | Logical Clock 84 
Logging event: Send to Machine 1 | System Time 1520474615.1893911 | Logical Clock 85 
Logging event: Send to Machine 0 | System Time 1520474615.362043 | Logical Clock 86 
Logging event: Send to Both Machines | System Time 1520474615.531577 | Logical Clock 87 
Logging event: Internal | System Time 1520474615.702267 | Logical Clock 88 
Logging event: Receive | System Time 1520474615.874326 | Logical Clock 90 
Logging event: Internal | System Time 1520474616.0449762 | Logical Clock 91 
Logging event: Receive | System Time 1520474616.214321 | Logical Clock 92 
Logging event: Send to Machine 1 | System Time 1520474616.386524 | Logical Clock 93 
Logging event: Send to Machine 1 | System Time 1520474616.55687 | Logical Clock 94 
Logging event: Internal | System Time 1520474616.729751 | Logical Clock 95 
Logging event: Receive | System Time 1520474616.899557 | Logical Clock 96 
Logging event: Internal | System Time 1520474617.070546 | Logical Clock 97 
Logging event: Receive | System Time 1520474617.240841 | Logical Clock 100 
Logging event: Receive | System Time 1520474617.4094222 | Logical Clock 101 
Logging event: Internal | System Time 1520474617.579913 | Logical Clock 102 
Logging event: Receive | System Time 1520474617.7500942 | Logical Clock 103 
Logging event: Internal | System Time 1520474617.92083 | Logical Clock 104 
Logging event: Receive | System Time 1520474618.092598 | Logical Clock 106 
Logging event: Internal | System Time 1520474618.2603168 | Logical Clock 107 
Logging event: Receive | System Time 1520474618.4279711 | Logical Clock 108 
Logging event: Receive | System Time 1520474618.595237 | Logical Clock 109 
Logging event: Internal | System Time 1520474618.764179 | Logical Clock 110 
Logging event: Send to Machine 1 | System Time 1520474618.937061 | Logical Clock 111 
Logging event: Receive | System Time 1520474619.105129 | Logical Clock 113 
Logging event: Receive | System Time 1520474619.27635 | Logical Clock 115 
Logging event: Send to Machine 0 | System Time 1520474619.446997 | Logical Clock 116 
Logging event: Internal | System Time 1520474619.614897 | Logical Clock 117 
Logging event: Internal | System Time 1520474619.7821739 | Logical Clock 118 
Logging event: Receive | System Time 1520474619.953634 | Logical Clock 120 
Logging event: Internal | System Time 1520474620.124591 | Logical Clock 121 
Logging event: Send to Machine 1 | System Time 1520474620.295604 | Logical Clock 122 
Logging event: Internal | System Time 1520474620.464094 | Logical Clock 123 
Logging event: Internal | System Time 1520474620.635126 | Logical Clock 124 
Logging event: Receive | System Time 1520474620.802696 | Logical Clock 125 
Logging event: Receive | System Time 1520474620.9744241 | Logical Clock 126 
Logging event: Receive | System Time 1520474621.1451619 | Logical Clock 127 
Logging event: Receive | System Time 1520474621.316332 | Logical Clock 128 
Logging event: Receive | System Time 1520474621.4884129 | Logical Clock 130 
Logging event: Internal | System Time 1520474621.658603 | Logical Clock 131 
Logging event: Receive | System Time 1520474621.828749 | Logical Clock 133 
Logging event: Receive | System Time 1520474621.9965382 | Logical Clock 134 
Logging event: Receive | System Time 1520474622.1664279 | Logical Clock 135 
Logging event: Receive | System Time 1520474622.338915 | Logical Clock 136 
Logging event: Internal | System Time 1520474622.5115762 | Logical Clock 137 
Logging event: Internal | System Time 1520474622.6843698 | Logical Clock 138 
Logging event: Internal | System Time 1520474622.856732 | Logical Clock 139 
Logging event: Send to Both Machines | System Time 1520474623.029493 | Logical Clock 140 
Logging event: Send to Both Machines | System Time 1520474623.196971 | Logical Clock 141 
Logging event: Internal | System Time 1520474623.364419 | Logical Clock 142 
Logging event: Send to Machine 0 | System Time 1520474623.5317109 | Logical Clock 143 
Logging event: Internal | System Time 1520474623.704013 | Logical Clock 144 
Logging event: Internal | System Time 1520474623.876976 | Logical Clock 145 
Logging event: Send to Machine 0 | System Time 1520474624.0480871 | Logical Clock 146 
Logging event: Receive | System Time 1520474624.217464 | Logical Clock 149 
Logging event: Send to Both Machines | System Time 1520474624.3851142 | Logical Clock 150 
Logging event: Internal | System Time 1520474624.5533981 | Logical Clock 151 
Logging event: Send to Machine 1 | System Time 1520474624.726238 | Logical Clock 152 
Logging event: Send to Machine 0 | System Time 1520474624.894437 | Logical Clock 153 
Logging event: Receive | System Time 1520474625.0649338 | Logical Clock 155 
Logging event: Internal | System Time 1520474625.233579 | Logical Clock 156 
Logging event: Internal | System Time 1520474625.404813 | Logical Clock 157 
Logging event: Internal | System Time 1520474625.574883 | Logical Clock 158 
Logging event: Send to Machine 0 | System Time 1520474625.7439659 | Logical Clock 159 
Logging event: Send to Both Machines | System Time 1520474625.9126751 | Logical Clock 160 
Logging event: Internal | System Time 1520474626.0804071 | Logical Clock 161 
Logging event: Receive | System Time 1520474626.2515562 | Logical Clock 163 
Logging event: Internal | System Time 1520474626.419446 | Logical Clock 164 
Logging event: Send to Machine 0 | System Time 1520474626.586724 | Logical Clock 165 
Logging event: Internal | System Time 1520474626.755203 | Logical Clock 166 
Logging event: Internal | System Time 1520474626.927608 | Logical Clock 167 
Logging event: Send to Machine 1 | System Time 1520474627.10025 | Logical Clock 168 
Logging event: Internal | System Time 1520474627.270941 | Logical Clock 169 
Logging event: Receive | System Time 1520474627.4384 | Logical Clock 171 
Logging event: Receive | System Time 1520474627.607538 | Logical Clock 172 
Logging event: Receive | System Time 1520474627.780512 | Logical Clock 174 
Logging event: Send to Machine 0 | System Time 1520474627.948973 | Logical Clock 175 
Logging event: Internal | System Time 1520474628.117255 | Logical Clock 176 
Logging event: Send to Both Machines | System Time 1520474628.286884 | Logical Clock 177 
Logging event: Send to Both Machines | System Time 1520474628.457959 | Logical Clock 178 
Logging event: Send to Both Machines | System Time 1520474628.630634 | Logical Clock 179 
Logging event: Internal | System Time 1520474628.80362 | Logical Clock 180 
Logging event: Receive | System Time 1520474628.976692 | Logical Clock 182 
Logging event: Internal | System Time 1520474629.146411 | Logical Clock 183 
Logging event: Receive | System Time 1520474629.318609 | Logical Clock 184 
Logging event: Internal | System Time 1520474629.488769 | Logical Clock 185 
Logging event: Receive | System Time 1520474629.6590452 | Logical Clock 187 
Logging event: Receive | System Time 1520474629.831983 | Logical Clock 188 
Logging event: Internal | System Time 1520474630.0049138 | Logical Clock 189 
Logging event: Send to Machine 0 | System Time 1520474630.1734269 | Logical Clock 190 
Logging event: Internal | System Time 1520474630.346244 | Logical Clock 191 
Logging event: Receive | System Time 1520474630.517486 | Logical Clock 194 
Logging event: Internal | System Time 1520474630.690154 | Logical Clock 195 
Logging event: Send to Machine 0 | System Time 1520474630.862922 | Logical Clock 196 
Logging event: Send to Machine 0 | System Time 1520474631.030335 | Logical Clock 197 
