Logging event: Internal | System Time 1520474722.5841448 | Logical Clock 1 
Logging event: Receive | System Time 1520474722.755035 | Logical Clock 2 
Logging event: Send to Both Machines | System Time 1520474722.9249668 | Logical Clock 3 
Logging event: Internal | System Time 1520474723.092503 | Logical Clock 4 
Logging event: Receive | System Time 1520474723.2634618 | Logical Clock 6 
Logging event: Receive | System Time 1520474723.43093 | Logical Clock 7 
Logging event: Internal | System Time 1520474723.597955 | Logical Clock 8 
Logging event: Receive | System Time 1520474723.767248 | Logical Clock 9 
Logging event: Receive | System Time 1520474723.935102 | Logical Clock 10 
Logging event: Receive | System Time 1520474724.107702 | Logical Clock 11 
Logging event: Internal | System Time 1520474724.276719 | Logical Clock 12 
Logging event: Receive | System Time 1520474724.448566 | Logical Clock 14 
Logging event: Receive | System Time 1520474724.620081 | Logical Clock 15 
Logging event: Receive | System Time 1520474724.7920399 | Logical Clock 16 
Logging event: Receive | System Time 1520474724.959543 | Logical Clock 18 
Logging event: Send to Both Machines | System Time 1520474725.131058 | Logical Clock 19 
Logging event: Send to Machine 1 | System Time 1520474725.302133 | Logical Clock 20 
Logging event: Receive | System Time 1520474725.474447 | Logical Clock 22 
Logging event: Receive | System Time 1520474725.647084 | Logical Clock 23 
Logging event: Send to Both Machines | System Time 1520474725.820163 | Logical Clock 24 
Logging event: Internal | System Time 1520474725.991324 | Logical Clock 25 
Logging event: Send to Machine 2 | System Time 1520474726.1633658 | Logical Clock 26 
Logging event: Receive | System Time 1520474726.3316538 | Logical Clock 28 
Logging event: Receive | System Time 1520474726.4991791 | Logical Clock 29 
Logging event: Send to Machine 1 | System Time 1520474726.668755 | Logical Clock 30 
Logging event: Internal | System Time 1520474726.83628 | Logical Clock 31 
Logging event: Receive | System Time 1520474727.009234 | Logical Clock 32 
Logging event: Send to Machine 2 | System Time 1520474727.178269 | Logical Clock 33 
Logging event: Receive | System Time 1520474727.347119 | Logical Clock 34 
Logging event: Receive | System Time 1520474727.52049 | Logical Clock 36 
Logging event: Internal | System Time 1520474727.6931489 | Logical Clock 37 
Logging event: Receive | System Time 1520474727.861301 | Logical Clock 38 
Logging event: Receive | System Time 1520474728.0301151 | Logical Clock 39 
Logging event: Receive | System Time 1520474728.197901 | Logical Clock 40 
Logging event: Receive | System Time 1520474728.36967 | Logical Clock 41 
Logging event: Receive | System Time 1520474728.536948 | Logical Clock 42 
Logging event: Receive | System Time 1520474728.7069561 | Logical Clock 44 
Logging event: Send to Machine 1 | System Time 1520474728.877708 | Logical Clock 45 
Logging event: Send to Machine 1 | System Time 1520474729.050892 | Logical Clock 46 
Logging event: Send to Machine 1 | System Time 1520474729.218239 | Logical Clock 47 
Logging event: Receive | System Time 1520474729.386237 | Logical Clock 48 
Logging event: Receive | System Time 1520474729.557867 | Logical Clock 49 
Logging event: Receive | System Time 1520474729.7304618 | Logical Clock 51 
Logging event: Send to Machine 2 | System Time 1520474729.897853 | Logical Clock 52 
Logging event: Send to Both Machines | System Time 1520474730.065252 | Logical Clock 53 
Logging event: Internal | System Time 1520474730.233474 | Logical Clock 54 
Logging event: Receive | System Time 1520474730.404386 | Logical Clock 56 
Logging event: Internal | System Time 1520474730.572855 | Logical Clock 57 
Logging event: Send to Both Machines | System Time 1520474730.745078 | Logical Clock 58 
Logging event: Send to Both Machines | System Time 1520474730.9168808 | Logical Clock 59 
Logging event: Send to Machine 2 | System Time 1520474731.086835 | Logical Clock 60 
Logging event: Internal | System Time 1520474731.2549188 | Logical Clock 61 
Logging event: Send to Machine 1 | System Time 1520474731.42344 | Logical Clock 62 
Logging event: Send to Machine 1 | System Time 1520474731.594153 | Logical Clock 63 
Logging event: Receive | System Time 1520474731.761576 | Logical Clock 66 
Logging event: Receive | System Time 1520474731.930413 | Logical Clock 67 
Logging event: Send to Machine 1 | System Time 1520474732.100012 | Logical Clock 68 
Logging event: Receive | System Time 1520474732.26762 | Logical Clock 69 
Logging event: Receive | System Time 1520474732.43772 | Logical Clock 70 
Logging event: Receive | System Time 1520474732.610282 | Logical Clock 71 
Logging event: Receive | System Time 1520474732.777656 | Logical Clock 72 
Logging event: Receive | System Time 1520474732.945111 | Logical Clock 73 
Logging event: Send to Both Machines | System Time 1520474733.1123269 | Logical Clock 74 
Logging event: Send to Machine 1 | System Time 1520474733.281389 | Logical Clock 75 
Logging event: Send to Machine 1 | System Time 1520474733.450527 | Logical Clock 76 
Logging event: Receive | System Time 1520474733.617981 | Logical Clock 77 
Logging event: Receive | System Time 1520474733.788161 | Logical Clock 78 
Logging event: Receive | System Time 1520474733.955887 | Logical Clock 79 
Logging event: Receive | System Time 1520474734.128327 | Logical Clock 80 
Logging event: Receive | System Time 1520474734.295968 | Logical Clock 81 
Logging event: Receive | System Time 1520474734.463101 | Logical Clock 82 
Logging event: Receive | System Time 1520474734.630692 | Logical Clock 83 
