Logging event: Send to Both Machines | System Time 1520479454.56 | Logical Clock 1 
Logging event: Internal | System Time 1520479454.73 | Logical Clock 2 
Logging event: Send to Both Machines | System Time 1520479454.9 | Logical Clock 3 
Logging event: Send to Machine 0 | System Time 1520479455.07 | Logical Clock 4 
Logging event: Internal | System Time 1520479455.24 | Logical Clock 5 
Logging event: Receive | System Time 1520479455.41 | Logical Clock 6 
Logging event: Send to Both Machines | System Time 1520479455.58 | Logical Clock 7 
Logging event: Internal | System Time 1520479455.75 | Logical Clock 8 
Logging event: Receive | System Time 1520479455.92 | Logical Clock 9 
Logging event: Receive | System Time 1520479456.09 | Logical Clock 10 
Logging event: Internal | System Time 1520479456.26 | Logical Clock 11 
Logging event: Receive | System Time 1520479456.43 | Logical Clock 12 
Logging event: Receive | System Time 1520479456.6 | Logical Clock 13 
Logging event: Receive | System Time 1520479456.77 | Logical Clock 14 
Logging event: Receive | System Time 1520479456.94 | Logical Clock 15 
Logging event: Receive | System Time 1520479457.12 | Logical Clock 16 
Logging event: Receive | System Time 1520479457.28 | Logical Clock 17 
Logging event: Internal | System Time 1520479457.46 | Logical Clock 18 
Logging event: Receive | System Time 1520479457.62 | Logical Clock 19 
Logging event: Send to Both Machines | System Time 1520479457.79 | Logical Clock 20 
Logging event: Internal | System Time 1520479457.96 | Logical Clock 21 
Logging event: Receive | System Time 1520479458.13 | Logical Clock 22 
Logging event: Send to Both Machines | System Time 1520479458.3 | Logical Clock 23 
Logging event: Internal | System Time 1520479458.47 | Logical Clock 24 
Logging event: Send to Both Machines | System Time 1520479458.64 | Logical Clock 25 
Logging event: Internal | System Time 1520479458.81 | Logical Clock 26 
Logging event: Receive | System Time 1520479458.98 | Logical Clock 27 
Logging event: Receive | System Time 1520479459.15 | Logical Clock 28 
Logging event: Send to Both Machines | System Time 1520479459.32 | Logical Clock 29 
Logging event: Send to Machine 1 | System Time 1520479459.49 | Logical Clock 30 
Logging event: Send to Machine 0 | System Time 1520479459.67 | Logical Clock 31 
Logging event: Internal | System Time 1520479459.84 | Logical Clock 32 
Logging event: Receive | System Time 1520479460.01 | Logical Clock 33 
Logging event: Internal | System Time 1520479460.18 | Logical Clock 34 
Logging event: Receive | System Time 1520479460.35 | Logical Clock 35 
Logging event: Receive | System Time 1520479460.52 | Logical Clock 36 
Logging event: Internal | System Time 1520479460.68 | Logical Clock 37 
Logging event: Internal | System Time 1520479460.85 | Logical Clock 38 
Logging event: Receive | System Time 1520479461.02 | Logical Clock 39 
Logging event: Internal | System Time 1520479461.19 | Logical Clock 40 
Logging event: Receive | System Time 1520479461.37 | Logical Clock 41 
Logging event: Send to Both Machines | System Time 1520479461.54 | Logical Clock 42 
Logging event: Send to Both Machines | System Time 1520479461.71 | Logical Clock 43 
Logging event: Send to Machine 1 | System Time 1520479461.88 | Logical Clock 44 
Logging event: Receive | System Time 1520479462.05 | Logical Clock 45 
Logging event: Send to Both Machines | System Time 1520479462.22 | Logical Clock 46 
Logging event: Internal | System Time 1520479462.4 | Logical Clock 47 
Logging event: Receive | System Time 1520479462.57 | Logical Clock 48 
Logging event: Send to Both Machines | System Time 1520479462.74 | Logical Clock 49 
Logging event: Internal | System Time 1520479462.91 | Logical Clock 50 
Logging event: Send to Both Machines | System Time 1520479463.08 | Logical Clock 51 
Logging event: Internal | System Time 1520479463.25 | Logical Clock 52 
Logging event: Receive | System Time 1520479463.42 | Logical Clock 53 
Logging event: Receive | System Time 1520479463.59 | Logical Clock 54 
Logging event: Receive | System Time 1520479463.76 | Logical Clock 55 
Logging event: Send to Both Machines | System Time 1520479463.93 | Logical Clock 56 
Logging event: Send to Both Machines | System Time 1520479464.1 | Logical Clock 57 
Logging event: Internal | System Time 1520479464.27 | Logical Clock 58 
Logging event: Send to Machine 1 | System Time 1520479464.44 | Logical Clock 59 
Logging event: Receive | System Time 1520479464.62 | Logical Clock 60 
Logging event: Receive | System Time 1520479464.79 | Logical Clock 61 
Logging event: Receive | System Time 1520479464.96 | Logical Clock 62 
Logging event: Receive | System Time 1520479465.13 | Logical Clock 63 
Logging event: Receive | System Time 1520479465.3 | Logical Clock 64 
Logging event: Receive | System Time 1520479465.47 | Logical Clock 65 
Logging event: Receive | System Time 1520479465.64 | Logical Clock 66 
Logging event: Send to Machine 0 | System Time 1520479465.81 | Logical Clock 67 
Logging event: Internal | System Time 1520479465.98 | Logical Clock 68 
Logging event: Receive | System Time 1520479466.15 | Logical Clock 69 
Logging event: Receive | System Time 1520479466.32 | Logical Clock 70 
Logging event: Receive | System Time 1520479466.49 | Logical Clock 71 
Logging event: Receive | System Time 1520479466.66 | Logical Clock 72 
Logging event: Internal | System Time 1520479466.83 | Logical Clock 73 
Logging event: Receive | System Time 1520479467.0 | Logical Clock 74 
Logging event: Send to Both Machines | System Time 1520479467.17 | Logical Clock 75 
Logging event: Internal | System Time 1520479467.34 | Logical Clock 76 
Logging event: Receive | System Time 1520479467.51 | Logical Clock 77 
Logging event: Send to Both Machines | System Time 1520479467.68 | Logical Clock 78 
Logging event: Internal | System Time 1520479467.85 | Logical Clock 79 
Logging event: Send to Machine 1 | System Time 1520479468.02 | Logical Clock 80 
Logging event: Internal | System Time 1520479468.19 | Logical Clock 81 
Logging event: Receive | System Time 1520479468.37 | Logical Clock 82 
Logging event: Send to Both Machines | System Time 1520479468.54 | Logical Clock 83 
Logging event: Send to Both Machines | System Time 1520479468.71 | Logical Clock 84 
Logging event: Send to Both Machines | System Time 1520479468.88 | Logical Clock 85 
Logging event: Send to Both Machines | System Time 1520479469.05 | Logical Clock 86 
Logging event: Send to Both Machines | System Time 1520479469.22 | Logical Clock 87 
Logging event: Internal | System Time 1520479469.39 | Logical Clock 88 
Logging event: Send to Machine 0 | System Time 1520479469.57 | Logical Clock 89 
Logging event: Receive | System Time 1520479469.74 | Logical Clock 90 
Logging event: Receive | System Time 1520479469.91 | Logical Clock 91 
Logging event: Receive | System Time 1520479470.08 | Logical Clock 92 
Logging event: Receive | System Time 1520479470.25 | Logical Clock 93 
Logging event: Internal | System Time 1520479470.42 | Logical Clock 94 
Logging event: Send to Machine 1 | System Time 1520479470.59 | Logical Clock 95 
Logging event: Receive | System Time 1520479470.76 | Logical Clock 96 
Logging event: Receive | System Time 1520479470.93 | Logical Clock 97 
Logging event: Send to Both Machines | System Time 1520479471.1 | Logical Clock 98 
Logging event: Receive | System Time 1520479471.27 | Logical Clock 99 
Logging event: Receive | System Time 1520479471.44 | Logical Clock 100 
Logging event: Internal | System Time 1520479471.61 | Logical Clock 101 
Logging event: Send to Both Machines | System Time 1520479471.78 | Logical Clock 102 
Logging event: Send to Both Machines | System Time 1520479471.95 | Logical Clock 103 
Logging event: Receive | System Time 1520479472.12 | Logical Clock 104 
Logging event: Send to Both Machines | System Time 1520479472.29 | Logical Clock 105 
