Logging event: Receive | System Time 1520474782.5904489 | Logical Clock 2 
Logging event: Internal | System Time 1520474782.757338 | Logical Clock 3 
Logging event: Receive | System Time 1520474782.9244642 | Logical Clock 4 
Logging event: Receive | System Time 1520474783.094423 | Logical Clock 5 
Logging event: Internal | System Time 1520474783.2633312 | Logical Clock 6 
Logging event: Internal | System Time 1520474783.432328 | Logical Clock 7 
Logging event: Internal | System Time 1520474783.599665 | Logical Clock 8 
Logging event: Send to Machine 0 | System Time 1520474783.766886 | Logical Clock 9 
Logging event: Internal | System Time 1520474783.933975 | Logical Clock 10 
Logging event: Internal | System Time 1520474784.101164 | Logical Clock 11 
Logging event: Internal | System Time 1520474784.269772 | Logical Clock 12 
Logging event: Send to Both Machines | System Time 1520474784.440468 | Logical Clock 13 
Logging event: Send to Machine 0 | System Time 1520474784.610527 | Logical Clock 14 
Logging event: Internal | System Time 1520474784.782698 | Logical Clock 15 
Logging event: Receive | System Time 1520474784.952511 | Logical Clock 16 
Logging event: Internal | System Time 1520474785.12372 | Logical Clock 17 
Logging event: Internal | System Time 1520474785.292779 | Logical Clock 18 
Logging event: Receive | System Time 1520474785.461083 | Logical Clock 19 
Logging event: Internal | System Time 1520474785.6308339 | Logical Clock 20 
Logging event: Send to Machine 1 | System Time 1520474785.801753 | Logical Clock 21 
Logging event: Send to Machine 1 | System Time 1520474785.968883 | Logical Clock 22 
Logging event: Send to Both Machines | System Time 1520474786.1372008 | Logical Clock 23 
Logging event: Internal | System Time 1520474786.30897 | Logical Clock 24 
Logging event: Receive | System Time 1520474786.47853 | Logical Clock 26 
Logging event: Receive | System Time 1520474786.647222 | Logical Clock 27 
Logging event: Internal | System Time 1520474786.814723 | Logical Clock 28 
Logging event: Internal | System Time 1520474786.987247 | Logical Clock 29 
Logging event: Internal | System Time 1520474787.1595142 | Logical Clock 30 
Logging event: Receive | System Time 1520474787.328575 | Logical Clock 31 
Logging event: Receive | System Time 1520474787.500641 | Logical Clock 32 
Logging event: Send to Machine 1 | System Time 1520474787.6726 | Logical Clock 33 
Logging event: Internal | System Time 1520474787.840461 | Logical Clock 34 
Logging event: Send to Machine 0 | System Time 1520474788.007591 | Logical Clock 35 
Logging event: Internal | System Time 1520474788.177988 | Logical Clock 36 
Logging event: Internal | System Time 1520474788.350286 | Logical Clock 37 
Logging event: Receive | System Time 1520474788.5225759 | Logical Clock 38 
