Logging event: Internal | System Time 1520474902.60505 | Logical Clock 1 
Logging event: Send to Both Machines | System Time 1520474902.773938 | Logical Clock 2 
Logging event: Send to Both Machines | System Time 1520474902.941565 | Logical Clock 3 
Logging event: Send to Machine 0 | System Time 1520474903.114203 | Logical Clock 4 
Logging event: Receive | System Time 1520474903.285104 | Logical Clock 6 
Logging event: Receive | System Time 1520474903.455123 | Logical Clock 7 
Logging event: Receive | System Time 1520474903.626668 | Logical Clock 8 
Logging event: Send to Machine 0 | System Time 1520474903.793776 | Logical Clock 9 
Logging event: Receive | System Time 1520474903.961453 | Logical Clock 10 
Logging event: Receive | System Time 1520474904.1340458 | Logical Clock 11 
Logging event: Receive | System Time 1520474904.30118 | Logical Clock 12 
Logging event: Receive | System Time 1520474904.4685109 | Logical Clock 13 
Logging event: Send to Machine 0 | System Time 1520474904.6394958 | Logical Clock 14 
Logging event: Send to Machine 0 | System Time 1520474904.806824 | Logical Clock 15 
Logging event: Receive | System Time 1520474904.9737742 | Logical Clock 16 
Logging event: Receive | System Time 1520474905.145826 | Logical Clock 17 
Logging event: Receive | System Time 1520474905.318361 | Logical Clock 18 
Logging event: Send to Machine 1 | System Time 1520474905.488606 | Logical Clock 19 
Logging event: Internal | System Time 1520474905.65863 | Logical Clock 20 
Logging event: Send to Machine 0 | System Time 1520474905.8264651 | Logical Clock 21 
Logging event: Internal | System Time 1520474905.999048 | Logical Clock 22 
Logging event: Receive | System Time 1520474906.168886 | Logical Clock 23 
Logging event: Receive | System Time 1520474906.341504 | Logical Clock 24 
Logging event: Receive | System Time 1520474906.510905 | Logical Clock 25 
Logging event: Send to Both Machines | System Time 1520474906.6803122 | Logical Clock 26 
Logging event: Send to Machine 1 | System Time 1520474906.8518841 | Logical Clock 27 
Logging event: Send to Both Machines | System Time 1520474907.021481 | Logical Clock 28 
Logging event: Send to Machine 1 | System Time 1520474907.189273 | Logical Clock 29 
Logging event: Send to Machine 0 | System Time 1520474907.3608909 | Logical Clock 30 
Logging event: Internal | System Time 1520474907.527925 | Logical Clock 31 
Logging event: Send to Machine 0 | System Time 1520474907.698408 | Logical Clock 32 
Logging event: Send to Both Machines | System Time 1520474907.8665369 | Logical Clock 33 
Logging event: Internal | System Time 1520474908.0373812 | Logical Clock 34 
Logging event: Receive | System Time 1520474908.208626 | Logical Clock 36 
Logging event: Send to Machine 0 | System Time 1520474908.3767822 | Logical Clock 37 
Logging event: Receive | System Time 1520474908.54646 | Logical Clock 38 
Logging event: Receive | System Time 1520474908.7133389 | Logical Clock 39 
Logging event: Internal | System Time 1520474908.882808 | Logical Clock 40 
Logging event: Receive | System Time 1520474909.0511098 | Logical Clock 41 
Logging event: Receive | System Time 1520474909.222272 | Logical Clock 42 
Logging event: Send to Machine 0 | System Time 1520474909.3931992 | Logical Clock 43 
Logging event: Internal | System Time 1520474909.562796 | Logical Clock 44 
Logging event: Receive | System Time 1520474909.734884 | Logical Clock 45 
Logging event: Send to Both Machines | System Time 1520474909.904522 | Logical Clock 46 
Logging event: Internal | System Time 1520474910.073 | Logical Clock 47 
Logging event: Send to Both Machines | System Time 1520474910.2452228 | Logical Clock 48 
Logging event: Internal | System Time 1520474910.415456 | Logical Clock 49 
Logging event: Internal | System Time 1520474910.583061 | Logical Clock 50 
Logging event: Receive | System Time 1520474910.753619 | Logical Clock 52 
Logging event: Send to Machine 0 | System Time 1520474910.92402 | Logical Clock 53 
Logging event: Send to Machine 0 | System Time 1520474911.094785 | Logical Clock 54 
Logging event: Receive | System Time 1520474911.2651489 | Logical Clock 55 
Logging event: Receive | System Time 1520474911.4370408 | Logical Clock 56 
Logging event: Receive | System Time 1520474911.6089642 | Logical Clock 57 
Logging event: Send to Machine 0 | System Time 1520474911.7812202 | Logical Clock 58 
Logging event: Internal | System Time 1520474911.948823 | Logical Clock 59 
Logging event: Send to Machine 0 | System Time 1520474912.116249 | Logical Clock 60 
Logging event: Internal | System Time 1520474912.285538 | Logical Clock 61 
Logging event: Receive | System Time 1520474912.456873 | Logical Clock 62 
Logging event: Send to Machine 1 | System Time 1520474912.6289978 | Logical Clock 63 
Logging event: Send to Machine 0 | System Time 1520474912.799066 | Logical Clock 64 
Logging event: Send to Machine 0 | System Time 1520474912.968723 | Logical Clock 65 
Logging event: Receive | System Time 1520474913.139895 | Logical Clock 66 
Logging event: Receive | System Time 1520474913.3089778 | Logical Clock 67 
Logging event: Receive | System Time 1520474913.479914 | Logical Clock 68 
Logging event: Receive | System Time 1520474913.652021 | Logical Clock 69 
Logging event: Send to Both Machines | System Time 1520474913.8201861 | Logical Clock 70 
Logging event: Send to Machine 1 | System Time 1520474913.988544 | Logical Clock 71 
Logging event: Send to Machine 0 | System Time 1520474914.1568189 | Logical Clock 72 
Logging event: Send to Machine 0 | System Time 1520474914.324049 | Logical Clock 73 
Logging event: Receive | System Time 1520474914.491332 | Logical Clock 74 
Logging event: Internal | System Time 1520474914.662692 | Logical Clock 75 
Logging event: Internal | System Time 1520474914.837516 | Logical Clock 76 
Logging event: Receive | System Time 1520474915.006579 | Logical Clock 77 
Logging event: Send to Machine 0 | System Time 1520474915.175622 | Logical Clock 78 
Logging event: Receive | System Time 1520474915.3473291 | Logical Clock 79 
Logging event: Send to Machine 0 | System Time 1520474915.518247 | Logical Clock 80 
Logging event: Send to Machine 0 | System Time 1520474915.689685 | Logical Clock 81 
Logging event: Receive | System Time 1520474915.857234 | Logical Clock 82 
Logging event: Receive | System Time 1520474916.024506 | Logical Clock 83 
Logging event: Internal | System Time 1520474916.191801 | Logical Clock 84 
Logging event: Send to Machine 0 | System Time 1520474916.3595672 | Logical Clock 85 
Logging event: Send to Machine 0 | System Time 1520474916.52757 | Logical Clock 86 
Logging event: Send to Machine 1 | System Time 1520474916.694863 | Logical Clock 87 
Logging event: Internal | System Time 1520474916.867038 | Logical Clock 88 
Logging event: Internal | System Time 1520474917.0393128 | Logical Clock 89 
Logging event: Send to Machine 0 | System Time 1520474917.208162 | Logical Clock 90 
Logging event: Send to Machine 0 | System Time 1520474917.37821 | Logical Clock 91 
Logging event: Receive | System Time 1520474917.5471108 | Logical Clock 92 
Logging event: Receive | System Time 1520474917.716353 | Logical Clock 93 
Logging event: Receive | System Time 1520474917.888507 | Logical Clock 94 
Logging event: Receive | System Time 1520474918.056174 | Logical Clock 95 
Logging event: Send to Both Machines | System Time 1520474918.2236512 | Logical Clock 96 
Logging event: Send to Machine 1 | System Time 1520474918.39302 | Logical Clock 97 
Logging event: Internal | System Time 1520474918.563639 | Logical Clock 98 
Logging event: Internal | System Time 1520474918.7349188 | Logical Clock 99 
Logging event: Receive | System Time 1520474918.9071271 | Logical Clock 101 
Logging event: Send to Machine 1 | System Time 1520474919.077301 | Logical Clock 102 
Logging event: Send to Machine 0 | System Time 1520474919.247634 | Logical Clock 103 
Logging event: Send to Machine 0 | System Time 1520474919.420135 | Logical Clock 104 
Logging event: Internal | System Time 1520474919.589022 | Logical Clock 105 
Logging event: Send to Machine 0 | System Time 1520474919.756541 | Logical Clock 106 
Logging event: Receive | System Time 1520474919.925316 | Logical Clock 107 
