Logging event: Send to Machine 1 | System Time 1520474902.6046011 | Logical Clock 1 
Logging event: Receive | System Time 1520474903.1061492 | Logical Clock 3 
Logging event: Receive | System Time 1520474903.609256 | Logical Clock 4 
Logging event: Receive | System Time 1520474904.112106 | Logical Clock 5 
Logging event: Receive | System Time 1520474904.6165361 | Logical Clock 6 
Logging event: Receive | System Time 1520474905.118753 | Logical Clock 7 
Logging event: Receive | System Time 1520474905.62207 | Logical Clock 10 
Logging event: Receive | System Time 1520474906.1258602 | Logical Clock 11 
Logging event: Receive | System Time 1520474906.632643 | Logical Clock 12 
Logging event: Receive | System Time 1520474907.136739 | Logical Clock 15 
Logging event: Receive | System Time 1520474907.638926 | Logical Clock 16 
Logging event: Receive | System Time 1520474908.142069 | Logical Clock 22 
Logging event: Receive | System Time 1520474908.643363 | Logical Clock 24 
Logging event: Receive | System Time 1520474909.1468852 | Logical Clock 27 
Logging event: Receive | System Time 1520474909.648868 | Logical Clock 29 
Logging event: Receive | System Time 1520474910.151031 | Logical Clock 31 
Logging event: Receive | System Time 1520474910.6565099 | Logical Clock 33 
Logging event: Receive | System Time 1520474911.158525 | Logical Clock 34 
Logging event: Receive | System Time 1520474911.664164 | Logical Clock 38 
Logging event: Receive | System Time 1520474912.1696022 | Logical Clock 39 
Logging event: Receive | System Time 1520474912.6738071 | Logical Clock 41 
Logging event: Receive | System Time 1520474913.1787689 | Logical Clock 44 
Logging event: Receive | System Time 1520474913.681912 | Logical Clock 45 
Logging event: Receive | System Time 1520474914.184309 | Logical Clock 47 
Logging event: Receive | System Time 1520474914.6846578 | Logical Clock 49 
Logging event: Receive | System Time 1520474915.185719 | Logical Clock 54 
Logging event: Receive | System Time 1520474915.6899688 | Logical Clock 55 
Logging event: Receive | System Time 1520474916.190607 | Logical Clock 56 
Logging event: Receive | System Time 1520474916.691513 | Logical Clock 59 
Logging event: Receive | System Time 1520474917.195476 | Logical Clock 61 
Logging event: Receive | System Time 1520474917.699172 | Logical Clock 65 
Logging event: Receive | System Time 1520474918.1996548 | Logical Clock 66 
Logging event: Receive | System Time 1520474918.701174 | Logical Clock 67 
Logging event: Receive | System Time 1520474919.203795 | Logical Clock 69 
Logging event: Receive | System Time 1520474919.706879 | Logical Clock 71 
Logging event: Receive | System Time 1520474920.2085938 | Logical Clock 73 
Logging event: Receive | System Time 1520474920.710201 | Logical Clock 74 
Logging event: Receive | System Time 1520474921.213093 | Logical Clock 75 
Logging event: Receive | System Time 1520474921.7184398 | Logical Clock 76 
Logging event: Receive | System Time 1520474922.224069 | Logical Clock 79 
Logging event: Receive | System Time 1520474922.729633 | Logical Clock 81 
Logging event: Receive | System Time 1520474923.2352152 | Logical Clock 82 
Logging event: Receive | System Time 1520474923.7408268 | Logical Clock 86 
Logging event: Receive | System Time 1520474924.241229 | Logical Clock 87 
Logging event: Receive | System Time 1520474924.744156 | Logical Clock 91 
Logging event: Receive | System Time 1520474925.2497191 | Logical Clock 92 
Logging event: Receive | System Time 1520474925.754591 | Logical Clock 93 
Logging event: Receive | System Time 1520474926.255241 | Logical Clock 94 
Logging event: Receive | System Time 1520474926.758694 | Logical Clock 95 
Logging event: Receive | System Time 1520474927.262261 | Logical Clock 97 
Logging event: Receive | System Time 1520474927.764529 | Logical Clock 101 
Logging event: Receive | System Time 1520474928.270257 | Logical Clock 102 
Logging event: Receive | System Time 1520474928.7753532 | Logical Clock 104 
Logging event: Receive | System Time 1520474929.277152 | Logical Clock 105 
Logging event: Receive | System Time 1520474929.782754 | Logical Clock 106 
Logging event: Receive | System Time 1520474930.2848399 | Logical Clock 107 
Logging event: Receive | System Time 1520474930.791307 | Logical Clock 112 
Logging event: Receive | System Time 1520474931.291923 | Logical Clock 115 
Logging event: Receive | System Time 1520474931.7942379 | Logical Clock 119 
Logging event: Receive | System Time 1520474932.297537 | Logical Clock 121 
Logging event: Receive | System Time 1520474932.802948 | Logical Clock 124 
Logging event: Receive | System Time 1520474933.307899 | Logical Clock 125 
Logging event: Receive | System Time 1520474933.80865 | Logical Clock 127 
Logging event: Receive | System Time 1520474934.309089 | Logical Clock 131 
Logging event: Receive | System Time 1520474934.809653 | Logical Clock 135 
Logging event: Receive | System Time 1520474935.310354 | Logical Clock 138 
Logging event: Receive | System Time 1520474935.815767 | Logical Clock 139 
Logging event: Receive | System Time 1520474936.321409 | Logical Clock 140 
Logging event: Receive | System Time 1520474936.825356 | Logical Clock 141 
Logging event: Receive | System Time 1520474937.330931 | Logical Clock 142 
Logging event: Receive | System Time 1520474937.8365629 | Logical Clock 143 
Logging event: Receive | System Time 1520474938.342029 | Logical Clock 144 
Logging event: Receive | System Time 1520474938.847729 | Logical Clock 149 
Logging event: Receive | System Time 1520474939.353292 | Logical Clock 150 
Logging event: Receive | System Time 1520474939.858658 | Logical Clock 151 
Logging event: Receive | System Time 1520474940.3591192 | Logical Clock 152 
Logging event: Receive | System Time 1520474940.863851 | Logical Clock 154 
Logging event: Receive | System Time 1520474941.369312 | Logical Clock 155 
Logging event: Receive | System Time 1520474941.8749702 | Logical Clock 156 
Logging event: Receive | System Time 1520474942.377606 | Logical Clock 157 
Logging event: Receive | System Time 1520474942.883368 | Logical Clock 158 
