Logging event: Receive | System Time 1520474902.6049001 | Logical Clock 2 
Logging event: Receive | System Time 1520474902.805918 | Logical Clock 3 
Logging event: Receive | System Time 1520474903.011275 | Logical Clock 4 
Logging event: Send to Both Machines | System Time 1520474903.215737 | Logical Clock 5 
Logging event: Send to Both Machines | System Time 1520474903.421694 | Logical Clock 6 
Logging event: Send to Machine 2 | System Time 1520474903.626552 | Logical Clock 7 
Logging event: Send to Both Machines | System Time 1520474903.826883 | Logical Clock 8 
Logging event: Send to Machine 2 | System Time 1520474904.0326028 | Logical Clock 9 
Logging event: Send to Machine 2 | System Time 1520474904.233047 | Logical Clock 10 
Logging event: Send to Both Machines | System Time 1520474904.433779 | Logical Clock 11 
Logging event: Internal | System Time 1520474904.63922 | Logical Clock 12 
Logging event: Send to Machine 2 | System Time 1520474904.844664 | Logical Clock 13 
Logging event: Send to Machine 2 | System Time 1520474905.048911 | Logical Clock 14 
Logging event: Send to Machine 2 | System Time 1520474905.253269 | Logical Clock 15 
Logging event: Internal | System Time 1520474905.459616 | Logical Clock 16 
Logging event: Receive | System Time 1520474905.6651142 | Logical Clock 20 
Logging event: Internal | System Time 1520474905.869878 | Logical Clock 21 
Logging event: Send to Machine 2 | System Time 1520474906.0709271 | Logical Clock 22 
Logging event: Send to Both Machines | System Time 1520474906.273819 | Logical Clock 23 
Logging event: Send to Machine 2 | System Time 1520474906.476546 | Logical Clock 24 
Logging event: Internal | System Time 1520474906.679967 | Logical Clock 25 
Logging event: Receive | System Time 1520474906.884376 | Logical Clock 27 
Logging event: Receive | System Time 1520474907.089844 | Logical Clock 28 
Logging event: Receive | System Time 1520474907.294069 | Logical Clock 29 
Logging event: Receive | System Time 1520474907.497105 | Logical Clock 30 
Logging event: Internal | System Time 1520474907.698627 | Logical Clock 31 
Logging event: Receive | System Time 1520474907.9017391 | Logical Clock 34 
Logging event: Send to Machine 2 | System Time 1520474908.106276 | Logical Clock 35 
Logging event: Internal | System Time 1520474908.308361 | Logical Clock 36 
Logging event: Send to Both Machines | System Time 1520474908.508712 | Logical Clock 37 
Logging event: Send to Machine 2 | System Time 1520474908.708926 | Logical Clock 38 
Logging event: Send to Machine 2 | System Time 1520474908.911741 | Logical Clock 39 
Logging event: Send to Both Machines | System Time 1520474909.1152651 | Logical Clock 40 
Logging event: Internal | System Time 1520474909.317031 | Logical Clock 41 
Logging event: Internal | System Time 1520474909.517674 | Logical Clock 42 
Logging event: Send to Both Machines | System Time 1520474909.7188501 | Logical Clock 43 
Logging event: Receive | System Time 1520474909.923755 | Logical Clock 47 
Logging event: Internal | System Time 1520474910.127079 | Logical Clock 48 
Logging event: Receive | System Time 1520474910.332575 | Logical Clock 49 
Logging event: Internal | System Time 1520474910.538144 | Logical Clock 50 
Logging event: Send to Machine 2 | System Time 1520474910.742759 | Logical Clock 51 
Logging event: Internal | System Time 1520474910.944648 | Logical Clock 52 
Logging event: Send to Machine 2 | System Time 1520474911.1492531 | Logical Clock 53 
Logging event: Send to Both Machines | System Time 1520474911.349875 | Logical Clock 54 
Logging event: Send to Machine 2 | System Time 1520474911.553247 | Logical Clock 55 
Logging event: Internal | System Time 1520474911.758741 | Logical Clock 56 
Logging event: Internal | System Time 1520474911.961974 | Logical Clock 57 
Logging event: Internal | System Time 1520474912.1628401 | Logical Clock 58 
Logging event: Send to Machine 2 | System Time 1520474912.365679 | Logical Clock 59 
Logging event: Internal | System Time 1520474912.569449 | Logical Clock 60 
Logging event: Receive | System Time 1520474912.774272 | Logical Clock 64 
Logging event: Send to Machine 2 | System Time 1520474912.9757462 | Logical Clock 65 
Logging event: Send to Both Machines | System Time 1520474913.178487 | Logical Clock 66 
Logging event: Send to Machine 2 | System Time 1520474913.379283 | Logical Clock 67 
Logging event: Send to Both Machines | System Time 1520474913.5824692 | Logical Clock 68 
Logging event: Internal | System Time 1520474913.7842538 | Logical Clock 69 
Logging event: Receive | System Time 1520474913.988815 | Logical Clock 71 
Logging event: Receive | System Time 1520474914.189297 | Logical Clock 72 
Logging event: Send to Both Machines | System Time 1520474914.3905332 | Logical Clock 73 
Logging event: Send to Machine 0 | System Time 1520474914.594665 | Logical Clock 74 
Logging event: Internal | System Time 1520474914.800512 | Logical Clock 75 
Logging event: Send to Machine 2 | System Time 1520474915.006149 | Logical Clock 76 
Logging event: Send to Machine 2 | System Time 1520474915.2084732 | Logical Clock 77 
Logging event: Internal | System Time 1520474915.413494 | Logical Clock 78 
Logging event: Internal | System Time 1520474915.6165252 | Logical Clock 79 
Logging event: Send to Machine 2 | System Time 1520474915.8220532 | Logical Clock 80 
Logging event: Send to Machine 2 | System Time 1520474916.023402 | Logical Clock 81 
Logging event: Internal | System Time 1520474916.223957 | Logical Clock 82 
Logging event: Internal | System Time 1520474916.4263391 | Logical Clock 83 
Logging event: Internal | System Time 1520474916.631399 | Logical Clock 84 
Logging event: Receive | System Time 1520474916.836298 | Logical Clock 88 
Logging event: Internal | System Time 1520474917.0395908 | Logical Clock 89 
