Logging event: Receive | System Time 1520475022.618936 | Logical Clock 2 
Logging event: Send to Machine 2 | System Time 1520475022.8230278 | Logical Clock 3 
Logging event: Send to Machine 2 | System Time 1520475023.025084 | Logical Clock 4 
Logging event: Send to Both Machines | System Time 1520475023.228069 | Logical Clock 5 
Logging event: Send to Both Machines | System Time 1520475023.429257 | Logical Clock 6 
Logging event: Send to Machine 2 | System Time 1520475023.6295412 | Logical Clock 7 
Logging event: Internal | System Time 1520475023.832475 | Logical Clock 8 
Logging event: Receive | System Time 1520475024.034781 | Logical Clock 11 
Logging event: Internal | System Time 1520475024.2394361 | Logical Clock 12 
Logging event: Receive | System Time 1520475024.441273 | Logical Clock 13 
Logging event: Receive | System Time 1520475024.6422122 | Logical Clock 14 
Logging event: Receive | System Time 1520475024.8448582 | Logical Clock 15 
Logging event: Receive | System Time 1520475025.046865 | Logical Clock 16 
Logging event: Receive | System Time 1520475025.248254 | Logical Clock 17 
Logging event: Receive | System Time 1520475025.449394 | Logical Clock 18 
Logging event: Receive | System Time 1520475025.649815 | Logical Clock 19 
Logging event: Receive | System Time 1520475025.853889 | Logical Clock 20 
Logging event: Receive | System Time 1520475026.054385 | Logical Clock 21 
Logging event: Receive | System Time 1520475026.2561228 | Logical Clock 22 
Logging event: Receive | System Time 1520475026.457748 | Logical Clock 24 
Logging event: Receive | System Time 1520475026.659327 | Logical Clock 25 
Logging event: Send to Machine 2 | System Time 1520475026.860661 | Logical Clock 26 
Logging event: Send to Both Machines | System Time 1520475027.061825 | Logical Clock 27 
Logging event: Send to Both Machines | System Time 1520475027.265683 | Logical Clock 28 
Logging event: Internal | System Time 1520475027.466712 | Logical Clock 29 
Logging event: Send to Machine 0 | System Time 1520475027.67102 | Logical Clock 30 
Logging event: Receive | System Time 1520475027.875614 | Logical Clock 34 
Logging event: Receive | System Time 1520475028.07681 | Logical Clock 35 
Logging event: Receive | System Time 1520475028.282368 | Logical Clock 36 
Logging event: Send to Machine 0 | System Time 1520475028.483131 | Logical Clock 37 
Logging event: Receive | System Time 1520475028.683774 | Logical Clock 38 
Logging event: Send to Machine 2 | System Time 1520475028.884331 | Logical Clock 39 
Logging event: Send to Both Machines | System Time 1520475029.089764 | Logical Clock 40 
Logging event: Send to Both Machines | System Time 1520475029.293744 | Logical Clock 41 
Logging event: Internal | System Time 1520475029.4964962 | Logical Clock 42 
Logging event: Internal | System Time 1520475029.697116 | Logical Clock 43 
Logging event: Receive | System Time 1520475029.897473 | Logical Clock 46 
Logging event: Receive | System Time 1520475030.1030242 | Logical Clock 47 
Logging event: Receive | System Time 1520475030.3064141 | Logical Clock 48 
Logging event: Receive | System Time 1520475030.506698 | Logical Clock 49 
Logging event: Receive | System Time 1520475030.708645 | Logical Clock 50 
Logging event: Internal | System Time 1520475030.9144719 | Logical Clock 51 
Logging event: Receive | System Time 1520475031.120472 | Logical Clock 52 
Logging event: Internal | System Time 1520475031.32102 | Logical Clock 53 
Logging event: Receive | System Time 1520475031.521696 | Logical Clock 55 
Logging event: Receive | System Time 1520475031.726042 | Logical Clock 56 
Logging event: Send to Machine 0 | System Time 1520475031.928281 | Logical Clock 57 
Logging event: Receive | System Time 1520475032.1286771 | Logical Clock 58 
Logging event: Receive | System Time 1520475032.329201 | Logical Clock 60 
Logging event: Send to Both Machines | System Time 1520475032.531363 | Logical Clock 61 
Logging event: Send to Machine 2 | System Time 1520475032.73567 | Logical Clock 62 
Logging event: Send to Both Machines | System Time 1520475032.9362628 | Logical Clock 63 
Logging event: Internal | System Time 1520475033.142109 | Logical Clock 64 
Logging event: Receive | System Time 1520475033.347713 | Logical Clock 67 
Logging event: Receive | System Time 1520475033.550085 | Logical Clock 68 
Logging event: Receive | System Time 1520475033.75567 | Logical Clock 69 
Logging event: Send to Both Machines | System Time 1520475033.961287 | Logical Clock 70 
Logging event: Receive | System Time 1520475034.162501 | Logical Clock 73 
Logging event: Receive | System Time 1520475034.366241 | Logical Clock 74 
Logging event: Receive | System Time 1520475034.566668 | Logical Clock 75 
Logging event: Send to Machine 0 | System Time 1520475034.768576 | Logical Clock 76 
Logging event: Receive | System Time 1520475034.9719198 | Logical Clock 77 
Logging event: Send to Machine 0 | System Time 1520475035.172287 | Logical Clock 78 
