Logging event: Receive | System Time 1520479634.91 | Logical Clock 1 
Logging event: Receive | System Time 1520479635.41 | Logical Clock 3 
Logging event: Receive | System Time 1520479635.92 | Logical Clock 4 
Logging event: Receive | System Time 1520479636.43 | Logical Clock 7 
Logging event: Receive | System Time 1520479636.93 | Logical Clock 8 
Logging event: Receive | System Time 1520479637.44 | Logical Clock 12 
Logging event: Receive | System Time 1520479637.94 | Logical Clock 13 
Logging event: Receive | System Time 1520479638.44 | Logical Clock 15 
Logging event: Receive | System Time 1520479638.95 | Logical Clock 17 
Logging event: Receive | System Time 1520479639.45 | Logical Clock 18 
Logging event: Receive | System Time 1520479639.95 | Logical Clock 21 
Logging event: Receive | System Time 1520479640.45 | Logical Clock 24 
Logging event: Receive | System Time 1520479640.96 | Logical Clock 28 
Logging event: Receive | System Time 1520479641.47 | Logical Clock 31 
Logging event: Receive | System Time 1520479641.97 | Logical Clock 32 
Logging event: Receive | System Time 1520479642.47 | Logical Clock 35 
Logging event: Receive | System Time 1520479642.97 | Logical Clock 37 
Logging event: Receive | System Time 1520479643.47 | Logical Clock 44 
Logging event: Receive | System Time 1520479643.97 | Logical Clock 45 
Logging event: Receive | System Time 1520479644.48 | Logical Clock 46 
Logging event: Receive | System Time 1520479644.98 | Logical Clock 48 
Logging event: Receive | System Time 1520479645.48 | Logical Clock 51 
Logging event: Receive | System Time 1520479645.98 | Logical Clock 52 
Logging event: Receive | System Time 1520479646.49 | Logical Clock 54 
Logging event: Receive | System Time 1520479646.99 | Logical Clock 56 
Logging event: Receive | System Time 1520479647.49 | Logical Clock 58 
Logging event: Receive | System Time 1520479647.99 | Logical Clock 59 
Logging event: Receive | System Time 1520479648.5 | Logical Clock 61 
Logging event: Receive | System Time 1520479649.0 | Logical Clock 62 
Logging event: Receive | System Time 1520479649.5 | Logical Clock 63 
Logging event: Receive | System Time 1520479650.0 | Logical Clock 69 
Logging event: Receive | System Time 1520479650.5 | Logical Clock 70 
Logging event: Receive | System Time 1520479651.0 | Logical Clock 73 
Logging event: Receive | System Time 1520479651.5 | Logical Clock 76 
Logging event: Receive | System Time 1520479652.01 | Logical Clock 77 
Logging event: Receive | System Time 1520479652.51 | Logical Clock 79 
Logging event: Receive | System Time 1520479653.01 | Logical Clock 80 
Logging event: Receive | System Time 1520479653.51 | Logical Clock 83 
Logging event: Receive | System Time 1520479654.01 | Logical Clock 84 
Logging event: Receive | System Time 1520479654.52 | Logical Clock 85 
Logging event: Receive | System Time 1520479655.02 | Logical Clock 86 
Logging event: Receive | System Time 1520479655.53 | Logical Clock 87 
Logging event: Receive | System Time 1520479656.03 | Logical Clock 88 
Logging event: Receive | System Time 1520479656.53 | Logical Clock 89 
Logging event: Receive | System Time 1520479657.03 | Logical Clock 90 
Logging event: Receive | System Time 1520479657.54 | Logical Clock 91 
Logging event: Receive | System Time 1520479658.04 | Logical Clock 92 
Logging event: Receive | System Time 1520479658.54 | Logical Clock 93 
Logging event: Receive | System Time 1520479659.04 | Logical Clock 95 
Logging event: Receive | System Time 1520479659.54 | Logical Clock 96 
Logging event: Receive | System Time 1520479660.05 | Logical Clock 98 
Logging event: Receive | System Time 1520479660.55 | Logical Clock 99 
Logging event: Receive | System Time 1520479661.05 | Logical Clock 102 
Logging event: Receive | System Time 1520479661.55 | Logical Clock 107 
Logging event: Receive | System Time 1520479662.05 | Logical Clock 108 
Logging event: Receive | System Time 1520479662.55 | Logical Clock 110 
Logging event: Receive | System Time 1520479663.06 | Logical Clock 111 
Logging event: Receive | System Time 1520479663.56 | Logical Clock 112 
Logging event: Receive | System Time 1520479664.06 | Logical Clock 114 
Logging event: Receive | System Time 1520479664.56 | Logical Clock 115 
Logging event: Receive | System Time 1520479665.06 | Logical Clock 116 
Logging event: Receive | System Time 1520479665.56 | Logical Clock 117 
Logging event: Receive | System Time 1520479666.08 | Logical Clock 118 
Logging event: Receive | System Time 1520479666.58 | Logical Clock 119 
Logging event: Receive | System Time 1520479667.08 | Logical Clock 125 
Logging event: Receive | System Time 1520479667.58 | Logical Clock 126 
Logging event: Receive | System Time 1520479668.08 | Logical Clock 129 
Logging event: Receive | System Time 1520479668.59 | Logical Clock 131 
Logging event: Receive | System Time 1520479669.09 | Logical Clock 132 
Logging event: Receive | System Time 1520479669.59 | Logical Clock 135 
Logging event: Receive | System Time 1520479670.09 | Logical Clock 136 
Logging event: Receive | System Time 1520479670.59 | Logical Clock 138 
Logging event: Receive | System Time 1520479671.1 | Logical Clock 142 
Logging event: Receive | System Time 1520479671.6 | Logical Clock 145 
Logging event: Receive | System Time 1520479672.1 | Logical Clock 147 
Logging event: Receive | System Time 1520479672.6 | Logical Clock 148 
Logging event: Receive | System Time 1520479673.1 | Logical Clock 149 
Logging event: Receive | System Time 1520479673.61 | Logical Clock 151 
Logging event: Receive | System Time 1520479674.11 | Logical Clock 152 
Logging event: Receive | System Time 1520479674.61 | Logical Clock 153 
Logging event: Receive | System Time 1520479675.11 | Logical Clock 154 
Logging event: Receive | System Time 1520479675.62 | Logical Clock 155 
Logging event: Receive | System Time 1520479676.12 | Logical Clock 158 
Logging event: Receive | System Time 1520479676.62 | Logical Clock 159 
Logging event: Receive | System Time 1520479677.12 | Logical Clock 161 
Logging event: Receive | System Time 1520479677.62 | Logical Clock 162 
Logging event: Receive | System Time 1520479678.12 | Logical Clock 163 
Logging event: Receive | System Time 1520479678.63 | Logical Clock 168 
Logging event: Receive | System Time 1520479679.13 | Logical Clock 169 
Logging event: Receive | System Time 1520479679.63 | Logical Clock 170 
Logging event: Receive | System Time 1520479680.13 | Logical Clock 173 
Logging event: Receive | System Time 1520479680.63 | Logical Clock 177 
Logging event: Receive | System Time 1520479681.13 | Logical Clock 185 
Logging event: Receive | System Time 1520479681.63 | Logical Clock 186 
Logging event: Receive | System Time 1520479682.14 | Logical Clock 187 
Logging event: Receive | System Time 1520479682.64 | Logical Clock 188 
Logging event: Receive | System Time 1520479683.14 | Logical Clock 190 
Logging event: Receive | System Time 1520479683.64 | Logical Clock 191 
Logging event: Receive | System Time 1520479684.14 | Logical Clock 192 
Logging event: Receive | System Time 1520479684.64 | Logical Clock 195 
Logging event: Receive | System Time 1520479685.15 | Logical Clock 198 
Logging event: Receive | System Time 1520479685.65 | Logical Clock 204 
Logging event: Receive | System Time 1520479686.15 | Logical Clock 205 
Logging event: Receive | System Time 1520479686.65 | Logical Clock 206 
Logging event: Receive | System Time 1520479687.15 | Logical Clock 212 
Logging event: Receive | System Time 1520479687.65 | Logical Clock 214 
Logging event: Receive | System Time 1520479688.16 | Logical Clock 217 
Logging event: Receive | System Time 1520479688.66 | Logical Clock 222 
Logging event: Receive | System Time 1520479689.16 | Logical Clock 228 
Logging event: Receive | System Time 1520479689.67 | Logical Clock 229 
Logging event: Receive | System Time 1520479690.17 | Logical Clock 230 
Logging event: Receive | System Time 1520479690.67 | Logical Clock 235 
Logging event: Receive | System Time 1520479691.17 | Logical Clock 236 
Logging event: Receive | System Time 1520479691.67 | Logical Clock 237 
Logging event: Receive | System Time 1520479692.17 | Logical Clock 239 
Logging event: Receive | System Time 1520479692.68 | Logical Clock 245 
Logging event: Receive | System Time 1520479693.18 | Logical Clock 249 
Logging event: Receive | System Time 1520479693.68 | Logical Clock 251 
Logging event: Receive | System Time 1520479694.18 | Logical Clock 253 
