Logging event: Send to Both Machines | System Time 1520479634.58 | Logical Clock 1 
Logging event: Internal | System Time 1520479634.75 | Logical Clock 2 
Logging event: Receive | System Time 1520479634.92 | Logical Clock 3 
Logging event: Receive | System Time 1520479635.09 | Logical Clock 4 
Logging event: Internal | System Time 1520479635.26 | Logical Clock 5 
Logging event: Receive | System Time 1520479635.43 | Logical Clock 6 
Logging event: Send to Machine 0 | System Time 1520479635.6 | Logical Clock 7 
Logging event: Receive | System Time 1520479635.77 | Logical Clock 8 
Logging event: Receive | System Time 1520479635.94 | Logical Clock 9 
Logging event: Internal | System Time 1520479636.11 | Logical Clock 10 
Logging event: Send to Machine 1 | System Time 1520479636.28 | Logical Clock 11 
Logging event: Send to Both Machines | System Time 1520479636.44 | Logical Clock 12 
Logging event: Send to Machine 0 | System Time 1520479636.61 | Logical Clock 13 
Logging event: Send to Machine 1 | System Time 1520479636.78 | Logical Clock 14 
Logging event: Internal | System Time 1520479636.95 | Logical Clock 15 
Logging event: Receive | System Time 1520479637.12 | Logical Clock 16 
Logging event: Send to Both Machines | System Time 1520479637.29 | Logical Clock 17 
Logging event: Internal | System Time 1520479637.46 | Logical Clock 18 
Logging event: Internal | System Time 1520479637.63 | Logical Clock 19 
Logging event: Receive | System Time 1520479637.79 | Logical Clock 20 
Logging event: Receive | System Time 1520479637.96 | Logical Clock 21 
Logging event: Internal | System Time 1520479638.13 | Logical Clock 22 
Logging event: Receive | System Time 1520479638.3 | Logical Clock 23 
Logging event: Send to Both Machines | System Time 1520479638.47 | Logical Clock 24 
Logging event: Internal | System Time 1520479638.64 | Logical Clock 25 
Logging event: Internal | System Time 1520479638.81 | Logical Clock 26 
Logging event: Send to Machine 1 | System Time 1520479638.98 | Logical Clock 27 
Logging event: Internal | System Time 1520479639.15 | Logical Clock 28 
Logging event: Receive | System Time 1520479639.32 | Logical Clock 29 
Logging event: Send to Machine 1 | System Time 1520479639.48 | Logical Clock 30 
Logging event: Send to Machine 0 | System Time 1520479639.66 | Logical Clock 31 
Logging event: Internal | System Time 1520479639.83 | Logical Clock 32 
Logging event: Receive | System Time 1520479639.99 | Logical Clock 33 
Logging event: Receive | System Time 1520479640.17 | Logical Clock 34 
Logging event: Internal | System Time 1520479640.33 | Logical Clock 35 
Logging event: Internal | System Time 1520479640.51 | Logical Clock 36 
Logging event: Internal | System Time 1520479640.68 | Logical Clock 37 
Logging event: Receive | System Time 1520479640.85 | Logical Clock 38 
Logging event: Internal | System Time 1520479641.02 | Logical Clock 39 
Logging event: Receive | System Time 1520479641.18 | Logical Clock 40 
Logging event: Send to Machine 1 | System Time 1520479641.35 | Logical Clock 41 
Logging event: Internal | System Time 1520479641.52 | Logical Clock 42 
Logging event: Send to Machine 1 | System Time 1520479641.69 | Logical Clock 43 
Logging event: Send to Both Machines | System Time 1520479641.86 | Logical Clock 44 
Logging event: Send to Both Machines | System Time 1520479642.03 | Logical Clock 45 
Logging event: Send to Both Machines | System Time 1520479642.21 | Logical Clock 46 
Logging event: Internal | System Time 1520479642.38 | Logical Clock 47 
Logging event: Internal | System Time 1520479642.55 | Logical Clock 48 
Logging event: Internal | System Time 1520479642.72 | Logical Clock 49 
Logging event: Receive | System Time 1520479642.89 | Logical Clock 50 
Logging event: Send to Both Machines | System Time 1520479643.06 | Logical Clock 51 
Logging event: Send to Machine 0 | System Time 1520479643.23 | Logical Clock 52 
Logging event: Internal | System Time 1520479643.4 | Logical Clock 53 
Logging event: Send to Both Machines | System Time 1520479643.56 | Logical Clock 54 
Logging event: Internal | System Time 1520479643.74 | Logical Clock 55 
Logging event: Send to Both Machines | System Time 1520479643.9 | Logical Clock 56 
Logging event: Send to Machine 1 | System Time 1520479644.07 | Logical Clock 57 
Logging event: Internal | System Time 1520479644.24 | Logical Clock 58 
Logging event: Send to Both Machines | System Time 1520479644.41 | Logical Clock 59 
Logging event: Internal | System Time 1520479644.58 | Logical Clock 60 
Logging event: Send to Both Machines | System Time 1520479644.75 | Logical Clock 61 
Logging event: Internal | System Time 1520479644.92 | Logical Clock 62 
Logging event: Internal | System Time 1520479645.09 | Logical Clock 63 
Logging event: Receive | System Time 1520479645.26 | Logical Clock 64 
Logging event: Internal | System Time 1520479645.43 | Logical Clock 65 
Logging event: Internal | System Time 1520479645.6 | Logical Clock 66 
Logging event: Internal | System Time 1520479645.77 | Logical Clock 67 
Logging event: Internal | System Time 1520479645.94 | Logical Clock 68 
Logging event: Internal | System Time 1520479646.11 | Logical Clock 69 
Logging event: Internal | System Time 1520479646.28 | Logical Clock 70 
Logging event: Receive | System Time 1520479646.44 | Logical Clock 71 
Logging event: Receive | System Time 1520479646.61 | Logical Clock 72 
Logging event: Send to Both Machines | System Time 1520479646.79 | Logical Clock 73 
Logging event: Internal | System Time 1520479646.96 | Logical Clock 74 
Logging event: Internal | System Time 1520479647.13 | Logical Clock 75 
Logging event: Send to Both Machines | System Time 1520479647.3 | Logical Clock 76 
Logging event: Send to Both Machines | System Time 1520479647.47 | Logical Clock 77 
Logging event: Send to Machine 1 | System Time 1520479647.64 | Logical Clock 78 
Logging event: Internal | System Time 1520479647.81 | Logical Clock 79 
Logging event: Internal | System Time 1520479647.98 | Logical Clock 80 
Logging event: Receive | System Time 1520479648.15 | Logical Clock 81 
Logging event: Receive | System Time 1520479648.32 | Logical Clock 82 
Logging event: Send to Both Machines | System Time 1520479648.49 | Logical Clock 83 
Logging event: Send to Both Machines | System Time 1520479648.66 | Logical Clock 84 
Logging event: Send to Machine 0 | System Time 1520479648.83 | Logical Clock 85 
Logging event: Send to Machine 0 | System Time 1520479649.0 | Logical Clock 86 
Logging event: Internal | System Time 1520479649.18 | Logical Clock 87 
Logging event: Internal | System Time 1520479649.36 | Logical Clock 88 
