Logging event: Internal | System Time 1520474962.6123168 | Logical Clock 1 
Logging event: Receive | System Time 1520474962.865366 | Logical Clock 2 
Logging event: Internal | System Time 1520474963.116756 | Logical Clock 3 
Logging event: Internal | System Time 1520474963.3675919 | Logical Clock 4 
Logging event: Internal | System Time 1520474963.617889 | Logical Clock 5 
Logging event: Send to Machine 2 | System Time 1520474963.86949 | Logical Clock 6 
Logging event: Internal | System Time 1520474964.1211252 | Logical Clock 7 
Logging event: Receive | System Time 1520474964.3715708 | Logical Clock 11 
Logging event: Internal | System Time 1520474964.626973 | Logical Clock 12 
Logging event: Internal | System Time 1520474964.8816378 | Logical Clock 13 
Logging event: Receive | System Time 1520474965.132162 | Logical Clock 16 
Logging event: Receive | System Time 1520474965.38275 | Logical Clock 17 
Logging event: Receive | System Time 1520474965.63369 | Logical Clock 18 
Logging event: Receive | System Time 1520474965.8869 | Logical Clock 19 
Logging event: Receive | System Time 1520474966.1385028 | Logical Clock 21 
Logging event: Send to Machine 1 | System Time 1520474966.3910668 | Logical Clock 22 
Logging event: Receive | System Time 1520474966.64606 | Logical Clock 25 
Logging event: Internal | System Time 1520474966.902004 | Logical Clock 26 
Logging event: Receive | System Time 1520474967.1537158 | Logical Clock 28 
Logging event: Send to Machine 2 | System Time 1520474967.4091752 | Logical Clock 29 
Logging event: Internal | System Time 1520474967.6614988 | Logical Clock 30 
Logging event: Receive | System Time 1520474967.914569 | Logical Clock 32 
Logging event: Receive | System Time 1520474968.165113 | Logical Clock 34 
Logging event: Receive | System Time 1520474968.415564 | Logical Clock 36 
Logging event: Internal | System Time 1520474968.6690361 | Logical Clock 37 
Logging event: Receive | System Time 1520474968.923842 | Logical Clock 39 
Logging event: Receive | System Time 1520474969.179554 | Logical Clock 41 
Logging event: Send to Both Machines | System Time 1520474969.431283 | Logical Clock 42 
Logging event: Internal | System Time 1520474969.686749 | Logical Clock 43 
Logging event: Internal | System Time 1520474969.939625 | Logical Clock 44 
Logging event: Receive | System Time 1520474970.1917062 | Logical Clock 48 
Logging event: Internal | System Time 1520474970.4432251 | Logical Clock 49 
Logging event: Send to Both Machines | System Time 1520474970.6975338 | Logical Clock 50 
Logging event: Receive | System Time 1520474970.953032 | Logical Clock 53 
Logging event: Internal | System Time 1520474971.2062988 | Logical Clock 54 
Logging event: Receive | System Time 1520474971.457379 | Logical Clock 56 
Logging event: Receive | System Time 1520474971.712895 | Logical Clock 57 
Logging event: Send to Machine 2 | System Time 1520474971.964721 | Logical Clock 58 
Logging event: Internal | System Time 1520474972.219916 | Logical Clock 59 
Logging event: Internal | System Time 1520474972.471147 | Logical Clock 60 
Logging event: Internal | System Time 1520474972.724212 | Logical Clock 61 
Logging event: Internal | System Time 1520474972.974522 | Logical Clock 62 
Logging event: Internal | System Time 1520474973.2252219 | Logical Clock 63 
Logging event: Internal | System Time 1520474973.479659 | Logical Clock 64 
Logging event: Internal | System Time 1520474973.732476 | Logical Clock 65 
Logging event: Receive | System Time 1520474973.988514 | Logical Clock 72 
Logging event: Receive | System Time 1520474974.239212 | Logical Clock 73 
Logging event: Receive | System Time 1520474974.494637 | Logical Clock 75 
Logging event: Internal | System Time 1520474974.749928 | Logical Clock 76 
Logging event: Receive | System Time 1520474975.001164 | Logical Clock 77 
Logging event: Receive | System Time 1520474975.252769 | Logical Clock 78 
Logging event: Receive | System Time 1520474975.503552 | Logical Clock 79 
Logging event: Internal | System Time 1520474975.755332 | Logical Clock 80 
Logging event: Internal | System Time 1520474976.007106 | Logical Clock 81 
Logging event: Receive | System Time 1520474976.258972 | Logical Clock 84 
Logging event: Send to Machine 2 | System Time 1520474976.510977 | Logical Clock 85 
Logging event: Receive | System Time 1520474976.762663 | Logical Clock 88 
Logging event: Send to Machine 2 | System Time 1520474977.013936 | Logical Clock 89 
Logging event: Receive | System Time 1520474977.265715 | Logical Clock 90 
Logging event: Receive | System Time 1520474977.517843 | Logical Clock 93 
Logging event: Receive | System Time 1520474977.7689989 | Logical Clock 94 
Logging event: Receive | System Time 1520474978.019669 | Logical Clock 97 
Logging event: Receive | System Time 1520474978.2715871 | Logical Clock 98 
Logging event: Receive | System Time 1520474978.522718 | Logical Clock 99 
Logging event: Receive | System Time 1520474978.7744699 | Logical Clock 102 
Logging event: Send to Machine 2 | System Time 1520474979.0264142 | Logical Clock 103 
Logging event: Receive | System Time 1520474979.2782478 | Logical Clock 104 
Logging event: Receive | System Time 1520474979.529279 | Logical Clock 105 
Logging event: Receive | System Time 1520474979.781897 | Logical Clock 109 
Logging event: Receive | System Time 1520474980.037384 | Logical Clock 110 
Logging event: Send to Both Machines | System Time 1520474980.2878468 | Logical Clock 111 
Logging event: Send to Machine 2 | System Time 1520474980.539306 | Logical Clock 112 
Logging event: Send to Machine 2 | System Time 1520474980.7947881 | Logical Clock 113 
Logging event: Internal | System Time 1520474981.050286 | Logical Clock 114 
Logging event: Receive | System Time 1520474981.302741 | Logical Clock 116 
Logging event: Receive | System Time 1520474981.554843 | Logical Clock 118 
Logging event: Internal | System Time 1520474981.80652 | Logical Clock 119 
Logging event: Receive | System Time 1520474982.058584 | Logical Clock 122 
Logging event: Receive | System Time 1520474982.3140328 | Logical Clock 124 
Logging event: Receive | System Time 1520474982.5654411 | Logical Clock 126 
Logging event: Receive | System Time 1520474982.820898 | Logical Clock 127 
Logging event: Receive | System Time 1520474983.075192 | Logical Clock 128 
Logging event: Receive | System Time 1520474983.328393 | Logical Clock 130 
Logging event: Receive | System Time 1520474983.581105 | Logical Clock 131 
Logging event: Receive | System Time 1520474983.8366861 | Logical Clock 134 
Logging event: Receive | System Time 1520474984.09121 | Logical Clock 135 
Logging event: Receive | System Time 1520474984.3428411 | Logical Clock 136 
Logging event: Receive | System Time 1520474984.5984561 | Logical Clock 137 
Logging event: Receive | System Time 1520474984.851134 | Logical Clock 138 
Logging event: Receive | System Time 1520474985.103012 | Logical Clock 141 
Logging event: Receive | System Time 1520474985.358752 | Logical Clock 143 
Logging event: Receive | System Time 1520474985.6113431 | Logical Clock 145 
Logging event: Receive | System Time 1520474985.866096 | Logical Clock 146 
Logging event: Send to Machine 1 | System Time 1520474986.117793 | Logical Clock 147 
Logging event: Send to Machine 1 | System Time 1520474986.3683882 | Logical Clock 148 
Logging event: Send to Machine 2 | System Time 1520474986.6224189 | Logical Clock 149 
Logging event: Internal | System Time 1520474986.878196 | Logical Clock 150 
Logging event: Send to Machine 2 | System Time 1520474987.133847 | Logical Clock 151 
Logging event: Internal | System Time 1520474987.384255 | Logical Clock 152 
Logging event: Receive | System Time 1520474987.634797 | Logical Clock 158 
Logging event: Internal | System Time 1520474987.8852742 | Logical Clock 159 
Logging event: Receive | System Time 1520474988.13606 | Logical Clock 160 
Logging event: Internal | System Time 1520474988.38884 | Logical Clock 161 
Logging event: Internal | System Time 1520474988.639352 | Logical Clock 162 
Logging event: Receive | System Time 1520474988.894232 | Logical Clock 165 
Logging event: Receive | System Time 1520474989.14519 | Logical Clock 167 
Logging event: Receive | System Time 1520474989.397673 | Logical Clock 168 
Logging event: Internal | System Time 1520474989.6501849 | Logical Clock 169 
Logging event: Receive | System Time 1520474989.9055948 | Logical Clock 172 
Logging event: Receive | System Time 1520474990.1580281 | Logical Clock 174 
Logging event: Send to Machine 2 | System Time 1520474990.4117289 | Logical Clock 175 
Logging event: Receive | System Time 1520474990.666395 | Logical Clock 178 
Logging event: Send to Machine 1 | System Time 1520474990.922049 | Logical Clock 179 
Logging event: Receive | System Time 1520474991.17267 | Logical Clock 180 
Logging event: Send to Machine 2 | System Time 1520474991.424562 | Logical Clock 181 
Logging event: Receive | System Time 1520474991.675055 | Logical Clock 183 
Logging event: Receive | System Time 1520474991.9280798 | Logical Clock 185 
Logging event: Internal | System Time 1520474992.181705 | Logical Clock 186 
Logging event: Send to Machine 1 | System Time 1520474992.432215 | Logical Clock 187 
Logging event: Receive | System Time 1520474992.687254 | Logical Clock 190 
Logging event: Receive | System Time 1520474992.938405 | Logical Clock 191 
Logging event: Send to Machine 1 | System Time 1520474993.191026 | Logical Clock 192 
Logging event: Send to Machine 2 | System Time 1520474993.444532 | Logical Clock 193 
Logging event: Receive | System Time 1520474993.699754 | Logical Clock 196 
Logging event: Send to Machine 1 | System Time 1520474993.955724 | Logical Clock 197 
Logging event: Receive | System Time 1520474994.20995 | Logical Clock 198 
Logging event: Receive | System Time 1520474994.4655921 | Logical Clock 199 
Logging event: Receive | System Time 1520474994.717516 | Logical Clock 201 
Logging event: Receive | System Time 1520474994.968322 | Logical Clock 202 
Logging event: Receive | System Time 1520474995.220062 | Logical Clock 204 
Logging event: Receive | System Time 1520474995.473263 | Logical Clock 206 
Logging event: Receive | System Time 1520474995.724135 | Logical Clock 209 
Logging event: Internal | System Time 1520474995.975314 | Logical Clock 210 
Logging event: Receive | System Time 1520474996.2263181 | Logical Clock 212 
Logging event: Send to Machine 1 | System Time 1520474996.480084 | Logical Clock 213 
Logging event: Receive | System Time 1520474996.733548 | Logical Clock 214 
Logging event: Send to Both Machines | System Time 1520474996.986318 | Logical Clock 215 
Logging event: Internal | System Time 1520474997.239682 | Logical Clock 216 
Logging event: Receive | System Time 1520474997.494495 | Logical Clock 219 
Logging event: Internal | System Time 1520474997.744786 | Logical Clock 220 
Logging event: Internal | System Time 1520474997.997139 | Logical Clock 221 
Logging event: Receive | System Time 1520474998.247759 | Logical Clock 224 
Logging event: Receive | System Time 1520474998.49837 | Logical Clock 225 
Logging event: Receive | System Time 1520474998.7523499 | Logical Clock 226 
Logging event: Receive | System Time 1520474999.005583 | Logical Clock 229 
Logging event: Send to Machine 2 | System Time 1520474999.256491 | Logical Clock 230 
Logging event: Internal | System Time 1520474999.511636 | Logical Clock 231 
Logging event: Receive | System Time 1520474999.7625868 | Logical Clock 234 
Logging event: Send to Both Machines | System Time 1520475000.016844 | Logical Clock 235 
Logging event: Internal | System Time 1520475000.2723572 | Logical Clock 236 
Logging event: Internal | System Time 1520475000.523045 | Logical Clock 237 
Logging event: Receive | System Time 1520475000.778232 | Logical Clock 239 
Logging event: Internal | System Time 1520475001.029793 | Logical Clock 240 
Logging event: Internal | System Time 1520475001.280705 | Logical Clock 241 
Logging event: Send to Both Machines | System Time 1520475001.531903 | Logical Clock 242 
Logging event: Internal | System Time 1520475001.787285 | Logical Clock 243 
Logging event: Receive | System Time 1520475002.043126 | Logical Clock 247 
Logging event: Receive | System Time 1520475002.2969642 | Logical Clock 249 
Logging event: Internal | System Time 1520475002.5516858 | Logical Clock 250 
Logging event: Send to Machine 2 | System Time 1520475002.803041 | Logical Clock 251 
Logging event: Internal | System Time 1520475003.055416 | Logical Clock 252 
