Logging event: Send to Both Machines | System Time 1520474962.6127129 | Logical Clock 1 
Logging event: Internal | System Time 1520474962.7840981 | Logical Clock 2 
Logging event: Internal | System Time 1520474962.956852 | Logical Clock 3 
Logging event: Internal | System Time 1520474963.1296608 | Logical Clock 4 
Logging event: Internal | System Time 1520474963.302152 | Logical Clock 5 
Logging event: Receive | System Time 1520474963.472945 | Logical Clock 6 
Logging event: Receive | System Time 1520474963.639835 | Logical Clock 7 
Logging event: Internal | System Time 1520474963.808927 | Logical Clock 8 
Logging event: Receive | System Time 1520474963.976577 | Logical Clock 9 
Logging event: Send to Machine 0 | System Time 1520474964.144413 | Logical Clock 10 
Logging event: Receive | System Time 1520474964.315982 | Logical Clock 11 
Logging event: Internal | System Time 1520474964.488084 | Logical Clock 12 
Logging event: Internal | System Time 1520474964.6557922 | Logical Clock 13 
Logging event: Internal | System Time 1520474964.828083 | Logical Clock 14 
Logging event: Send to Machine 0 | System Time 1520474965.00035 | Logical Clock 15 
Logging event: Internal | System Time 1520474965.169085 | Logical Clock 16 
Logging event: Receive | System Time 1520474965.336216 | Logical Clock 17 
Logging event: Send to Both Machines | System Time 1520474965.506252 | Logical Clock 18 
Logging event: Internal | System Time 1520474965.6739252 | Logical Clock 19 
Logging event: Send to Machine 0 | System Time 1520474965.844979 | Logical Clock 20 
Logging event: Internal | System Time 1520474966.012316 | Logical Clock 21 
Logging event: Internal | System Time 1520474966.179691 | Logical Clock 22 
Logging event: Internal | System Time 1520474966.346925 | Logical Clock 23 
Logging event: Send to Machine 0 | System Time 1520474966.519317 | Logical Clock 24 
Logging event: Internal | System Time 1520474966.691566 | Logical Clock 25 
Logging event: Send to Machine 1 | System Time 1520474966.862329 | Logical Clock 26 
Logging event: Send to Both Machines | System Time 1520474967.033494 | Logical Clock 27 
Logging event: Send to Machine 1 | System Time 1520474967.2007701 | Logical Clock 28 
Logging event: Internal | System Time 1520474967.369359 | Logical Clock 29 
Logging event: Receive | System Time 1520474967.5375721 | Logical Clock 30 
Logging event: Receive | System Time 1520474967.706145 | Logical Clock 31 
Logging event: Receive | System Time 1520474967.8769112 | Logical Clock 32 
Logging event: Send to Both Machines | System Time 1520474968.046175 | Logical Clock 33 
Logging event: Internal | System Time 1520474968.216299 | Logical Clock 34 
Logging event: Send to Machine 1 | System Time 1520474968.383693 | Logical Clock 35 
Logging event: Internal | System Time 1520474968.550752 | Logical Clock 36 
Logging event: Internal | System Time 1520474968.7211368 | Logical Clock 37 
Logging event: Send to Both Machines | System Time 1520474968.893279 | Logical Clock 38 
Logging event: Internal | System Time 1520474969.0621629 | Logical Clock 39 
Logging event: Receive | System Time 1520474969.2311969 | Logical Clock 41 
Logging event: Internal | System Time 1520474969.3997738 | Logical Clock 42 
Logging event: Receive | System Time 1520474969.5698938 | Logical Clock 43 
Logging event: Receive | System Time 1520474969.737346 | Logical Clock 45 
Logging event: Internal | System Time 1520474969.9052339 | Logical Clock 46 
Logging event: Send to Both Machines | System Time 1520474970.076393 | Logical Clock 47 
Logging event: Send to Machine 1 | System Time 1520474970.2437031 | Logical Clock 48 
Logging event: Internal | System Time 1520474970.410744 | Logical Clock 49 
Logging event: Internal | System Time 1520474970.57921 | Logical Clock 50 
Logging event: Receive | System Time 1520474970.748632 | Logical Clock 51 
Logging event: Send to Both Machines | System Time 1520474970.9198651 | Logical Clock 52 
Logging event: Internal | System Time 1520474971.090622 | Logical Clock 53 
Logging event: Internal | System Time 1520474971.2579389 | Logical Clock 54 
Logging event: Internal | System Time 1520474971.430326 | Logical Clock 55 
Logging event: Internal | System Time 1520474971.6008708 | Logical Clock 56 
Logging event: Receive | System Time 1520474971.768436 | Logical Clock 58 
Logging event: Internal | System Time 1520474971.936304 | Logical Clock 59 
Logging event: Receive | System Time 1520474972.103379 | Logical Clock 60 
Logging event: Receive | System Time 1520474972.272388 | Logical Clock 61 
Logging event: Internal | System Time 1520474972.444725 | Logical Clock 62 
Logging event: Internal | System Time 1520474972.613761 | Logical Clock 63 
Logging event: Internal | System Time 1520474972.781331 | Logical Clock 64 
Logging event: Internal | System Time 1520474972.953589 | Logical Clock 65 
Logging event: Receive | System Time 1520474973.1228049 | Logical Clock 66 
Logging event: Internal | System Time 1520474973.292702 | Logical Clock 67 
Logging event: Receive | System Time 1520474973.460384 | Logical Clock 68 
Logging event: Internal | System Time 1520474973.63043 | Logical Clock 69 
Logging event: Internal | System Time 1520474973.800853 | Logical Clock 70 
Logging event: Send to Machine 0 | System Time 1520474973.973154 | Logical Clock 71 
Logging event: Send to Both Machines | System Time 1520474974.143141 | Logical Clock 72 
Logging event: Internal | System Time 1520474974.311533 | Logical Clock 73 
Logging event: Send to Machine 1 | System Time 1520474974.4796422 | Logical Clock 74 
Logging event: Send to Machine 1 | System Time 1520474974.6508968 | Logical Clock 75 
