Logging event: Internal | System Time 1520474962.6125472 | Logical Clock 1 
Logging event: Receive | System Time 1520474962.812798 | Logical Clock 2 
Logging event: Internal | System Time 1520474963.01827 | Logical Clock 3 
Logging event: Internal | System Time 1520474963.2241678 | Logical Clock 4 
Logging event: Send to Machine 2 | System Time 1520474963.425623 | Logical Clock 5 
Logging event: Send to Machine 2 | System Time 1520474963.629502 | Logical Clock 6 
Logging event: Internal | System Time 1520474963.830115 | Logical Clock 7 
Logging event: Internal | System Time 1520474964.0308201 | Logical Clock 8 
Logging event: Send to Machine 2 | System Time 1520474964.234325 | Logical Clock 9 
Logging event: Internal | System Time 1520474964.43744 | Logical Clock 10 
Logging event: Internal | System Time 1520474964.6390111 | Logical Clock 11 
Logging event: Internal | System Time 1520474964.8448179 | Logical Clock 12 
Logging event: Send to Machine 0 | System Time 1520474965.048748 | Logical Clock 13 
Logging event: Send to Both Machines | System Time 1520474965.2532952 | Logical Clock 14 
Logging event: Internal | System Time 1520474965.456055 | Logical Clock 15 
Logging event: Receive | System Time 1520474965.656561 | Logical Clock 19 
Logging event: Internal | System Time 1520474965.857308 | Logical Clock 20 
Logging event: Internal | System Time 1520474966.059683 | Logical Clock 21 
Logging event: Internal | System Time 1520474966.263551 | Logical Clock 22 
Logging event: Receive | System Time 1520474966.468558 | Logical Clock 23 
Logging event: Internal | System Time 1520474966.674177 | Logical Clock 24 
Logging event: Receive | System Time 1520474966.87981 | Logical Clock 27 
Logging event: Receive | System Time 1520474967.080405 | Logical Clock 28 
Logging event: Receive | System Time 1520474967.280803 | Logical Clock 29 
Logging event: Send to Machine 2 | System Time 1520474967.4829462 | Logical Clock 30 
Logging event: Send to Both Machines | System Time 1520474967.683446 | Logical Clock 31 
Logging event: Internal | System Time 1520474967.887115 | Logical Clock 32 
Logging event: Receive | System Time 1520474968.092473 | Logical Clock 34 
Logging event: Send to Machine 0 | System Time 1520474968.295 | Logical Clock 35 
Logging event: Receive | System Time 1520474968.4995048 | Logical Clock 36 
Logging event: Internal | System Time 1520474968.704962 | Logical Clock 37 
Logging event: Receive | System Time 1520474968.910638 | Logical Clock 39 
Logging event: Send to Both Machines | System Time 1520474969.114926 | Logical Clock 40 
Logging event: Internal | System Time 1520474969.317431 | Logical Clock 41 
Logging event: Receive | System Time 1520474969.52277 | Logical Clock 43 
Logging event: Send to Machine 2 | System Time 1520474969.728045 | Logical Clock 44 
Logging event: Internal | System Time 1520474969.932727 | Logical Clock 45 
Logging event: Receive | System Time 1520474970.13455 | Logical Clock 48 
Logging event: Receive | System Time 1520474970.336899 | Logical Clock 49 
Logging event: Internal | System Time 1520474970.539392 | Logical Clock 50 
Logging event: Receive | System Time 1520474970.7419178 | Logical Clock 51 
Logging event: Receive | System Time 1520474970.9425962 | Logical Clock 53 
Logging event: Internal | System Time 1520474971.147351 | Logical Clock 54 
Logging event: Send to Machine 0 | System Time 1520474971.3485959 | Logical Clock 55 
Logging event: Send to Machine 0 | System Time 1520474971.551871 | Logical Clock 56 
Logging event: Send to Machine 2 | System Time 1520474971.754644 | Logical Clock 57 
Logging event: Send to Machine 2 | System Time 1520474971.958714 | Logical Clock 58 
Logging event: Internal | System Time 1520474972.162955 | Logical Clock 59 
Logging event: Internal | System Time 1520474972.363942 | Logical Clock 60 
Logging event: Internal | System Time 1520474972.569414 | Logical Clock 61 
Logging event: Internal | System Time 1520474972.775006 | Logical Clock 62 
Logging event: Send to Machine 2 | System Time 1520474972.975938 | Logical Clock 63 
Logging event: Internal | System Time 1520474973.1794171 | Logical Clock 64 
Logging event: Send to Machine 2 | System Time 1520474973.381833 | Logical Clock 65 
Logging event: Internal | System Time 1520474973.58554 | Logical Clock 66 
Logging event: Internal | System Time 1520474973.789925 | Logical Clock 67 
Logging event: Internal | System Time 1520474973.992269 | Logical Clock 68 
Logging event: Receive | System Time 1520474974.19784 | Logical Clock 73 
Logging event: Send to Machine 0 | System Time 1520474974.399214 | Logical Clock 74 
Logging event: Receive | System Time 1520474974.602885 | Logical Clock 75 
Logging event: Receive | System Time 1520474974.807532 | Logical Clock 76 
Logging event: Send to Machine 2 | System Time 1520474975.009778 | Logical Clock 77 
Logging event: Send to Both Machines | System Time 1520474975.212328 | Logical Clock 78 
Logging event: Send to Machine 2 | System Time 1520474975.41808 | Logical Clock 79 
Logging event: Internal | System Time 1520474975.6201222 | Logical Clock 80 
Logging event: Internal | System Time 1520474975.825728 | Logical Clock 81 
Logging event: Receive | System Time 1520474976.026199 | Logical Clock 84 
Logging event: Receive | System Time 1520474976.22671 | Logical Clock 85 
Logging event: Receive | System Time 1520474976.4296901 | Logical Clock 86 
Logging event: Internal | System Time 1520474976.6333902 | Logical Clock 87 
Logging event: Receive | System Time 1520474976.833874 | Logical Clock 88 
Logging event: Send to Machine 0 | System Time 1520474977.038545 | Logical Clock 89 
Logging event: Receive | System Time 1520474977.239604 | Logical Clock 92 
Logging event: Receive | System Time 1520474977.440435 | Logical Clock 93 
Logging event: Send to Machine 2 | System Time 1520474977.6425118 | Logical Clock 94 
Logging event: Internal | System Time 1520474977.844359 | Logical Clock 95 
Logging event: Receive | System Time 1520474978.049937 | Logical Clock 97 
Logging event: Send to Machine 0 | System Time 1520474978.250557 | Logical Clock 98 
Logging event: Internal | System Time 1520474978.452821 | Logical Clock 99 
Logging event: Internal | System Time 1520474978.658175 | Logical Clock 100 
Logging event: Internal | System Time 1520474978.858809 | Logical Clock 101 
Logging event: Internal | System Time 1520474979.0642319 | Logical Clock 102 
Logging event: Send to Both Machines | System Time 1520474979.269322 | Logical Clock 103 
Logging event: Send to Machine 0 | System Time 1520474979.4699311 | Logical Clock 104 
Logging event: Receive | System Time 1520474979.675382 | Logical Clock 108 
Logging event: Receive | System Time 1520474979.878411 | Logical Clock 109 
Logging event: Receive | System Time 1520474980.079832 | Logical Clock 110 
Logging event: Receive | System Time 1520474980.2825758 | Logical Clock 111 
Logging event: Receive | System Time 1520474980.485527 | Logical Clock 112 
Logging event: Receive | System Time 1520474980.6874838 | Logical Clock 113 
Logging event: Internal | System Time 1520474980.889745 | Logical Clock 114 
Logging event: Send to Machine 0 | System Time 1520474981.0952609 | Logical Clock 115 
Logging event: Receive | System Time 1520474981.296192 | Logical Clock 118 
Logging event: Internal | System Time 1520474981.496616 | Logical Clock 119 
Logging event: Internal | System Time 1520474981.6997209 | Logical Clock 120 
Logging event: Send to Both Machines | System Time 1520474981.9003441 | Logical Clock 121 
Logging event: Internal | System Time 1520474982.1047392 | Logical Clock 122 
Logging event: Receive | System Time 1520474982.307306 | Logical Clock 124 
Logging event: Receive | System Time 1520474982.511186 | Logical Clock 126 
Logging event: Send to Both Machines | System Time 1520474982.7165692 | Logical Clock 127 
Logging event: Internal | System Time 1520474982.9221299 | Logical Clock 128 
Logging event: Internal | System Time 1520474983.126226 | Logical Clock 129 
Logging event: Receive | System Time 1520474983.3290088 | Logical Clock 131 
Logging event: Internal | System Time 1520474983.5301518 | Logical Clock 132 
Logging event: Send to Machine 0 | System Time 1520474983.735648 | Logical Clock 133 
Logging event: Send to Machine 0 | System Time 1520474983.937888 | Logical Clock 134 
Logging event: Receive | System Time 1520474984.140216 | Logical Clock 136 
Logging event: Send to Both Machines | System Time 1520474984.342576 | Logical Clock 137 
Logging event: Send to Machine 2 | System Time 1520474984.548022 | Logical Clock 138 
Logging event: Internal | System Time 1520474984.7486012 | Logical Clock 139 
Logging event: Send to Machine 0 | System Time 1520474984.954282 | Logical Clock 140 
Logging event: Internal | System Time 1520474985.157742 | Logical Clock 141 
Logging event: Receive | System Time 1520474985.359156 | Logical Clock 143 
Logging event: Internal | System Time 1520474985.55995 | Logical Clock 144 
Logging event: Receive | System Time 1520474985.765583 | Logical Clock 146 
Logging event: Send to Machine 2 | System Time 1520474985.971206 | Logical Clock 147 
Logging event: Receive | System Time 1520474986.177014 | Logical Clock 148 
Logging event: Receive | System Time 1520474986.377423 | Logical Clock 149 
Logging event: Receive | System Time 1520474986.5806131 | Logical Clock 151 
Logging event: Receive | System Time 1520474986.784802 | Logical Clock 152 
Logging event: Internal | System Time 1520474986.988876 | Logical Clock 153 
Logging event: Internal | System Time 1520474987.192859 | Logical Clock 154 
Logging event: Internal | System Time 1520474987.398145 | Logical Clock 155 
Logging event: Receive | System Time 1520474987.604094 | Logical Clock 158 
Logging event: Receive | System Time 1520474987.804827 | Logical Clock 159 
Logging event: Internal | System Time 1520474988.010297 | Logical Clock 160 
Logging event: Internal | System Time 1520474988.21357 | Logical Clock 161 
Logging event: Send to Machine 2 | System Time 1520474988.419171 | Logical Clock 162 
Logging event: Internal | System Time 1520474988.6206982 | Logical Clock 163 
Logging event: Send to Machine 0 | System Time 1520474988.8241868 | Logical Clock 164 
Logging event: Send to Machine 2 | System Time 1520474989.0266829 | Logical Clock 165 
Logging event: Send to Both Machines | System Time 1520474989.228792 | Logical Clock 166 
Logging event: Internal | System Time 1520474989.433742 | Logical Clock 167 
Logging event: Receive | System Time 1520474989.635231 | Logical Clock 171 
Logging event: Send to Machine 2 | System Time 1520474989.836246 | Logical Clock 172 
Logging event: Send to Machine 0 | System Time 1520474990.038643 | Logical Clock 173 
Logging event: Send to Machine 2 | System Time 1520474990.23952 | Logical Clock 174 
Logging event: Internal | System Time 1520474990.4439738 | Logical Clock 175 
Logging event: Internal | System Time 1520474990.64857 | Logical Clock 176 
Logging event: Internal | System Time 1520474990.8490539 | Logical Clock 177 
Logging event: Receive | System Time 1520474991.054623 | Logical Clock 180 
Logging event: Receive | System Time 1520474991.258522 | Logical Clock 181 
Logging event: Send to Both Machines | System Time 1520474991.459608 | Logical Clock 182 
Logging event: Internal | System Time 1520474991.660245 | Logical Clock 183 
Logging event: Send to Machine 0 | System Time 1520474991.862939 | Logical Clock 184 
Logging event: Internal | System Time 1520474992.068161 | Logical Clock 185 
Logging event: Internal | System Time 1520474992.26863 | Logical Clock 186 
Logging event: Receive | System Time 1520474992.469354 | Logical Clock 188 
Logging event: Receive | System Time 1520474992.671086 | Logical Clock 190 
Logging event: Receive | System Time 1520474992.873479 | Logical Clock 191 
Logging event: Receive | System Time 1520474993.07493 | Logical Clock 192 
Logging event: Receive | System Time 1520474993.276719 | Logical Clock 193 
Logging event: Receive | System Time 1520474993.4787898 | Logical Clock 194 
Logging event: Receive | System Time 1520474993.68352 | Logical Clock 195 
Logging event: Receive | System Time 1520474993.889172 | Logical Clock 196 
Logging event: Receive | System Time 1520474994.0941892 | Logical Clock 198 
Logging event: Internal | System Time 1520474994.2989922 | Logical Clock 199 
Logging event: Internal | System Time 1520474994.5016708 | Logical Clock 200 
Logging event: Receive | System Time 1520474994.705462 | Logical Clock 202 
Logging event: Internal | System Time 1520474994.910273 | Logical Clock 203 
Logging event: Send to Machine 2 | System Time 1520474995.115639 | Logical Clock 204 
Logging event: Send to Both Machines | System Time 1520474995.317137 | Logical Clock 205 
Logging event: Internal | System Time 1520474995.517689 | Logical Clock 206 
Logging event: Receive | System Time 1520474995.719269 | Logical Clock 209 
Logging event: Internal | System Time 1520474995.920375 | Logical Clock 210 
Logging event: Internal | System Time 1520474996.125918 | Logical Clock 211 
Logging event: Receive | System Time 1520474996.328094 | Logical Clock 212 
Logging event: Receive | System Time 1520474996.533559 | Logical Clock 214 
Logging event: Receive | System Time 1520474996.734095 | Logical Clock 215 
Logging event: Receive | System Time 1520474996.9387012 | Logical Clock 216 
Logging event: Receive | System Time 1520474997.139219 | Logical Clock 217 
Logging event: Send to Both Machines | System Time 1520474997.34291 | Logical Clock 218 
Logging event: Internal | System Time 1520474997.543423 | Logical Clock 219 
Logging event: Receive | System Time 1520474997.744224 | Logical Clock 222 
Logging event: Receive | System Time 1520474997.94504 | Logical Clock 223 
Logging event: Receive | System Time 1520474998.145579 | Logical Clock 224 
Logging event: Send to Machine 0 | System Time 1520474998.349973 | Logical Clock 225 
Logging event: Receive | System Time 1520474998.5505211 | Logical Clock 226 
Logging event: Internal | System Time 1520474998.752704 | Logical Clock 227 
Logging event: Send to Both Machines | System Time 1520474998.953572 | Logical Clock 228 
Logging event: Internal | System Time 1520474999.157784 | Logical Clock 229 
Logging event: Send to Machine 2 | System Time 1520474999.360393 | Logical Clock 230 
Logging event: Internal | System Time 1520474999.562696 | Logical Clock 231 
Logging event: Send to Machine 2 | System Time 1520474999.7657201 | Logical Clock 232 
Logging event: Send to Machine 2 | System Time 1520474999.966538 | Logical Clock 233 
Logging event: Receive | System Time 1520475000.170155 | Logical Clock 236 
Logging event: Internal | System Time 1520475000.370892 | Logical Clock 237 
Logging event: Send to Both Machines | System Time 1520475000.5726569 | Logical Clock 238 
Logging event: Internal | System Time 1520475000.778058 | Logical Clock 239 
Logging event: Receive | System Time 1520475000.981249 | Logical Clock 242 
Logging event: Send to Machine 2 | System Time 1520475001.183574 | Logical Clock 243 
Logging event: Send to Machine 2 | System Time 1520475001.384794 | Logical Clock 244 
Logging event: Receive | System Time 1520475001.5885508 | Logical Clock 245 
Logging event: Send to Both Machines | System Time 1520475001.793601 | Logical Clock 246 
Logging event: Send to Machine 2 | System Time 1520475001.997407 | Logical Clock 247 
Logging event: Send to Machine 0 | System Time 1520475002.200927 | Logical Clock 248 
Logging event: Internal | System Time 1520475002.4056478 | Logical Clock 249 
Logging event: Send to Machine 2 | System Time 1520475002.611605 | Logical Clock 250 
Logging event: Internal | System Time 1520475002.817209 | Logical Clock 251 
Logging event: Internal | System Time 1520475003.020639 | Logical Clock 252 
Logging event: Send to Machine 2 | System Time 1520475003.226593 | Logical Clock 253 
Logging event: Send to Machine 0 | System Time 1520475003.427073 | Logical Clock 254 
Logging event: Internal | System Time 1520475003.6301792 | Logical Clock 255 
Logging event: Receive | System Time 1520475003.8314948 | Logical Clock 257 
Logging event: Receive | System Time 1520475004.0325 | Logical Clock 260 
Logging event: Send to Both Machines | System Time 1520475004.233212 | Logical Clock 261 
Logging event: Send to Both Machines | System Time 1520475004.438112 | Logical Clock 262 
Logging event: Send to Both Machines | System Time 1520475004.640198 | Logical Clock 263 
Logging event: Internal | System Time 1520475004.841894 | Logical Clock 264 
Logging event: Send to Both Machines | System Time 1520475005.0461318 | Logical Clock 265 
