Logging event: Receive | System Time 1520475322.6531048 | Logical Clock 2 
Logging event: Internal | System Time 1520475322.756036 | Logical Clock 3 
Logging event: Send to Machine 1 | System Time 1520475322.858659 | Logical Clock 4 
Logging event: Internal | System Time 1520475322.960607 | Logical Clock 5 
Logging event: Internal | System Time 1520475323.0626838 | Logical Clock 6 
Logging event: Send to Machine 0 | System Time 1520475323.1668851 | Logical Clock 7 
Logging event: Internal | System Time 1520475323.268639 | Logical Clock 8 
Logging event: Internal | System Time 1520475323.369843 | Logical Clock 9 
Logging event: Send to Machine 0 | System Time 1520475323.470858 | Logical Clock 10 
Logging event: Internal | System Time 1520475323.574363 | Logical Clock 11 
Logging event: Send to Machine 1 | System Time 1520475323.675519 | Logical Clock 12 
Logging event: Internal | System Time 1520475323.7761889 | Logical Clock 13 
Logging event: Internal | System Time 1520475323.8769789 | Logical Clock 14 
Logging event: Internal | System Time 1520475323.978205 | Logical Clock 15 
Logging event: Internal | System Time 1520475324.079456 | Logical Clock 16 
Logging event: Internal | System Time 1520475324.184788 | Logical Clock 17 
Logging event: Receive | System Time 1520475324.2858 | Logical Clock 18 
Logging event: Send to Both Machines | System Time 1520475324.3860328 | Logical Clock 19 
Logging event: Send to Both Machines | System Time 1520475324.48671 | Logical Clock 20 
Logging event: Send to Machine 1 | System Time 1520475324.587845 | Logical Clock 21 
Logging event: Internal | System Time 1520475324.691589 | Logical Clock 22 
Logging event: Internal | System Time 1520475324.7965639 | Logical Clock 23 
Logging event: Internal | System Time 1520475324.897964 | Logical Clock 24 
Logging event: Internal | System Time 1520475324.999533 | Logical Clock 25 
Logging event: Receive | System Time 1520475325.103002 | Logical Clock 26 
Logging event: Send to Machine 1 | System Time 1520475325.2044601 | Logical Clock 27 
Logging event: Internal | System Time 1520475325.308039 | Logical Clock 28 
Logging event: Send to Machine 0 | System Time 1520475325.408542 | Logical Clock 29 
Logging event: Send to Machine 1 | System Time 1520475325.513209 | Logical Clock 30 
Logging event: Internal | System Time 1520475325.613622 | Logical Clock 31 
Logging event: Internal | System Time 1520475325.7169652 | Logical Clock 32 
Logging event: Internal | System Time 1520475325.81728 | Logical Clock 33 
Logging event: Send to Both Machines | System Time 1520475325.917577 | Logical Clock 34 
Logging event: Send to Machine 0 | System Time 1520475326.018027 | Logical Clock 35 
Logging event: Send to Both Machines | System Time 1520475326.119505 | Logical Clock 36 
Logging event: Internal | System Time 1520475326.2198029 | Logical Clock 37 
Logging event: Send to Machine 0 | System Time 1520475326.3210502 | Logical Clock 38 
Logging event: Send to Machine 0 | System Time 1520475326.425546 | Logical Clock 39 
Logging event: Internal | System Time 1520475326.526725 | Logical Clock 40 
Logging event: Internal | System Time 1520475326.629555 | Logical Clock 41 
Logging event: Receive | System Time 1520475326.7348921 | Logical Clock 42 
Logging event: Send to Machine 1 | System Time 1520475326.84045 | Logical Clock 43 
Logging event: Internal | System Time 1520475326.94461 | Logical Clock 44 
Logging event: Internal | System Time 1520475327.0497391 | Logical Clock 45 
Logging event: Receive | System Time 1520475327.1537862 | Logical Clock 46 
Logging event: Send to Machine 0 | System Time 1520475327.2570171 | Logical Clock 47 
Logging event: Internal | System Time 1520475327.357457 | Logical Clock 48 
Logging event: Internal | System Time 1520475327.458463 | Logical Clock 49 
Logging event: Receive | System Time 1520475327.5596778 | Logical Clock 50 
Logging event: Internal | System Time 1520475327.660886 | Logical Clock 51 
Logging event: Receive | System Time 1520475327.762754 | Logical Clock 52 
Logging event: Send to Machine 1 | System Time 1520475327.863261 | Logical Clock 53 
Logging event: Internal | System Time 1520475327.965143 | Logical Clock 54 
Logging event: Send to Machine 0 | System Time 1520475328.068853 | Logical Clock 55 
Logging event: Internal | System Time 1520475328.1702242 | Logical Clock 56 
Logging event: Internal | System Time 1520475328.275455 | Logical Clock 57 
Logging event: Send to Machine 0 | System Time 1520475328.380585 | Logical Clock 58 
Logging event: Send to Machine 1 | System Time 1520475328.483047 | Logical Clock 59 
Logging event: Internal | System Time 1520475328.5848162 | Logical Clock 60 
Logging event: Internal | System Time 1520475328.688729 | Logical Clock 61 
Logging event: Receive | System Time 1520475328.790009 | Logical Clock 62 
Logging event: Internal | System Time 1520475328.890928 | Logical Clock 63 
Logging event: Receive | System Time 1520475328.996118 | Logical Clock 64 
