Logging event: Internal | System Time 1520479814.64 | Logical Clock 1 
Logging event: Receive | System Time 1520479814.84 | Logical Clock 2 
Logging event: Send to Both Machines | System Time 1520479815.04 | Logical Clock 3 
Logging event: Send to Both Machines | System Time 1520479815.25 | Logical Clock 4 
Logging event: Send to Both Machines | System Time 1520479815.45 | Logical Clock 5 
Logging event: Receive | System Time 1520479815.66 | Logical Clock 7 
Logging event: Internal | System Time 1520479815.86 | Logical Clock 8 
Logging event: Internal | System Time 1520479816.06 | Logical Clock 9 
Logging event: Receive | System Time 1520479816.27 | Logical Clock 10 
Logging event: Receive | System Time 1520479816.47 | Logical Clock 11 
Logging event: Receive | System Time 1520479816.67 | Logical Clock 12 
Logging event: Internal | System Time 1520479816.87 | Logical Clock 13 
Logging event: Receive | System Time 1520479817.08 | Logical Clock 15 
Logging event: Internal | System Time 1520479817.28 | Logical Clock 16 
Logging event: Receive | System Time 1520479817.48 | Logical Clock 17 
Logging event: Receive | System Time 1520479817.69 | Logical Clock 18 
Logging event: Receive | System Time 1520479817.9 | Logical Clock 19 
Logging event: Internal | System Time 1520479818.1 | Logical Clock 20 
Logging event: Receive | System Time 1520479818.31 | Logical Clock 22 
Logging event: Internal | System Time 1520479818.51 | Logical Clock 23 
Logging event: Send to Both Machines | System Time 1520479818.71 | Logical Clock 24 
Logging event: Internal | System Time 1520479818.92 | Logical Clock 25 
Logging event: Receive | System Time 1520479819.12 | Logical Clock 27 
Logging event: Send to Both Machines | System Time 1520479819.33 | Logical Clock 28 
Logging event: Internal | System Time 1520479819.53 | Logical Clock 29 
Logging event: Receive | System Time 1520479819.74 | Logical Clock 30 
Logging event: Internal | System Time 1520479819.94 | Logical Clock 31 
Logging event: Send to Machine 2 | System Time 1520479820.15 | Logical Clock 32 
Logging event: Receive | System Time 1520479820.35 | Logical Clock 33 
Logging event: Internal | System Time 1520479820.55 | Logical Clock 34 
Logging event: Receive | System Time 1520479820.76 | Logical Clock 35 
Logging event: Send to Machine 0 | System Time 1520479820.97 | Logical Clock 36 
Logging event: Receive | System Time 1520479821.17 | Logical Clock 39 
Logging event: Receive | System Time 1520479821.37 | Logical Clock 40 
Logging event: Internal | System Time 1520479821.57 | Logical Clock 41 
Logging event: Receive | System Time 1520479821.78 | Logical Clock 42 
Logging event: Internal | System Time 1520479821.99 | Logical Clock 43 
Logging event: Receive | System Time 1520479822.19 | Logical Clock 44 
Logging event: Internal | System Time 1520479822.39 | Logical Clock 45 
Logging event: Receive | System Time 1520479822.6 | Logical Clock 47 
Logging event: Receive | System Time 1520479822.8 | Logical Clock 48 
