Logging event: Send to Machine 2 | System Time 1520061756.85 | Logical Clock 111 
Logging event: Send to Both Machines | System Time 1520061757.05 | Logical Clock 112 
Logging event: Internal | System Time 1520061757.25 | Logical Clock 113 
Logging event: Internal | System Time 1520061757.46 | Logical Clock 114 
Logging event: Send to Machine 2 | System Time 1520061757.66 | Logical Clock 115 
Logging event: Internal | System Time 1520061757.86 | Logical Clock 116 
Logging event: Send to Machine 2 | System Time 1520061758.06 | Logical Clock 117 
Logging event: Receive | System Time 1520061758.26 | Logical Clock 119 
Logging event: Receive | System Time 1520061758.47 | Logical Clock 120 
Logging event: Receive | System Time 1520061758.67 | Logical Clock 121 
Logging event: Send to Both Machines | System Time 1520061758.87 | Logical Clock 122 
Logging event: Internal | System Time 1520061759.08 | Logical Clock 123 
Logging event: Internal | System Time 1520061759.28 | Logical Clock 124 
Logging event: Receive | System Time 1520061759.48 | Logical Clock 126 
Logging event: Receive | System Time 1520061759.68 | Logical Clock 127 
Logging event: Send to Both Machines | System Time 1520061759.89 | Logical Clock 128 
Logging event: Send to Both Machines | System Time 1520061760.09 | Logical Clock 129 
Logging event: Send to Machine 2 | System Time 1520061760.3 | Logical Clock 130 
Logging event: Receive | System Time 1520061760.5 | Logical Clock 132 
Logging event: Send to Machine 2 | System Time 1520061760.7 | Logical Clock 133 
Logging event: Send to Both Machines | System Time 1520061760.91 | Logical Clock 134 
Logging event: Internal | System Time 1520061761.11 | Logical Clock 135 
Logging event: Internal | System Time 1520061761.31 | Logical Clock 136 
Logging event: Receive | System Time 1520061761.52 | Logical Clock 138 
Logging event: Receive | System Time 1520061761.72 | Logical Clock 139 
Logging event: Receive | System Time 1520061761.92 | Logical Clock 140 
Logging event: Receive | System Time 1520061762.12 | Logical Clock 141 
Logging event: Internal | System Time 1520061762.33 | Logical Clock 142 
Logging event: Internal | System Time 1520061762.53 | Logical Clock 143 
Logging event: Internal | System Time 1520061762.73 | Logical Clock 144 
Logging event: Receive | System Time 1520061762.94 | Logical Clock 145 
Logging event: Internal | System Time 1520061763.14 | Logical Clock 146 
Logging event: Send to Both Machines | System Time 1520061763.35 | Logical Clock 147 
Logging event: Send to Machine 2 | System Time 1520061763.55 | Logical Clock 148 
Logging event: Receive | System Time 1520061763.76 | Logical Clock 150 
Logging event: Send to Machine 2 | System Time 1520061763.96 | Logical Clock 151 
Logging event: Receive | System Time 1520061764.16 | Logical Clock 152 
Logging event: Receive | System Time 1520061764.37 | Logical Clock 153 
Logging event: Internal | System Time 1520061764.57 | Logical Clock 154 
Logging event: Send to Machine 1 | System Time 1520061764.78 | Logical Clock 155 
Logging event: Send to Both Machines | System Time 1520061764.98 | Logical Clock 156 
Logging event: Send to Machine 2 | System Time 1520061765.18 | Logical Clock 157 
Logging event: Receive | System Time 1520061765.38 | Logical Clock 159 
Logging event: Receive | System Time 1520061765.59 | Logical Clock 160 
Logging event: Internal | System Time 1520061765.79 | Logical Clock 161 
Logging event: Send to Machine 2 | System Time 1520061765.99 | Logical Clock 162 
Logging event: Internal | System Time 1520061766.2 | Logical Clock 163 
Logging event: Internal | System Time 1520061766.4 | Logical Clock 164 
Logging event: Receive | System Time 1520061766.6 | Logical Clock 165 
Logging event: Receive | System Time 1520061766.81 | Logical Clock 166 
Logging event: Send to Machine 2 | System Time 1520061767.01 | Logical Clock 167 
Logging event: Internal | System Time 1520061767.21 | Logical Clock 168 
Logging event: Send to Machine 2 | System Time 1520061767.42 | Logical Clock 169 
Logging event: Send to Machine 1 | System Time 1520061767.62 | Logical Clock 170 
Logging event: Internal | System Time 1520061767.82 | Logical Clock 171 
Logging event: Internal | System Time 1520061768.02 | Logical Clock 172 
Logging event: Send to Machine 1 | System Time 1520061768.23 | Logical Clock 173 
Logging event: Internal | System Time 1520061768.43 | Logical Clock 174 
Logging event: Receive | System Time 1520061768.63 | Logical Clock 176 
Logging event: Send to Both Machines | System Time 1520061768.83 | Logical Clock 177 
Logging event: Send to Both Machines | System Time 1520061769.04 | Logical Clock 178 
Logging event: Send to Machine 2 | System Time 1520061769.24 | Logical Clock 179 
Logging event: Send to Machine 2 | System Time 1520061769.44 | Logical Clock 180 
Logging event: Send to Machine 1 | System Time 1520061769.65 | Logical Clock 181 
Logging event: Internal | System Time 1520061769.85 | Logical Clock 182 
Logging event: Send to Machine 2 | System Time 1520061770.05 | Logical Clock 183 
Logging event: Send to Machine 1 | System Time 1520061770.26 | Logical Clock 184 
Logging event: Send to Machine 2 | System Time 1520061770.46 | Logical Clock 185 
Logging event: Send to Machine 1 | System Time 1520061770.66 | Logical Clock 186 
Logging event: Send to Both Machines | System Time 1520061770.86 | Logical Clock 187 
Logging event: Internal | System Time 1520061771.07 | Logical Clock 188 
Logging event: Internal | System Time 1520061771.27 | Logical Clock 189 
Logging event: Send to Both Machines | System Time 1520061771.48 | Logical Clock 190 
Logging event: Internal | System Time 1520061771.68 | Logical Clock 191 
Logging event: Internal | System Time 1520061771.89 | Logical Clock 192 
Logging event: Receive | System Time 1520061772.09 | Logical Clock 194 
Logging event: Receive | System Time 1520061772.29 | Logical Clock 195 
Logging event: Receive | System Time 1520061772.5 | Logical Clock 196 
Logging event: Internal | System Time 1520061772.7 | Logical Clock 197 
Logging event: Send to Machine 2 | System Time 1520061772.91 | Logical Clock 198 
Logging event: Internal | System Time 1520061773.11 | Logical Clock 199 
Logging event: Internal | System Time 1520061773.31 | Logical Clock 200 
Logging event: Send to Machine 2 | System Time 1520061773.52 | Logical Clock 201 
Logging event: Internal | System Time 1520061773.72 | Logical Clock 202 
Logging event: Internal | System Time 1520061773.92 | Logical Clock 203 
Logging event: Internal | System Time 1520061774.13 | Logical Clock 204 
Logging event: Receive | System Time 1520061774.33 | Logical Clock 205 
Logging event: Internal | System Time 1520061774.53 | Logical Clock 206 
Logging event: Send to Machine 1 | System Time 1520061774.74 | Logical Clock 207 
Logging event: Internal | System Time 1520061774.94 | Logical Clock 208 
Logging event: Receive | System Time 1520061775.14 | Logical Clock 210 
Logging event: Receive | System Time 1520061775.35 | Logical Clock 211 
Logging event: Send to Machine 1 | System Time 1520061775.55 | Logical Clock 212 
Logging event: Internal | System Time 1520061775.76 | Logical Clock 213 
Logging event: Send to Machine 1 | System Time 1520061775.96 | Logical Clock 214 
Logging event: Send to Both Machines | System Time 1520061776.16 | Logical Clock 215 
Logging event: Internal | System Time 1520061776.37 | Logical Clock 216 
Logging event: Send to Machine 1 | System Time 1520061776.57 | Logical Clock 217 
Logging event: Send to Both Machines | System Time 1520061776.77 | Logical Clock 218 
Logging event: Internal | System Time 1520061776.98 | Logical Clock 219 
Logging event: Receive | System Time 1520061777.18 | Logical Clock 221 
Logging event: Send to Machine 2 | System Time 1520061777.38 | Logical Clock 222 
Logging event: Internal | System Time 1520061777.59 | Logical Clock 223 
Logging event: Receive | System Time 1520061777.79 | Logical Clock 224 
Logging event: Internal | System Time 1520061777.99 | Logical Clock 225 
Logging event: Send to Machine 1 | System Time 1520061778.19 | Logical Clock 226 
Logging event: Send to Machine 1 | System Time 1520061778.4 | Logical Clock 227 
Logging event: Internal | System Time 1520061778.6 | Logical Clock 228 
Logging event: Internal | System Time 1520061778.81 | Logical Clock 229 
Logging event: Receive | System Time 1520061779.01 | Logical Clock 231 
Logging event: Send to Both Machines | System Time 1520061779.21 | Logical Clock 232 
Logging event: Send to Machine 1 | System Time 1520061779.41 | Logical Clock 233 
Logging event: Internal | System Time 1520061779.62 | Logical Clock 234 
Logging event: Receive | System Time 1520061779.82 | Logical Clock 236 
Logging event: Send to Machine 1 | System Time 1520061780.03 | Logical Clock 237 
Logging event: Send to Both Machines | System Time 1520061780.23 | Logical Clock 238 
Logging event: Internal | System Time 1520061780.43 | Logical Clock 239 
Logging event: Receive | System Time 1520061780.64 | Logical Clock 241 
Logging event: Send to Machine 1 | System Time 1520061780.84 | Logical Clock 242 
