Logging event: Internal | System Time 1520061756.79 | Logical Clock 111 
Logging event: Send to Machine 2 | System Time 1520061756.99 | Logical Clock 112 
Logging event: Receive | System Time 1520061757.19 | Logical Clock 113 
Logging event: Send to Machine 2 | System Time 1520061757.4 | Logical Clock 114 
Logging event: Send to Machine 2 | System Time 1520061757.6 | Logical Clock 115 
Logging event: Send to Machine 2 | System Time 1520061757.81 | Logical Clock 116 
Logging event: Send to Machine 2 | System Time 1520061758.01 | Logical Clock 117 
Logging event: Send to Both Machines | System Time 1520061758.22 | Logical Clock 118 
Logging event: Send to Both Machines | System Time 1520061758.42 | Logical Clock 119 
Logging event: Send to Machine 0 | System Time 1520061758.62 | Logical Clock 120 
Logging event: Internal | System Time 1520061758.83 | Logical Clock 121 
Logging event: Receive | System Time 1520061759.03 | Logical Clock 123 
Logging event: Internal | System Time 1520061759.24 | Logical Clock 124 
Logging event: Send to Machine 0 | System Time 1520061759.44 | Logical Clock 125 
Logging event: Send to Both Machines | System Time 1520061759.64 | Logical Clock 126 
Logging event: Internal | System Time 1520061759.84 | Logical Clock 127 
Logging event: Receive | System Time 1520061760.05 | Logical Clock 129 
Logging event: Receive | System Time 1520061760.25 | Logical Clock 130 
Logging event: Send to Machine 0 | System Time 1520061760.45 | Logical Clock 131 
Logging event: Internal | System Time 1520061760.65 | Logical Clock 132 
Logging event: Internal | System Time 1520061760.86 | Logical Clock 133 
Logging event: Receive | System Time 1520061761.06 | Logical Clock 135 
Logging event: Send to Machine 2 | System Time 1520061761.26 | Logical Clock 136 
Logging event: Send to Both Machines | System Time 1520061761.47 | Logical Clock 137 
Logging event: Send to Machine 0 | System Time 1520061761.67 | Logical Clock 138 
Logging event: Send to Both Machines | System Time 1520061761.87 | Logical Clock 139 
Logging event: Send to Both Machines | System Time 1520061762.08 | Logical Clock 140 
Logging event: Send to Machine 2 | System Time 1520061762.28 | Logical Clock 141 
Logging event: Send to Machine 2 | System Time 1520061762.48 | Logical Clock 142 
Logging event: Internal | System Time 1520061762.69 | Logical Clock 143 
Logging event: Send to Both Machines | System Time 1520061762.89 | Logical Clock 144 
Logging event: Internal | System Time 1520061763.1 | Logical Clock 145 
Logging event: Internal | System Time 1520061763.3 | Logical Clock 146 
Logging event: Receive | System Time 1520061763.5 | Logical Clock 148 
Logging event: Send to Machine 0 | System Time 1520061763.71 | Logical Clock 149 
Logging event: Internal | System Time 1520061763.91 | Logical Clock 150 
Logging event: Send to Both Machines | System Time 1520061764.12 | Logical Clock 151 
Logging event: Send to Machine 0 | System Time 1520061764.32 | Logical Clock 152 
Logging event: Internal | System Time 1520061764.52 | Logical Clock 153 
Logging event: Internal | System Time 1520061764.73 | Logical Clock 154 
Logging event: Receive | System Time 1520061764.93 | Logical Clock 156 
Logging event: Receive | System Time 1520061765.13 | Logical Clock 157 
Logging event: Send to Both Machines | System Time 1520061765.34 | Logical Clock 158 
Logging event: Send to Machine 0 | System Time 1520061765.54 | Logical Clock 159 
Logging event: Internal | System Time 1520061765.74 | Logical Clock 160 
Logging event: Internal | System Time 1520061765.95 | Logical Clock 161 
Logging event: Send to Machine 2 | System Time 1520061766.15 | Logical Clock 162 
Logging event: Internal | System Time 1520061766.36 | Logical Clock 163 
Logging event: Send to Both Machines | System Time 1520061766.56 | Logical Clock 164 
Logging event: Send to Both Machines | System Time 1520061766.76 | Logical Clock 165 
Logging event: Send to Machine 2 | System Time 1520061766.97 | Logical Clock 166 
Logging event: Internal | System Time 1520061767.17 | Logical Clock 167 
Logging event: Send to Machine 2 | System Time 1520061767.37 | Logical Clock 168 
Logging event: Internal | System Time 1520061767.57 | Logical Clock 169 
Logging event: Receive | System Time 1520061767.78 | Logical Clock 171 
Logging event: Internal | System Time 1520061767.98 | Logical Clock 172 
Logging event: Internal | System Time 1520061768.18 | Logical Clock 173 
Logging event: Receive | System Time 1520061768.39 | Logical Clock 174 
Logging event: Send to Machine 0 | System Time 1520061768.59 | Logical Clock 175 
Logging event: Internal | System Time 1520061768.79 | Logical Clock 176 
Logging event: Receive | System Time 1520061769.0 | Logical Clock 178 
Logging event: Receive | System Time 1520061769.2 | Logical Clock 179 
Logging event: Internal | System Time 1520061769.4 | Logical Clock 180 
Logging event: Send to Machine 2 | System Time 1520061769.61 | Logical Clock 181 
Logging event: Receive | System Time 1520061769.81 | Logical Clock 182 
Logging event: Internal | System Time 1520061770.02 | Logical Clock 183 
Logging event: Internal | System Time 1520061770.22 | Logical Clock 184 
Logging event: Receive | System Time 1520061770.42 | Logical Clock 185 
Logging event: Internal | System Time 1520061770.63 | Logical Clock 186 
Logging event: Receive | System Time 1520061770.83 | Logical Clock 187 
Logging event: Receive | System Time 1520061771.03 | Logical Clock 188 
Logging event: Internal | System Time 1520061771.24 | Logical Clock 189 
Logging event: Internal | System Time 1520061771.44 | Logical Clock 190 
Logging event: Receive | System Time 1520061771.64 | Logical Clock 191 
Logging event: Internal | System Time 1520061771.85 | Logical Clock 192 
Logging event: Send to Machine 0 | System Time 1520061772.05 | Logical Clock 193 
Logging event: Send to Both Machines | System Time 1520061772.25 | Logical Clock 194 
Logging event: Send to Machine 0 | System Time 1520061772.45 | Logical Clock 195 
Logging event: Internal | System Time 1520061772.66 | Logical Clock 196 
Logging event: Send to Machine 2 | System Time 1520061772.86 | Logical Clock 197 
Logging event: Internal | System Time 1520061773.07 | Logical Clock 198 
Logging event: Internal | System Time 1520061773.27 | Logical Clock 199 
Logging event: Internal | System Time 1520061773.47 | Logical Clock 200 
Logging event: Internal | System Time 1520061773.68 | Logical Clock 201 
Logging event: Send to Machine 2 | System Time 1520061773.88 | Logical Clock 202 
Logging event: Internal | System Time 1520061774.08 | Logical Clock 203 
Logging event: Send to Both Machines | System Time 1520061774.29 | Logical Clock 204 
Logging event: Internal | System Time 1520061774.49 | Logical Clock 205 
Logging event: Internal | System Time 1520061774.69 | Logical Clock 206 
Logging event: Receive | System Time 1520061774.9 | Logical Clock 208 
Logging event: Send to Both Machines | System Time 1520061775.1 | Logical Clock 209 
Logging event: Send to Machine 0 | System Time 1520061775.31 | Logical Clock 210 
Logging event: Internal | System Time 1520061775.51 | Logical Clock 211 
Logging event: Receive | System Time 1520061775.71 | Logical Clock 213 
Logging event: Send to Machine 2 | System Time 1520061775.92 | Logical Clock 214 
Logging event: Receive | System Time 1520061776.12 | Logical Clock 215 
Logging event: Receive | System Time 1520061776.33 | Logical Clock 216 
Logging event: Internal | System Time 1520061776.53 | Logical Clock 217 
Logging event: Receive | System Time 1520061776.73 | Logical Clock 218 
Logging event: Receive | System Time 1520061776.93 | Logical Clock 219 
Logging event: Send to Both Machines | System Time 1520061777.14 | Logical Clock 220 
Logging event: Internal | System Time 1520061777.34 | Logical Clock 221 
Logging event: Internal | System Time 1520061777.55 | Logical Clock 222 
Logging event: Send to Both Machines | System Time 1520061777.75 | Logical Clock 223 
Logging event: Internal | System Time 1520061777.95 | Logical Clock 224 
Logging event: Internal | System Time 1520061778.16 | Logical Clock 225 
Logging event: Receive | System Time 1520061778.36 | Logical Clock 227 
Logging event: Receive | System Time 1520061778.56 | Logical Clock 228 
Logging event: Internal | System Time 1520061778.77 | Logical Clock 229 
Logging event: Send to Both Machines | System Time 1520061778.97 | Logical Clock 230 
Logging event: Internal | System Time 1520061779.17 | Logical Clock 231 
Logging event: Receive | System Time 1520061779.37 | Logical Clock 233 
Logging event: Receive | System Time 1520061779.58 | Logical Clock 234 
Logging event: Send to Both Machines | System Time 1520061779.78 | Logical Clock 235 
Logging event: Internal | System Time 1520061779.98 | Logical Clock 236 
Logging event: Receive | System Time 1520061780.18 | Logical Clock 238 
Logging event: Receive | System Time 1520061780.39 | Logical Clock 239 
Logging event: Send to Machine 0 | System Time 1520061780.59 | Logical Clock 240 
