Logging event: Internal | System Time 1520475262.644665 | Logical Clock 1 
Logging event: Receive | System Time 1520475263.146345 | Logical Clock 2 
Logging event: Receive | System Time 1520475263.6468742 | Logical Clock 3 
Logging event: Receive | System Time 1520475264.151285 | Logical Clock 6 
Logging event: Receive | System Time 1520475264.653253 | Logical Clock 10 
Logging event: Receive | System Time 1520475265.155396 | Logical Clock 13 
Logging event: Receive | System Time 1520475265.6592581 | Logical Clock 14 
Logging event: Receive | System Time 1520475266.1637619 | Logical Clock 16 
Logging event: Receive | System Time 1520475266.66714 | Logical Clock 17 
Logging event: Receive | System Time 1520475267.171037 | Logical Clock 18 
Logging event: Receive | System Time 1520475267.67233 | Logical Clock 19 
Logging event: Receive | System Time 1520475268.177814 | Logical Clock 20 
Logging event: Receive | System Time 1520475268.6826591 | Logical Clock 21 
Logging event: Receive | System Time 1520475269.183415 | Logical Clock 22 
Logging event: Receive | System Time 1520475269.683819 | Logical Clock 24 
Logging event: Receive | System Time 1520475270.187732 | Logical Clock 28 
Logging event: Receive | System Time 1520475270.689939 | Logical Clock 29 
Logging event: Receive | System Time 1520475271.1932008 | Logical Clock 33 
Logging event: Receive | System Time 1520475271.696403 | Logical Clock 36 
Logging event: Receive | System Time 1520475272.197113 | Logical Clock 38 
Logging event: Receive | System Time 1520475272.702367 | Logical Clock 40 
Logging event: Receive | System Time 1520475273.206723 | Logical Clock 42 
Logging event: Receive | System Time 1520475273.708083 | Logical Clock 43 
Logging event: Receive | System Time 1520475274.2114098 | Logical Clock 45 
Logging event: Receive | System Time 1520475274.714311 | Logical Clock 46 
Logging event: Receive | System Time 1520475275.218463 | Logical Clock 47 
Logging event: Receive | System Time 1520475275.720115 | Logical Clock 48 
Logging event: Receive | System Time 1520475276.222922 | Logical Clock 50 
Logging event: Receive | System Time 1520475276.7277288 | Logical Clock 53 
Logging event: Receive | System Time 1520475277.232332 | Logical Clock 54 
Logging event: Receive | System Time 1520475277.736344 | Logical Clock 56 
Logging event: Receive | System Time 1520475278.240364 | Logical Clock 58 
Logging event: Receive | System Time 1520475278.7458649 | Logical Clock 59 
Logging event: Receive | System Time 1520475279.251171 | Logical Clock 60 
Logging event: Receive | System Time 1520475279.754944 | Logical Clock 62 
Logging event: Receive | System Time 1520475280.256524 | Logical Clock 64 
Logging event: Receive | System Time 1520475280.759764 | Logical Clock 65 
Logging event: Receive | System Time 1520475281.264456 | Logical Clock 67 
Logging event: Receive | System Time 1520475281.770993 | Logical Clock 68 
Logging event: Receive | System Time 1520475282.271443 | Logical Clock 70 
Logging event: Receive | System Time 1520475282.7767 | Logical Clock 72 
Logging event: Receive | System Time 1520475283.2818491 | Logical Clock 73 
Logging event: Receive | System Time 1520475283.787827 | Logical Clock 74 
Logging event: Receive | System Time 1520475284.290293 | Logical Clock 75 
Logging event: Receive | System Time 1520475284.792099 | Logical Clock 78 
