Logging event: Send to Machine 1 | System Time 1520479874.61 | Logical Clock 1 
Logging event: Internal | System Time 1520479874.78 | Logical Clock 2 
Logging event: Internal | System Time 1520479874.95 | Logical Clock 3 
Logging event: Send to Both Machines | System Time 1520479875.12 | Logical Clock 4 
Logging event: Internal | System Time 1520479875.29 | Logical Clock 5 
Logging event: Receive | System Time 1520479875.46 | Logical Clock 6 
Logging event: Internal | System Time 1520479875.63 | Logical Clock 7 
Logging event: Internal | System Time 1520479875.8 | Logical Clock 8 
Logging event: Send to Machine 0 | System Time 1520479875.97 | Logical Clock 9 
Logging event: Send to Machine 0 | System Time 1520479876.14 | Logical Clock 10 
Logging event: Internal | System Time 1520479876.31 | Logical Clock 11 
Logging event: Internal | System Time 1520479876.48 | Logical Clock 12 
Logging event: Send to Both Machines | System Time 1520479876.65 | Logical Clock 13 
Logging event: Internal | System Time 1520479876.82 | Logical Clock 14 
Logging event: Receive | System Time 1520479876.99 | Logical Clock 15 
Logging event: Receive | System Time 1520479877.17 | Logical Clock 16 
Logging event: Receive | System Time 1520479877.34 | Logical Clock 17 
Logging event: Receive | System Time 1520479877.5 | Logical Clock 18 
Logging event: Internal | System Time 1520479877.67 | Logical Clock 19 
Logging event: Receive | System Time 1520479877.84 | Logical Clock 20 
Logging event: Receive | System Time 1520479878.02 | Logical Clock 21 
Logging event: Internal | System Time 1520479878.18 | Logical Clock 22 
Logging event: Send to Machine 0 | System Time 1520479878.35 | Logical Clock 23 
Logging event: Send to Machine 0 | System Time 1520479878.52 | Logical Clock 24 
Logging event: Internal | System Time 1520479878.69 | Logical Clock 25 
Logging event: Send to Machine 1 | System Time 1520479878.86 | Logical Clock 26 
Logging event: Internal | System Time 1520479879.03 | Logical Clock 27 
Logging event: Receive | System Time 1520479879.2 | Logical Clock 28 
Logging event: Receive | System Time 1520479879.37 | Logical Clock 29 
Logging event: Internal | System Time 1520479879.54 | Logical Clock 30 
Logging event: Internal | System Time 1520479879.71 | Logical Clock 31 
Logging event: Internal | System Time 1520479879.88 | Logical Clock 32 
Logging event: Send to Both Machines | System Time 1520479880.05 | Logical Clock 33 
Logging event: Internal | System Time 1520479880.22 | Logical Clock 34 
Logging event: Internal | System Time 1520479880.39 | Logical Clock 35 
Logging event: Internal | System Time 1520479880.55 | Logical Clock 36 
Logging event: Send to Machine 0 | System Time 1520479880.72 | Logical Clock 37 
Logging event: Send to Machine 0 | System Time 1520479880.89 | Logical Clock 38 
